"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Subject","Type.genre","Rights.generalNote","Name.repository","Name.donor","Name.photographer","Rights.servicesContact","Date.creation","Alt ID.local","Format.dimensions","Description.note","Title","Format.technique","Date.normalized","Coverage.geographic","AltTitle.uniform","Alt ID.collection","Format.extent","Format.medium","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4jzn","","2","Completed","Collection","","","","","still image","copyrighted","Lifestyle","color photographs|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","","","UCLA Chicano Studies Research Center Library & Archive","1910s - 1990s","","","The Los Angeles Latino Families Photo Project was launched at the UCLA Chicano Studies Research Center (CSRC) spring 2012. It is an extension of an earlier initiative launched in 2007 to combat the invisibility of the Mexican American contribution to Los Angeles and California history predating the social movements of the 1960s and 1970s within textbooks, trade, and academic books and articles. With the generous support of the John Randolph Haynes and Dora Haynes Foundation, the CSRC was able to digitize close to 3,000 images from the Edward R. Roybal Papers and the Yolanda Retter Vargas Collection of Orphan Photographs. The first collection documents Edward Roybal’s public service career from the 1940s to the 1990s as a Los Angeles city councilman and a U.S. congressman. The second was collected by the previous librarian, Yolanda Retter-Vargas, who found the photographs at various flea markets. This collection consists of “orphan” photographs—images with no provenance information. They appear to belong to six families. Both collections have been completed and are available on the UCLA Digital Library. <br><br>After completing this project we quickly realized that Los Angeles Latino history is incomplete without the stories of its citizens. The Los Angeles Latino Families Photo Project was developed as a way to fully capture the complexity of this city’s history as well as address the issue of preservation through the digitization of vulnerable image-based collections. The photographs found in this particular collection were digitized and preserved during a Friends of the Library workshop held at the Chicano Studies Research Center spring 2012. They highlight the day-to-day lives of Latinos and Latinas living in Los Angeles over time. They document their families' histories and cultures capturing their movements between the United States and Latin America. One of the project’s goals is to provide the opportunity for community members to contribute additional photographs and information for the archival record. <br><br>For more information regarding this project or these photographs contact the CSRC Archivist & Librarian at lguerra@chicano.ucla.edu","Los Angeles Latino Families Photo Project","","","","","Los Angeles Latino Families Photo Project","","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002c4jzn"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kdv","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kdv_2041618_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Martha Velasco","","","circa 1920s -1930s","CSRC_LALatinoFamilies_Velasco_001","3 1/2 x 3 1/2","The back of the photograph is inscribed by grandmother, ""This is a picture of my mother and father at the beach.""This snapshot is possibly taken in Malibu, CA.","Great grandfather and great grandmother Lucy at the beach","","1920/1939","Malibu, CA","Velasco Family","Los Angeles Latino Families Photo Project","1 photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kdv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kdv/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kfc","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kfc_2041621_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Martha Velasco","","","1962","CSRC_LALatinoFamilies_Velasco_002","3 1/2 x 3 1/2","From left to right:My Uncle Manuel, Dad (Larry), and Aunt Margaret.Photograph was possibly taken in Highland Park, CA.","Dad, Uncle Manuel and Aunt Margaret","","1962","Highland Park, CA","Velasco Family","Los Angeles Latino Families Photo Project","1 photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kfc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kfc/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kgw","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kgw_2041624_master.tif","","","","still image","copyrighted","Weddings|~|Lifestyle","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Martha Velasco","","","June 1980","CSRC_LALatinoFamilies_Velasco_003","3 x 5","This image was taken at a wedding chapel that was located in downtown Los Angeles between Broadway and 2nd street.","My Mother at my Aunt's wedding","","1980-06","Downtown Los Angeles, CA","Velasco Family","Los Angeles Latino Families Photo Project","1 photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kgw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kgw/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kjx","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kjx_2041630_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle","black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Lizette Guerra","","","circa 1910s","CSRC_LALatinoFamilies_Guerra_002","5 X 7","From left to right:Francisco Guerra de Carpio with two men who were possibly law enforcement officials or military servicemen in Mexico.The photograph was taken in front of the Comisaria de Policia (Police Headquarters) in Naco, Sonora, Mexico. Mr. Guerra was an aduanero (border patrol official) for the Mexican government at the Naco Sonora border entry point. This photograph is believed to have been taken in close proximity to his workplace.","Francisco Guerra de Carpio at the Comisaria de Policia","sepia print","1910/1919","Naco, Sonora, Mexico","Guerra Family","Los Angeles Latino Families Photo Project","1 photograph","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kjx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kjx/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kkf","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kkf_2050365_master.tif","","","","still image","copyrighted","Lifestyle|~|Car culture","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Lizette Guerra","","","circa 1944","CSRC_LALatinoFamilies_Guerra_003","3.5 X 3.5","Arturo Guerra standing in front of a car in Boyle Heights, CA.Mr. Guerra loved cars. However, he never actually learned how to drive. This photograph was taken in front of a family member's car.Also, Mr. Guerra's clothes are similar to that popularly referred to as a zoot suit. Interestingly, he always said that he thought zuit suits ""looked sloppy.""","Arturo Guerra posing in front of someone else's car","","1944","Boyle Heights, CA","Guerra Family","Los Angeles Latino Families Photo Project","1 photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kkf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kkf/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kmz","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kmz_2061086_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings|~|Youth","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Arturo C. Adame","","","1954","CSRC_LALatinoFamiles_Adame_001.tif","3 1/2 x 4","Left to right: Arturo C. Adame and Jose Luis Guaderrama (cousin-same age). Arturo's mother possibly took the photograph. It was taken in the front yard of the family's home on Carlson Lane in Redondo Beach, CA. This picture shows North Redondo Beach still largely undeveloped.","Arturo and Jose Luis","","1954","Redondo Beach, CA","Adame & Guaderrama Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kmz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kmz/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kng","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kng_2061089_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Arturo C. Adame","","","circa 1920s","CSRC_LALatinoFamiles_Adame_002.tif","5 x 7","Constantino Adame (Father of Arturo Adame).This photographs was taken at Ocean View Photo Studios in Redondo Beach, CA.Copies of this photograph were mailed to family members in Pavepero, Michoacan, Mexico as postcards.","Constantino Adame","sepia print","1920/1929","Redondo Beach, CA","Adame Family","Los Angeles Latino Families Photo Project","","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kng","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kng/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kp0","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kp0_2061092_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle|~|Religious gatherings","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Arturo C. Adame","","","1926","CSRC_LALatinoFamiles_Adame_003.tif","8 x 10","Left to Right: Joaquin Morales (son), Manuel Morales (son),  Trinidad Morales (mother), and Andrea Corral (daughter, 7 years old). This photograph was taken in a studio for Andrea's first communion. At the time, the family was living in East Los Angeles in Maravilla on Kern Avenue.This image is a reproduction of the original photograph.","Corral Morales family portrait","selenium print","","Los Angeles, CA","Corral Morales Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kp0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kp0/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c4kqh","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c4kqh_2061095_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Barbara Carrasco","","","circa 1945","CSRC_LALatinoFamilies_Carrasco_001.tif","5 x 7","Helen Correa. This photograph was taken by a professional photographer at a studio in El Paso, TX.","Helen Correa","hand colored print","1945","El Paso, TX","Correa Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c4kqh","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c4kqh/manifest"
