Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Item Sequence,Duplicate,Delete in Title,Thumbnail,Relation.isPartOf,Relation.box,Date.creation,Alt ID.local,Description.caption,Format.medium,Relation.folder,Title,Format.dimensions,AltTitle.uniform,Description.note,Description.abstract,Finding Aid URL,Opac url,IIIF Manifest URL
Takamura (Kango) paintings,ark:/21198/zz002k527z,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k527z%2F2d16x829,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,May 22 1942,uclalsc_433_b01_f01_001,"""Our pet hawk died on May 22. The following day Mr. Sato of Chula Vista, died but same day over 80 of us internees were released. May 22, 1942."" Unsigned. [Japanese characters].","watercolor and ink on paper, matted",1,"Our pet hawk died, 1942 May 22.",21 x 29 cm,Our pet hawk died on May 22. The following day Mr. Sato of Chula Vista died. But same day over 80 of us internees were released.,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k527z/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6dr0,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dr0%2Fnv72kx1j,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,No date,uclalsc_433_b01_f02_001,"""Our guard in the watchtower became a spring baseball fan at Santa Fe.""  Unsigned. [Japanese characters].","watercolor and pencil on paper, matted",2,"Our guard became a spring baseball fan, n.d.",21 x 28 cm,Our guard in the watch tower became a spring baseball fan at Santa Fe.,"Reproduced as ""Our Guard in the Watchtower Became a Spring Baseball Fan at Santa Fe."" in Gesensway, Deborah. Beyond words: images from America's concentration camps. Ithica, NY: Cornell University Press, 1987.",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6dr0/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6dsh,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dsh%2Fbt751z5r,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,1942 May 31,uclalsc_433_b01_f03,"""At evening I sketched this beautiful, unusual cloud formation. All at us noticed it. We wondered whether these might mean that we would be at peace. May 31, 1942.""  Signed ""K> Takamura."" [Japanese characters].","watercolor on paper, matted",3,"At evening I sketched this unusual cloud formation, 1942 May 31.",25.5 x 37.5 cm,"At evening I sketched this beautiful, unusual cloud formation. All of us noticed it. We wondered whether these might mean that we would be at peace.",2 shots: watercolor and original label S-F-24,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6dsh/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6dt1,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dt1%2F6g62sn9p,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,No date,uclalsc_433_b01_f07,"""Some characteristics of guayule strains.""  Unsigned.","Watercolor [?] and ink on paper, matted",7,"Some characteristics of guayule strains, n.d.",19.5 x 25 cm,"Some characteristics of guayule strains, n.d.","3 shots: watercolor, original mount M-35, and back of watercolor M-35|~|caption on original mount: [Japanese characters].",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6dt1/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6dvj,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dvj%2Fcc05kv59,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,1943,uclalsc_433_b01_f10,"""Rooted cuttings are transplanted to milk cartons and then to the field. Tr[a]nsplanting is done carefully and speedily by hand of the experimenters. Mr. Akaboshi. 1943."" Signed ""K. Takamura""","Watercolor and ink on paper and inset black and white photograph, matted",10,"Mr. Akaboshi, 1943.",25.5 x 36 cm,Rooted cuttings are transplanted to milk cartons and then to the field. Transplanting is done carefully and speedily by hand of the experimenters. Mr. Akaboshi.,caption original mount: [Japanese characters],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6dvj/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6dw2,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dw2%2Fc2128d64,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA",1,1942 Oct 19,uclalsc_433_b01_f08,"""The first successful growing of -- guayule rubber plant cuttings. Oct. 19-1942""  Signed ""K. Takamura""","Watercolor and ink on paper, matted",8,"First successful growing of guayule, 1942 October 19.",20 x 28.5 cm,The first successful growing of -- guayule rubber plant cuttings,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6dw2/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6dxk,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dxk%2Fvr32tt8q,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA",1,No date,uclalsc_433_b01_f06,"""Mr. Hirozawa. The chemists work incessantly in search of a better method of extracting rubber. Here a chemist is a preparing latex from guayule."" Signed ""K. Ta""","watercolor and ink on paper, matted",6,"Mr Hirozawa, n.d.",27 x 34 cm,Mr. Hirozawa. The chemists work incessantly in search of a better method of extracting rubber. Here a chemist is preparing latex from guayule.,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6dxk/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6dz3,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6dz3%2F1p63kc78,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,No date,uclalsc_433_b01_f04_001_01,"""His bald pate shined as bright as a full moon."" Unsigned. [Japanese characters]. Hanko stamp.",watercolor and ink on heavy paper,4,"Surprised guard on night watch at Santa Fe, n.d.",27.5 x 42.5 cm,His bald pate shined as bright as a full moon.,"[Also], Pencil and ink sketches of women in kimono verso.|~|Surprised guard on night watch at Santa Fe.|~|caption on original mount: ""His bald pate shined as bright as a full moon. At first they inspected the barracks three times a night, waking us. Later, they stopped this.""Caption on original label: [Japanese characters] and ""A surprised guard on the night watch at Santa Fe."" SF-Y",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6dz3/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6f03,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f03%2F3c62kb5n,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 8,uclalsc_433_b02_f01,"""June 8th 1942"". No caption. Unsigned",Watercolor and pencil on paper,1,"Early Birds, 1942 June 8.",19 x 27.5 cm,,"caption on original mount: ""The Early Birds and the Mess Hall Lineup."" and Japanese characters|~|2 shots: watercolor and original mount SF-1",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f03/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6f1m,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f1m%2Ffr69r75f,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,1943 May 14,uclalsc_433_b01_f09,"""Progress after one year. The mess hall line. May 14, 1943"" and insert photograph with caption ""Wall painting by Takamura."" Signed ""K. Takamura""",Watercolor and ink on paper and inset black and white photograph,9,"Progress after one year, 1943 May 14.",22 x 32 cm,"Progress after one year. The mess hall line."" and ""Wall painting by Takamura."" inset photo caption.",original mount: [Japanese characters],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f1m/manifest
