"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Description.abstract","Coverage.geographic","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Relation.textDirection","Format.extent","thumbnailImageName","masterImageName","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rstf2","ark:/21198/zz0009gx4f","2","Completed","Work","","186","","","paged","","","","text","Manuscripts","pd","lat","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 348. BIBLE, with prologues and additions.","","XIII med","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 348","BIBLE, Old and New Testaments.","Written in Spain in the middle of the thirteenth century. In the possession of a Dominican convent or friar before the end of the century; front pastedown top, half cropped, “. . . -ia ordinis predicatorum.” In England before the fourteenth century; English hands on ff. 1r-v, 387r-v, front pastedown. On f. 386 lower margin, erased note of accounts in fourteenth-century anglicana, “... sol[idos] . . . sol[idos] . . . Ego frater . . . sororem . . . sorores. ...” On f. 1v top, an erased note. Paper label “11” on the spine. Belonged to Isaac Foot; his bookplate, f. 1v. Came to UCLA with the Foot Collection in 1960.","","A Latin manuscript Bible containing both the Old and New Testaments, ca. 1400. Written in small Gothic minuscules in vellum and beautifully illuminated in red and blue throughout with many large and elaborately executed capitals.","","1201/1300","Spain","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rstf2/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rw9rt","ark:/21198/zz0009gx4f","2","Completed","Work","","215","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 714. JACOBUS DE MILANO, STIMULUS AMORIS.","","XVex","","170/ 714","","","","","","","Touraine, France","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rw9rt/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rxb3x","ark:/21198/zz0009gx4f","2","Completed","Work","","193","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 593. PSEUDO-PHALARIS, Epistolae, trans. Francesco Griffolini of Arezzo.","","XV (early 1460s)","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 593","","","","","","1460-1469","Italy (probably Naples)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rxb3x/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rz8xt","ark:/21198/zz0009gx4f","2","Completed","Work","","199","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 674. BIBLICAL MISCELLANY.","","1370-80","","170/ 674","","","","","","","Northeastern Italy","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rz8xt/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzcf1","ark:/21198/zz0009gx4f","2","Completed","Work","","200","","","paged","","","","text","Manuscripts","pd","ger|~|lat","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 675. CENTIUM MEDITATIONES PASSIONIS DOMINI NOSTRI JHESUS CHRISTI.","","XVmed (after 1451)","","170/ 675","","","","","","","Cologne, Germany","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rzcf1/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzpxm","ark:/21198/zz0009gx4f","2","Completed","Work","","201","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 677. DIURNAL.","","1450-75","","170/ 677","","","","","","","The Netherlands (North Holland)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rzpxm/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0t51","ark:/21198/zz0009gx4f","2","Completed","Work","","202","","","paged","","","","text","Manuscripts","pd","dut","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 685. BOOK OF HOURS. Archdiocese of Cologne.","","1475-1500","","170/ 685","","","","","","","Northeastern Netherlands","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s0t51/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s39xh","ark:/21198/zz0009gx4f","2","Completed","Work","","203","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 686. BOOK OF HOURS (Use of Utrecht).","","XVex","","170/ 686","","","","","","","Brabant|~|Arnhem","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s39xh/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s3rkm","ark:/21198/zz0009gx4f","2","Completed","Work","","204","","","paged","","","","text","Manuscripts","pd","lat","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 691. NOTARY'S CARTULARY.","","1550-1560","","170/ 691","","","","","","","Mestre|~|Venice","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3rkm/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s75h5","ark:/21198/zz0009gx4f","2","Completed","Work","","205","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 692. BOOK OF HOURS (Use of Rome). Archdiocese of Cologne.","","XVex","","170/ 692","","","","","","","Rome","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s75h5/manifest"
