Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url,Bucketeer State,IIIF Access URL
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdtbf,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7822_50_AMS_1943_ED1.tif,433,,,pd_usfed,,eng,cartographic,map,,China--Maps|~|中國--地圖,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1193010|~|easternmost:E1195937|~|northernmost:N0400712|~|southernmost:N0395059,ShanHaiKuan,G7822_50_AMS_1943_ED1|~|Monograph_Maps,1927,1927,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,ShanHaiKuan|~|China,山海關,,,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdvcf,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7824_125_AMS_1945_ED1_Fuchou.tif,463,,,pd_usfed,,eng,cartographic,map,"Fuzhou (Fujian Sheng, China)--Maps|~|Nan-t'ai Shi (Fujian Sheng, China)--Maps|~|福州 (福建省, 中國)--地圖|~|南台市 (福建省, 中國)--地圖",,United States. Army Map Service.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1191500|~|easternmost:E1192000|~|northernmost:N0260700|~|southernmost:N0260300|~|southernmost:N0260200|~|northernmost:N0260800,"China city plans 1:12,500",G7824_12.5_AMS_1945_ED1_Fuchou|~|Monograph_Maps,1945,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,U.S. Army Map Service,1 map : col. ; 79 x 69 cm.,"dcu|~|Washington, D.C","Type C-AMS 1.|~|Relief represented by contours.|~|Includes ""Glossary"" and notes.|~|prepared under the direction of the Chief of Engineers by the Army Map Service (AM) ... 1945.|~|Some streets and buildings are named; wooded and cultivated areas are shown.|~|""Place names were transcribed according to the modified Wade-Giles System.""|~|Military grid.|~|""Compiled in 1945 from China 1:50,000 Army Map Service 8833 II (Type C) 1945. Planimetric detail intensified from aerial photography dated 1944-45 by photo-planimetric methods with reference to Fu-chou 1:10,000, General Staff (Fukien Office), 1934.""|~|Marginal maps: Coverage diagram -- Index to boundaries.|~|cp|~|1st ed.","Nan-t'ai Shi (Fujian Sheng, China)|~|Fuzhou (Fujian Sheng, China)|~|12500","中國城市規劃 1:12,500","L901|~|Fu-chou (Foochow) and Nan-t'ai, China, Fukien Province|~|Fu-chou and Nan-taÌ“i",map48000245,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdvdz,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7824_125_AMS_1945_ED1_Tientsin.tif,464,,,pd_usfed,,,cartographic,map,,China--Maps|~|中國--地圖,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1170900|~|easternmost:E1171400|~|southernmost:N0390500|~|northernmost:N0391000,Plan Of Tientsin,G7824_12.5_AMS_1945_ED1_Tientsin|~|Monograph_Maps,1945,1945,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,China,天津全圖,,,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hdw8c,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7824_50_GSGS_1927.tif,490,,,pd_usfed,,eng,cartographic,map,,China--Maps|~|中國--地圖,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1171622|~|easternmost:E1174726|~|northernmost:N0390442|~|southernmost:N0384829,Taku,G7824_50_GSGS_1927|~|Monograph_Maps,1927,1927,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,,China,大沽,,,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf334,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7901_P2_700_AMS_1946_ED1_SHEET11.tif,656,,,pd_usfed,,eng|~|kor,cartographic,map,Korea--Maps|~|Roads--Korea--Maps,,Korea (South). Yukkun Chʻŭkchi Pudae.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1250000|~|easternmost:E1300000|~|northernmost:N0380000|~|southernmost:N0340000,"Korea road map 1:700,000",G7901_P2_700_AMS_1946_ED1_SHEET11|~|Monograph_Maps,[1964-1965],,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Taehan MinÊ¼guk Yukkun ChÊ»uÌ†kchi Pudae,2 maps : col. ; 88 x 79 cm. and 80 x 79 cm.,[Seoul]|~|ko,"Ed. 1-KAMS = Che 1-pʻan|~|prepared ... by the ROK Army Map Service = Taehan toro mangdo 1:700,000 / Taehan Minʼguk Yukkun Chʻŭkchi Pudae... pʻyŏnjip.|~|UTM grid: Zone[s] 51S, 52S, 51T, and 52T.|~|Standard map series designation: Kyeyŏl pŏnho L351 = Series L351.|~|Korean and English.|~|Relief represented by gradient and bathymetric tints.|~|Includes insets, glossary, boundary diagram, and index map.|~|bh|~|""Compiled in 1963 from Korea 1:250,000, AMS ...""|~|""U.S. Army Map Service, Far East, 64-016 8/64"" and "" ... 5/65.""|~|1st ed.",Korea|~|700000,,"Taehan toro mangdo|~|Korea road map|~|Taehan toro mangdo 1:700,000",L351X2 DMA H/TC|~|L351X*01 DMA H/TC|~|87693752,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf34n,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7901_P2_700_AMS_1965_COP2_ED1.tif,657,,,pd_usfed,,eng|~|kor,cartographic,map,Korea--Maps|~|Roads--Korea--Maps,Korea--Maps,Korea (South). Yukkun Chʻŭkchi Pudae.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0430000|~|westernmost:E1250000|~|easternmost:E1300000|~|northernmost:N0420000|~|southernmost:N0380000|~|westernmost:E1240000|~|southernmost:N0340000,"Korea road map 1:700,000",G7901_P2_700_AMS_1965_COP2_ED1|~|Monograph_Maps,1963|~|[1964-1965],1963,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Taehan Minʼguk Yukkun Chʻŭkchi Pudae,2 maps : col. ; 88 x 79 cm. and 80 x 79 cm.,ko|~|[Seoul],"Ed. 1-KAMS = Che 1-pʻan.|~|""Compiled in 1963 from Korea 1:250,000, AMS ...""|~|Relief represented by gradient and bathymetric tints.|~|""U.S. Army Map Service, Far East, 64-016 8/64"" and "" ... 5/65.""|~|Includes insets, glossary, boundary diagram, and index map.|~|prepared ... by the ROK Army Map Service = Taehan toro mangdo 1:700,000 / Taehan Minʼguk Yukkun Chʻŭkchi Pudae ... pʻyŏnjip.|~|UTM grid: Zone[s] 51S, 52S, 51T, and 52T.|~|bh|~|Standard map series designation: Kyeyŏl pŏnho L351 = Series L351.|~|Korean and English.|~|1st ed.",Korea|~|700000,,"Taehan toro mangdo 1:700,000|~|Korea road map",L351X2 DMA H/TC|~|L351X*01 DMA H/TC|~|87693752,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf355,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7901_P2_700_AMS_1965_ED1_SHEET1.tif,658,,,pd_usfed,,eng|~|kor,cartographic,map,Korea--Maps|~|Roads--Korea--Maps,,Korea (South). Yukkun Chʻŭkchi Pudae.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1240000|~|easternmost:E1300000|~|northernmost:N0430000|~|southernmost:N0340000,"Korea road map 1:700,000",G7901_P2_700_AMS_1965_ED1_SHEET1|~|Monograph_Maps,[1964-1965],,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Taehan Minʼguk Yukkun Chʻŭkchi Pudae,2 maps : col. ; 88 x 79 cm. and 80 x 79 cm.,[Seoul]|~|ko,"Ed. 1-KAMS = Che 1-pʻan.|~|Standard map series designation: Kyeyŏl pŏnho L351 = Series L351|~|Korean and English.|~|Relief represented by gradient and bathymetric tints.|~|Includes insets, glossary, boundary diagram, and index map.|~|""Compiled in 1963 from Korea 1:250,000, AMS ...""|~|""U.S. Army Map Service, Far East, 64-016 8/64"" and "" ... 5/65.""|~|prepared ... by the ROK Army Map Service = Taehan toro mangdo 1:700,000 / Taehan Minʼguk Yukkun Chʻŭkchi Pudae ... pʻyŏnjip.|~|UTM grid: Zone[s] 51S, 52S, 51T, and 52T.|~|bh|~|1st ed.",Korea|~|700000,,"Taehan toro mangdo|~|Korea road map|~|Taehan toro mangdo 1:700,000",L351X2 DMA H/TC|~|L351X*01 DMA H/TC|~|87693752,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf3jv,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7904_PUSAN_12_5_AMS_1946_ED1.tif,669,,,pd_usfed,,eng,cartographic,map,Pusan (Korea)--Maps|~|Cities and towns--Korea (South)--Maps,,United States. Army Map Service.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1290640|~|northernmost:N0351015|~|southernmost:N0350430|~|westernmost:E1290030,"Korea city plans 1:12,500 : Pusan (Fusan)",G7904_PUSAN_12_5_AMS_1946_ED1|~|Monograph_Maps,1946,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,Army Map Service,1 map : col. ; 91 x 75 cm.,"Washington, D.C|~|dcu","1st ed.-AMS 1.|~|Includes index to precincts, ""Index to sources"" map, notes, and glossary of terms in Korean, Japanese, and English.|~|Military grid.|~|Relief represented by form lines.|~|""Korean names transcribed according to the McCune-Reischauer system; Japanese forms of Korean names (shown in parentheses) transcribed according to the modified Hepburn (Romaji) system.""|~|""7-46.""|~|Three classes of roads or trails, four classes of railroads, and areas of vegetation and cultivation are shown. Some buildings are named.|~|1st ed.",Korea (South)|~|Pusan (Korea)|~|12500,,"Pusan (Fusan), Korea|~|Pusan (Fusan) Kyongsang-Namdo (Keisho-nando), Korea|~|[Series] L951",map48000210,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf444,ark:/21198/zz002hc63p,2,Completed,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7960_2M_AMS_1945_ED1.tif,686,,,pd_usfed,,eng,cartographic,map,Japan--Maps,,United States. Army Map Service.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1300000|~|easternmost:E1480000|~|northernmost:N0500000|~|southernmost:N0300000,Japan,G7960_2M_AMS_1945_ED1|~|Monograph_Maps,1945,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,col. map 122 x 103 cm.,Washington|~|dcu,"1st ed.--AMS 1.|~|""Azimuthal equidistant projection based on latitude 40°N, longitude 141°E.""|~|In upper margin: Asia l:2,000,000 ...|~|Scale 1:2,000,000.|~|Inset: Index to boundaries [with key to political divisions].|~|Includes ""Glossary.""|~|Elevations are shown by contours or form lines and altitude tints.|~|1st ed.",Japan,,,map47000210,,,failed,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hf4cr,ark:/21198/zz002hc63p,10,Completed with minimal metadata,Work,Masters/Maps/east_asian_maps/image/Monograph_Maps/srgb/G7961_1945_Part3.tif,693,,,pd_usfed,,eng,cartographic,map,,Japan--Maps,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0360000|~|westernmost:E1290000|~|easternmost: E1360000|~|southernmost:N0330000,"Map Of Kyushu, Shikoku & Southern Honshu",G7961_1945_Part3|~|Monograph_Maps,1945,1945,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,Provisional ed.,Japan,,,,,,failed,
