"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Name.subject","Rights.rightsHolderContact","Rights.servicesContact","Subject","Date.normalized","Title","Date.creation","Description.note"
"ARPANET Project Notes","ark:/21198/zz002gvzpz","","10","Completed with minimal metadata","Collection","","","","","","","copyrighted","US","Y","","","","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","","ARPANET Project Notes","",""
"ARPANET Project Notes","ark:/21198/zz002h28rf","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h28rf-1-master.pdf","","","","","text","copyrighted","US","Y","English","Postel, Jonathan Bruce, 1943-1998|~|Crocker, Stephen David, 1944-|~|Cerf, Vinton G, 1943-","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1969-10-10","SPADE Admin. Note 1 the SPADE Group","10 Oct 1969","Note describes creation of the Spade Group."
"ARPANET Project Notes","ark:/21198/zz002h28sz","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h28sz-1-master.pdf","","","","","text","copyrighted","US","Y","English","Crocker, Stephen David, 1944-","","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1970-02-07","SPADE Admin. Note 20 SPADE Meeting Notes","17 Feb 1970","Notes discusses name change of SDS Sigma 7 operating system from GORDO to SEX for Sigma EXecutive or Sigma EXperimental system."
"ARPANET Project Notes","ark:/21198/zz002h28tg","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h28tg-1-master.pdf","","","","","text","copyrighted","US","Y","English","Postel, Jonathan Bruce, 1943-1998","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1970-10-01","SPADE Admin. Note 53","1 Oct 1970","Note is a diagram of SPADE Group projects projected from 1 Oct-Dec 1970."
"ARPANET Project Notes","ark:/21198/zz002h28v0","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h28v0-1-master.pdf","","","","","text","copyrighted","US","Y","English","Crocker, Stephen David, 1944-","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1970-12-09","SPADE Admin. Note 63 NW Measurements Meeting","9 Dec 1970","The note discusses having talk 9 IMPS on the network and network measurements."
"ARPANET Project Notes","ark:/21198/zz002h28wh","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h28wh-1-master.pdf","","","","","text","copyrighted","US","Y","English","Postel, Jonathan Bruce, 1943-1998","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1971-01-11","SPADE Admin. Note 69 Agenda for SPADE Meeting","11 Jan 1971","Note on Telnet and mailboxes design."
"ARPANET Project Notes","ark:/21198/zz002h28x1","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h28x1-1-master.pdf","","","","","","copyrighted","US","Y","English","","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1971-02-15","SPADE Admin. Note 71 Progress Report","15 Feb 1971","Note on SPADE group divide to SEX, Network measurement, and coordination of network development."
"ARPANET Project Notes","ark:/21198/zz002h28zj","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h28zj-1-master.pdf","","","","","text","copyrighted","US","Y","English","Postel, Jonathan Bruce, 1943-1998","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1971-02-01","SPADE Admin. Note 76 The Plan","1 Feb 1971","Note is a diagram of workflow for a 3 month plan for network, systems, graphics, documents."
"ARPANET Project Notes","ark:/21198/zz002h2db5","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h2db5-1-master.pdf","","","","","text","copyrighted","US","Y","English","","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1971-03-12","SPADE Admin. Note 88 SPADE Meeting","12 Mar 1971","Note discusses making net history with a real live user of BBN TENEX via telnet."
"ARPANET Project Notes","ark:/21198/zz002h2dcp","ark:/21198/zz002gvzpz","10","Completed with minimal metadata","Work","arpanet/pdf/21198-zz002h2dcp-1-master.pdf","","","","","text","copyrighted","US","Y","English","","Kleinrock Internet History Center","","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu","","ARPANET (Computer network)","1971-04-12","SPADE Admin. Note 94 Crashes and What to do About Them","12 Apr 1971",""
