Object Type,Local identifier,Item ARK,Parent ARK,File Name,Title,AltTitle.other,Name.creator,Contributor,Date.created,Date.normalized,Language,Type.typeOfResource,Format.extent,Format.medium,Format.dimensions,Genre,Repository,collection.physical,Rights.copyrightStatus,Rights.rightsHolderContact,Summary,Contents note,Description.latitude,Description.longitude,Name.subject,Note,Place of origin,Publisher.publisherName,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Work,RS0299,ark:/21198/z1mg9g1z,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0125_a.wav,पाबूजी री वार्ता - बांकाराम,Pabuji ri Par' or the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa,"Kothari, Komal","Bhil, Bankaram|~|Bhil, Jeevaram","May 28, 1983",1983-05-28,mwr,sound recording,47 min. 58 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Performance of 'Pabuji ri Par', or the epic of Pabuji, sung and narrated by Bankaram Bhopa and Jeevaram Bhopa of the Bhil community with Goojari accompaniment. Pabuji ri Par is a ritual narrative sung with a painted scroll which depicts the life of Pabuji, a pastoral deity",1. An episode from the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa with Goojari accompaniment. The episode consists of Pabuji marrying his sister to the Khichi of Jayal as a way to resolve the family feud between the Khichis and Rathaurs. The episode mostly contains narration of various preparatory rituals performed for the wedding of Pabuji's sister Pema and Jindrav Khichi of Jayal.. This episode is known as 'Sushiya ro parvaro'. The narration alternates between the sung couplets known as 'Gaav' and the spoken explanation and elaboration of it known as 'Arthav'.,25.5834,71.4328,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Bowed stringed instruments--Bowing|~|Stringed instruments|~|Stringed instrument players|~|Storytelling|~|Folk literature, Rajasthani|~|Folklore|~|Tales--India--Rajasthan|~|Ballads, Rajasthani|~|Ritual|~|Pastoral poetry","Hathitala, District Barmer, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/mg/9g/1z/21198=z1mg9g1z/ark%2B=21198=z1mg9g1z.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1mg9g1z%2Faudiowaveform.dat,,,2878.634667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mg9g1z/manifest
Work,RS0299,ark:/21198/z1gq8q97,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0125_b.wav,पाबूजी री वार्ता - बांकाराम,Pabuji ri Par' or the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa,"Kothari, Komal","Bhil, Bankaram|~|Bhil, Jeevaram","May 28, 1983",1983-05-28,mwr,sound recording,48 min. 15 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Performance of 'Pabuji ri Par', or the epic of Pabuji, sung and narrated by Bankaram Bhopa and Jeevaram Bhopa of the Bhil community with Goojari accompaniment. Pabuji ri Par is a ritual narrative sung with a painted scroll which depicts the life of Pabuji, a pastoral deity",1. An episode from the epic of Pabuji narrated by Bankaram Bhopa and Jeevaram Bhopa with Goojari accompaniment. The episode consists of Pabuji marrying his sister to the Khichi of Jayal as a way to resolve the family feud between the Khichis and Rathaurs. The episode mostly contains narration of various rituals performed during the wedding of Pabuji's sister Pema and Jindrav Khichi of Jayal. This episode is known as 'Sushiya ro parvaro'. The narration alternates between the sung couplets known as 'Gaav' and the spoken explanation and elaboration of it known as 'Arthav'.,25.5834,71.4328,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Bowed stringed instruments--Bowing|~|Stringed instruments|~|Stringed instrument players|~|Storytelling|~|Folk literature, Rajasthani|~|Folklore|~|Tales--India--Rajasthan|~|Ballads, Rajasthani|~|Ritual|~|Pastoral poetry","Hathitala, District Barmer, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/gq/8q/97/21198=z1gq8q97/ark%2B=21198=z1gq8q97.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1gq8q97%2Faudiowaveform.dat,,,2895.936,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gq8q97/manifest
Work,RS0339,ark:/21198/z1bz7zj2,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0126_a.wav,कथा - अमरा जी की कही,A story narrated by Amaraji,"Kothari, Komal","Gameti, Amararam|~|Kothari, Komal","February 01, 1984",1984-02-01,mwr,sound recording,40 min. 31 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","A story or a Katha narrated by Amararamji of the Gameti community from Undri village of District Udaipur, Rajasthan. Side B of this tape is blank.","1. A story or a Katha narrated by Amararamji of the Gameti community from Undri village of District Udaipur, Rajasthan.|~|Side B of this tape is blank. Levels have been normalized.",24.7703,73.4910,,,,,,"Folk Songs, Rajasthani--India--Rajasthan|~|Storytelling|~|Tales--India--Rajasthan|~|Oral Tradition|~|Folklore|~|Folk literature, Rajasthani","Undri, Tehsil Gogunda, District Udaipur, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/bz/7z/j2/21198=z1bz7zj2/ark%2B=21198=z1bz7zj2.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1bz7zj2%2Faudiowaveform.dat,,,571.320208,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bz7zj2/manifest
Work,RS0367,ark:/21198/z1795x6x,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0128_a.wav,बगड़ावत,Episodes from the epic of Bagrawat,"Kothari, Komal","Chamar, Godhuram|~|Chamar, Kalu|~|Chamar, Nathuram|~|Chamar, Modaram|~|Chamar, Deviram","February 24, 1984",1984-02-24,mwr,sound recording,48 min. 3 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","A performance of the epic of Bagrawat led by Godhuram Chamar with Dholak and Manjira accompaniment. This is in the 'Baithi varta' style of performance where the Bhopa singers and narrators perform seated with musical accompaniment of Jantar or Dholak and Manjira, without the painted scroll or 'Par' in the background.","1. An episode from the epic of Bagrawat performed by Godhuram Chamar and group with Dholak and Manjira accompaniment. The episode consists of the Bagrawat brothers deciding to rescue Rani Jaimati from the King of Ran. Once they arrive and settle in the royal gardens of Ran, Jaimati and her servant Heera test their intelligence by asking about the 'meaning of flowers'. This episode is therfore known as 'Phoolon ka arth'.",24.6412,74.6847,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Storytelling|~|Tales--India--Rajasthan|~|Folklore|~|Ballads, Rajasthani|~|Folk literature, Rajasthani|~|Pastoral poetry","Nimbahera, District Chittorgarh, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/79/5x/6x/21198=z1795x6x/ark%2B=21198=z1795x6x.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1795x6x%2Faudiowaveform.dat,,,2883.626667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1795x6x/manifest
Work,RS0367,ark:/21198/z13j55gk,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0128_b.wav,बगड़ावत,Episodes from the epic of Bagrawat,"Kothari, Komal","Chamar, Godhuram|~|Chamar, Kalu|~|Chamar, Nathuram|~|Chamar, Modaram|~|Chamar, Deviram","February 24, 1984",1984-02-24,mwr,sound recording,48 min. 7 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","A performance of the epic of Bagrawat led by Godhuram Chamar with Dholak and Manjira accompaniment. This is in the 'Baithi varta' style of performance where the Bhopa singers and narrators perform seated with musical accompaniment of Jantar or Dholak and Manjira, without the painted scroll or 'Par' in the background.","1. An episode from the epic of Bagrawat performed by Godhuram Chamar and group with Dholak and Manjira accompaniment. The episode consists of Rani Jaimati being satisfied by the answers to her questions given by Newaji, one of the central Bagrawat brothers in the epic. Jaimati, having agreed to elope with the Bagrawat brothers, now tricks the King of Ran by creating a magical wild boar which entices the King to leave the palace for a hunt. On the way to Gothan with the Bagrawat, Jaimati repeatedly tests the Bagrawat brothers' powers, intelligences and commitment to herself.",24.6412,74.6847,,,,,,"Folk Songs, Rajasthani--India--Rajasthan|~|Ballad|~|Storytelling|~|Tales--India--Rajasthan|~|Oral Tradition|~|Folklore|~|Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Storytelling|~|Tales--India--Rajasthan|~|Folklore|~|Ballads, Rajasthani|~|Folk literature, Rajasthani|~|Pastoral poetry","Nimbahera, District Chittorgarh, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/3j/55/gk/21198=z13j55gk/ark%2B=21198=z13j55gk.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz13j55gk%2Faudiowaveform.dat,,,2887.296,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j55gk/manifest
Work,RS0372,ark:/21198/z1zs4p1r,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0129_a.wav,गमेती व मेघवाल,Songs of the Gameti and Meghwal community from Ishwana village,"Kothari, Komal","Gameti, Shankar","March 01, 1984",1984-03-01,mwr,sound recording,48 min. 18 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com",Recording of Bhajans sung by Shankar and others of the Gameti community from Ishwana village in Rajasthan. Bhajans are devotional songs usually addressed to or in praise of  a particular god or diety.,"1. 'Sewak uba sarana me' a Bhajan sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 2. 'Bhai dekho devra ri shobha', a wedding song sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 3. Recording of a ritual at a fair with loud dhol and thali percussion with background noise and conversations. 4. 'Mhari boli chali ra guna maaf' a Bhajan sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 5. 'Gorakh devji bole amrit vani', a Bhajan sung by Shankar and others of the Gameti community with Dholak and Manjira accompaniment. 6. 'Gopichand ka geet', sung by a group of women of the Meghwal community with Dhol accompaniment.|~|Audio volume fluctuation in the entire tape.",27.2648,76.6923,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Ritual|~|Krishna (Hindu deity)--In the performing arts|~|Devotional poetry|~|Wedding music","Ishwana, Tehsil Rajgarh, District Alwar, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/zs/4p/1r/21198=z1zs4p1r/ark%2B=21198=z1zs4p1r.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1zs4p1r%2Faudiowaveform.dat,,,2898.709333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs4p1r/manifest
Work,RS0372,ark:/21198/z1v13xbs,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0129_b.wav,गमेती व मेघवाल,Songs of the Gameti and Meghwal community from Ishwana village,"Kothari, Komal",,"March 01, 1984",1984-03-01,mwr,sound recording,20 min.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com",Recording of songs sung by a group of women of the Meghwal community at a fair or a ritual site. The recording also contains interview of people at the fair conducted by Komal Kothari and ritual percussion of Dhol and Thali.,"1. 'Nadi re kinare ubo re', a song sung by a group of women of the Meghwal community. 2. 'Kate pode mhara dulha raja', a wedding song sung by a group of women of the Meghwal community. 3. An interview of a man from Ishwana village, conducted by Komal Kothari. The interview is about agricultural practices in the different villages around. A group of women are singing in the bakcground. 4. Dhol and Thali percussion .|~|Silence at the end from 20:00 to 24:36 has been edited.",27.2648,76.6923,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Interviews|~|Devotional poetry|~|Wedding music|~|Rajasthan (India)--Social life|~|Sociology, rural|~|Land use, Rural","Ishwana, Tehsil Rajgarh, District Alwar, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/v1/3x/bs/21198=z1v13xbs/ark%2B=21198=z1v13xbs.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1v13xbs%2Faudiowaveform.dat,,,1200.0,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v13xbs/manifest
Work,RS0373,ark:/21198/z1q835nw,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0130_a.wav,"भजन, रूपांदे री वेल",Bhajans and other devotional songs including 'Rupande ri vel' from the ballad of Tolade,"Kothari, Komal",,"March 01, 1984",1984-03-01,mwr,sound recording,48 min. 25 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Devotional songs, Bhajans and songs from the ballad of Tolade sung by a group of male and female singers with Tandura, Dholak and Manjira accompaniment.","1. 'Heli mhari poonam wali rain', a Kabir Heli sung by a group of singers led by a male singer, with Tandoora, Dholak and Manjira accompaniment. 2. 'Ap gurusa avjo', a Bhajan dedicated to the saint poet Meera, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 3. 'Rupande ri vel', a devotional and narrative song from the ballad of Tolade, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 4. Another episodic song from the ballad of 'Tolade', sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 5. 'Bhai mhara veera re', a wedding song, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 6. 'Sayal odo ghar aave', a devotional song, sung by a male singer, with Tandura, Dholak and Manjira accompaniment. 7. 'Santa ra aasan laga', a devotional song, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 8. 'Dam dam damru baje', a Bhajan dedicated to Shiva, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment.|~|Tape skips from 10:39 - 23:04 on the source recording. Could not be corrected.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Stringed instruments|~|Stringed instrument players|~|Ballads, Rajasthani|~|Wedding music|~|Devotional poetry",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/q8/35/nw/21198=z1q835nw/ark%2B=21198=z1q835nw.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1q835nw%2Faudiowaveform.dat,,,2725.077333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q835nw/manifest
Work,RS0373,ark:/21198/z1kh2dv8,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0130_b.wav,"भजन, रूपांदे री वेल",Bhajans and other devotional songs including 'Rupande ri vel' from the ballad of Tolade,"Kothari, Komal",,"March 01, 1984",1984-03-01,mwr,sound recording,48 min.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Devotional songs, Bhajans and songs from the ballad of Tolade sung by a group of male and female singers with Tandura, Dholak and Manjira accompaniment.","1. 'Manaro lagyo mala me', a devotional song, sung by a group of singers led by a male singer, with Dholak and Manjira accompaniment. 2. 'Edi re bhakta me bheed', a Bhajan dedicated to Ram, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 3. 'Apke karaniye sanvariyo', a Bhajan dedicated to Krishna, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 4. 'Mhara ramji aave', a Meera Bhajan, sung by a group of singers led by a male singer, with Tandura, Dholak and Manjira accompaniment. 5. Recording of ambient sounds of Dhol, Surnai, Bhajan and Arti singing at a ritual fair. 6. Instrumental melody played on the flute with Dholak accompaniment. 7. Interview of various people at the fair, conducted by Komal Kothari. 8. 'Arti utar charanamat lijo' an Arti sung by two female singers with Dhol accompaniment. 9. 'Mandir jati Meera', a Meera Bhajan sung by a group of women with Dhol accompaniment. 10. 'Ado avsar koni ave re', a song sung by a group of male singers with Tandura, Dholak and Manjira accompaniment. 11. Bhajan sung by a group of women at the fair. 12. 'Shakti thari nam re' a Bhajan dedicated to Shakti, the female deity, sung by two male singers with Dholak and Manjira accompaniment. 13. A Meera Bhajan sung by two male singers with Dholak and Manjira accompaniment. 14. 'Meera hari re nam ri', a Meera Bhajan, sung by two male singers with Dholak and Manjira accompaniment.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Stringed instruments|~|Stringed instrument players|~|Devotional poetry|~|Krishna (Hindu deity)--In the performing arts|~|Wind instruments|~|Ritual|~|Interviews",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/kh/2d/v8/21198=z1kh2dv8/ark%2B=21198=z1kh2dv8.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1kh2dv8%2Faudiowaveform.dat,,,2880.0,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh2dv8/manifest
Work,RS0389,ark:/21198/z1fv0ckq,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0131_a.wav,पांडून के कड़े / जच्चा के गीत,Episodes from the Ballad of 'Pandoon ke Kade' and childbirth songs sung by musicians of the Jogi community from the Mewat region of Rajasthan.,"Kothari, Komal","Jogi, Badan Khan|~|Jogi, Kamruddin|~|Jogi, Samaysingh|~|Jogi, Jahoor Khan","March 08, 1984",1984-03-08,wtm,sound recording,47 min. 46 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","An episode from the ballad of 'Pandoon ke Kade', which is related to the epic of Mahabharat, narrated and sung by musicians of the Jogi community of Mewat region of Rajasthan.","1. An episode from the ballad of 'Pandoon ke Kade', which is related to the epic of Mahabharata, sung and narrated by Samaysingh Jogi, Jahoor Khan Jogi, Badan Khan Jogi and Kamruddin Jogi with Harmonium, Sarangi, Dholak and Bhapang accompaniment. In the episode, Krishna defeats Babra Bhan, who would have been a threat to the Pandavs in the battleground. Meanwhile, Arjun, after pleading Bhishma, his grandfather, to not fight, finally kills Bhishma in the battleground through his arrow. The narration alternates between sung couplets known as 'Gav' and spoken elaboration of it known as 'Arthav'.|~|Tone sound at 22:59. Speed variation from 39:43 to 42:12, leading to pitch fluctuation.",27.3733,76.8558,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Stringed instruments|~|Bowed stringed instruments--Bowing|~|Stringed instrument players|~|Ballads, Rajasthani|~|Storytelling|~|Folklore|~|Folk literature, Rajasthani","Laxmangarh, Tehsil Lachhmangarh, District Alawar, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/fv/0c/kq/21198=z1fv0ckq/ark%2B=21198=z1fv0ckq.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1fv0ckq%2Faudiowaveform.dat,,,2866.304,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0ckq/manifest
