Object Type,Item ARK,Parent ARK,File Name,Local identifier,Title,Creator,Publisher.publisherName,Place of origin,Date.created,Date.normalized,Language,Type.typeOfResource,Genre,Format.extent,Format.medium,Repository,collection.physical,Rights.copyrightStatus,Rights.publicationStatus,Rights.rightsHolderContact,Subject name,Subject geographic,Subject topic,Summary,Contents note,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Collection,ark:/21198/z1t1748k,,,,El Mundo al Día (República Dominicana),Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),,,spa,moving image,broadcasts,,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do",,,,"This project will digitize 396 film containers from the collection of the news program “El Mundo al Día.” ""El Mundo al Dia"" was broadcast from 1965 to 1980 on the first television channel of the Dominican Republic. Recordings of the show, preserved on 16 mm film reels, document significant historic events during the Cold War in the Domincan Republic, including the coup d'état that led to a civil war and the military intervention of the United States on Dominican territory in 1965; Joaquín Balaguer's 12-year regime, marked by persecution and political assassinations; and the popular uprising known as ""La Poblada de Abril de 1984"" against the government of Salvador Jorge Blanco where hundreds of people died. Digitization and online publication will preserve this important record and provide access to these significant moments in the political, economic and social history of the Dominican Republic during the mid and late twentieth century.","The Archivo General de la Nación of the Dominican Republic has worked to digitize a collection of nearly four hundred 16mm film canisters from 1965 to 1980, containing footage of the news program El Mundo al Dia. This program was broadcasted on the first ever television channel of the Dominican Republic, formerly known as Televisión La Voz Dominicana. El Mundo al Dia covered socio-political activities that occurred across the country under the political periods of presidents Joaquín Balaguer (1966-1978) and Antonio Guzmán Fernández (1978-1982). During the 1960’s to the 1980’s, the Dominican Republic endured significant events, such as the coup d'état against former president Juan Bosch, which provoked a civil war and U.S. intervention in 1965. Other key events include persecutions and political assassinations during the regime of Joaquin Balaguer, as well as the hundreds of deaths caused by the uprising of “La Poblada de Abril de 1984” against the government of Jorge Blanco. This archive represents the crucial role that local television coverage has in research on Dominican politics and society during the Cold War era. It also will serve as a valuable resource in better understanding the connection between politics and society in the context of local civilian life.",,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1t1748k
Work,ark:/21198/z1jh5mpb,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700898.mp4,2700898,"El Mundo al Día, 1962-08",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),"August 18, 1962 - August 24, 1962",1962-08-18/1962-08-24,spa,moving image,broadcasts,00h 15m 59s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do","Imbert Barrera, Antonio Cosme|~|Pérez Sánchez, Eliseo|~|Viñas Román, Víctor Elby",Santo Domingo,Strikes|~|Pilots|~|Tributes|~|Political activities,"News program El Mundo al Día: Workers strike demanding the review of labor laws and the reform of the social security system. Celebration of the 12th anniversary of the 1950 pilot class of the Dominican Armed Forces, with the participation of the head of the Armed Forces, General Víctor Elby Viñas Román and General Antonio Imbert Barrera. Tribute to martyrs and heroes of the country. Monsignor Eliseo Pérez Sánchez participates in a meeting. Boy Scout training. Reception at the Rotary Club. Swimming classes.|~|Noticiario El Mundo al Día: Huelga de trabajadores exigiendo la revisión de las leyes laborales y la reforma del sistema de seguro social. Celebración del 12 aniversario de la promoción de pilotos de 1950 de las Fuerzas Armadas Dominicanas, donde participan el jefe de las Fuerzas Armadas, general Víctor Elby Viñas Román y el general Antonio  Imbert Barrera. Homenaje a mártires y héroes de la patria. Monseñor Eliseo Pérez Sánchez participa en reunión. Entrenamiento de boy scouts. Recepción en el Club Rotario. Clases de natación.",Antonio Imbert Barrera was involved in the execution of dictator Rafael Leónidas Trujillo Molina in 1961.|~|Antonio Imbert Barrera estuvo implicado en el ajusticiamiento del dictador Rafael Leónidas Trujillo Molina en el 1961.,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/jh/5m/pb/21198=z1jh5mpb/ark%2B=21198=z1jh5mpb.mp4{},,2048,1531,959.6,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jh5mpb/manifest
Work,ark:/21198/z1dr4w0g,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700899.mp4,2700899,"El Mundo al Día, 1962-08",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),"August 18, 1962 - August 24, 1962",1962-08-18/1962-08-24,spa,moving image,broadcasts,00h 22m 54s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do","Bonelly Fondeur, Rafael Filiberto|~|Amiama Tió, Luis|~|Imbert Barrera, Antonio Cosme|~|Pérez Sánchez, Eliseo|~|Reid Cabral, Donald Joseph|~|Fernández Caminero, José Antonio|~|Fiallo Rodríguez, Viriato Alberto",Santo Domingo|~|Higüey (La Altagracia),Political activities|~|International relations|~|Sports|~|Public works|~|Catholic church,"News program El Mundo al Día: Presentation of diplomatic credentials at the National Palace before the Council of State presided by Rafael Filiberto Bonnelly Fondeur and its members Luis Amiama Tió, Antonio Imbert Barrera, Monsignor Eliseo Pérez Sánchez and others; Fernando Amiama Tió, Marrullo, also appears. Political leader Viriato Fiallo attends a party. Visit of José Antonio Fernández Caminero to the Provincial Government of La Altagracia and to the construction site of the Basílica of Higüey. Meeting of the United Front for Autonomous Trade Unions (FOUPSA). Council of State meets with Donald Reid Cabral and other officials. Baseball game.|~|Noticiario El Mundo al Día: Presentación de credenciales en el Palacio Nacional ante el Consejo de Estado presidido por Rafael Filiberto Bonnelly Fondeur y sus miembros Luis Amiama Tió, Antonio Imbert Barrera, monseñor Eliseo Pérez Sánchez y otros; también aparece Fernando Amiama Tió, Marrullo. Fiesta en la que aparece el líder político Viriato Fiallo. Visita de José Antonio Fernández Caminero a la Gobernación Provincial de La Altagracia y a la obra de construcción de Basílica de Higüey. Reunión del Frente Unido Pro Sindicatos Autónomos (FOUPSA). Consejo de Estado se reúne con Donald Reid Cabral y otros funcionarios. Juego de baseball.",Antonio Imbert Barrera and Luis Amiama Tió were involved in the execution of dictator Rafael Leónidas Trujillo Molina in 1961. Donald Joseph Reid Cabral was president of the Triumvirate that governed the Dominican Republic from 1963 to 1965.|~|Antonio Imbert Barreras y Luis Amiama Tió estuvieron implicados en el ajusticiamiento del dictador Rafael Leónidas Trujillo Molina en el 1961. Donald Joseph Reid Cabral fue presidente del Triunvirato que gobernó la República Dominicana del 1963 al 1965.,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/dr/4w/0g/21198=z1dr4w0g/ark%2B=21198=z1dr4w0g.mp4{},,2048,1531,1374.8,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr4w0g/manifest
Work,ark:/21198/z19044bb,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700900.mp4,2700900,"El Mundo al Día, 1963-02",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),February 1963,1963-02,spa,moving image,broadcasts,00h 23m 56s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do",,Santo Domingo,Read Hardware Store|~|United Front for Autonomous Trade Unions (FOUPSA)|~|Dominican Republic Primary School|~|Ferretería Read|~|Frente Unido Pro Sindicatos Autónomos (FOUPSA)|~|Escuela Primaria República Dominicana|~|Political activities|~|Military|~|Sports|~|Car accidents|~|Protest,"News program El Mundo al Día: Political meeting. Military meeting. Baseball game. Teaching people with visual disabilities at the National School for the Blind. Horse race. Protest in front of the Presidential Palace. Suicide of a man from a bridge. Protest of the workers of the Dulcera Dominicana, C. por A. against Constantino Bolonoto. Bowling game. View of Los Tres Ojos cave (Three Eyes Cave). View of poor houses built under the Duartes' Bridge. Car accident.|~|Noticiario El Mundo al Día: Almuerzo de políticos. Reunión de militares. Juego de baseball. Enseñanza a personas con discapacidad visual en la Escuela Nacional de Ciegos. Carrera de caballos. Protesta frente al Palacio Presidencial. Suicidio de un hombre desde un puente. Protesta de los trabajadores de la Dulcera Dominicana, C. por A. en contra de Constantino Bolonoto. Juego de bolos. Cueva Los Tres Ojos. Vista de las viviendas pobres construidas debajo del Puente Duarte. Vehículo accidentado.",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/90/44/bb/21198=z19044bb/ark%2B=21198=z19044bb.mp4{},,2048,1565,1436.0,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19044bb/manifest
Work,ark:/21198/z15b230w,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700901.mp4,2700901,"El Mundo al Día, 1963-01",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),"January 02, 1963 - January 05, 1963",1963-01-02/1963-01-05,spa,moving image,broadcasts,00h 17m 14s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do","Bonnelly Fondeur, Rafael Filiberto|~|Pérez Sánchez, Eliseo|~|Reid Cabral, Donald Joseph|~|Fernández Caminero, José Antonio|~|Beras Rojas, Octavio Antonio|~|Martin, John Bartlow|~|Polanco Brito, Hugo Eduardo|~|Brito Aragonés, José Eleuterio",Santo Domingo,Caribair|~|Political activities|~|International relations|~|Inaugurations|~|Public works|~|Catholic church|~|Singers,"News program El Mundo al Día: Wedding celebration. Evangelical worship service. Greetings from officials and ambassadors to the Council of State presided by Rafael Filiberto Bonnelly Fondeur and its members, Monsignor Eliseo Pérez Sánchez, José Antonio Fernández Caminero, Donald Reid Cabral, among others. US Ambassador John Bartlow Martin signs agreement at the National Palace. Home building. Facade of the bank Asociación Popular de Ahorros y Préstamos (Popular Association of Savings and Loans). Workers protest. House fire. Arrival of a United States Air Force plane. Visit to the tomb of the dominican baritone Eleuterio Brito.|~|Noticiario El Mundo al Día: Celebración de boda. Culto en iglesia evangélica. Salutaciones de funcionarios y embajadores al Consejo de Estado presidido por Rafael Filiberto Bonnelly Fondeur y sus miembros, monseñor Eliseo Pérez Sánchez, José Antonio Fernández Caminero, Donald Reid Cabral, entre otros. El embajador norteamericano John Bartlow Martin firma acuerdo en el Palacio Nacional. Construcción de viviendas. Fachada de la Asociación Popular de Ahorros y Préstamos. Protesta de trabajadores. Incendio de viviendas. Llegada de avión del United States Air Force. Visita a la tumba del barítono dominicano Eleuterio Brito (Eduardo Brito).",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/5b/23/0w/21198=z15b230w/ark%2B=21198=z15b230w.mp4{},,2048,1490,1034.56,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15b230w/manifest
Work,ark:/21198/z11k1bch,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700902.mp4,2700902,"El Mundo al Día, 1963-01",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),"January 02, 1963 - January 05, 1963",1963-01-02/1963-01-05,spa,moving image,broadcasts,00h 18m 28s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do","Bonnelly Fondeur, Rafael Filiberto|~| Fernández Caminero, José Antonio|~|Troncoso de la Concha, Parmenio",Santo Domingo,Education|~|Graduation|~|Workers|~|Tributes|~|Sugar mills,"News program El Mundo al Día: Graduation ceremony. Complaints against Central Romana. Complaint written to the newspaper Libertad by a worker against the Dulcera Dominicana, C por A. Party reception with the presence of Rafael Filiberto Bonnelly Fondeur, president of the Council of State. Television speech by José Antonio Fernández Caminero. Tribute from the City Hall of the National District to the physician Parmenio Troncoso who died in November 1962. People at a funeral. National Cemetery. People donate blood at the Dominican Red Cross.|~|Noticiario El Mundo al Día: Acto de graduación. Denuncia en contra del Central Romana. Denuncia escrita al periódico Libertad de un obrero en contra de la Dulcera Dominicana. Agasajo con la presencia de Rafael Filiberto Bonnelly Fondeur, presidente del Consejo de Estado. Alocución de José Antonio Fernández Caminero. Homenaje del Ayuntamiento del Distrito Nacional al doctor Parmenio Troncoso fallecido en noviembre del 1962. Personas en funeral. Cementerio Nacional. Personas donan sangre en la Cruz Roja Dominicana.",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/1k/1b/ch/21198=z11k1bch/ark%2B=21198=z11k1bch.mp4{},,2048,1531,1108.08,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k1bch/manifest
Work,ark:/21198/z1wt0ttx,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700910.mp4,2700910,"El Mundo al Día, 1964",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),October 1964,1964-10,spa,moving image,broadcasts,00h 23m 12s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do","Imbert Barrera, Antonio Cosme|~|Cáceres Troncoso, Ramón|~|Bennett, William Tapley Jr.|~|Portalatín Sosa, Lilia|~|Reid Cabral, Donald Joseph|~|Viñas Román, Víctor Elby",Santo Domingo,Decorations|~|Education|~|Political activities|~|International relations|~|Car accidents,"News program El Mundo al Día: View of Malecon de Santo Domingo. Meeting of nurses and physicians of the San Vicente de Paul Hospital. People donate blood at the Dominican Red Cross. The President of the Triumvirate, Donald Reid Cabral and Ramón Cáceres Troncoso, decorated an american military in the presence of Ambassador William Tapley Bennett Jr. Speech by Reid Cabral about the Welfare Services of the Dominican Institute of Social Security. Ceremony of the students of the San Martín de Porres School where Lilia Portalatín Sosa, Secretary of Education, Fine Arts and Worship, participates.|~|Noticiario El Mundo al Día: Vista del malecón de Santo Domingo. Reunión de enfermeras y médicos del Hospital San Vicente de Paul. Personas donan sangre en la Cruz Roja Dominicana. El presidente del Triunvirato Donald Joseph Reid Cabral junto a Ramón Cáceres Troncoso condecoran militar norteamericano en presencia del embajador William Tapley Bennett Jr. Alocución de Reid Cabral acerca de los Servicios Asistenciales del Instituto Dominicano de Seguros Sociales. Ceremonia de los estudiantes del Colegio San Martín de Porres donde participa Lilia Portalatín Sosa, secretaria de Educación, Bellas Artes y Cultos.",Lilia Portalatín Sosa was the first Dominican woman Secretary of Education|~|Lilia Portalatín Sosa fue la primera mujer secretaria de Educación.,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/wt/0t/tx/21198=z1wt0ttx/ark%2B=21198=z1wt0ttx.mp4{},,2048,1531,1392.2,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wt0ttx/manifest
Work,ark:/21198/z1s2032v,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700911.mp4,2700911,"El Mundo al Día, 1965-01",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),January 1965,1965-01,spa,moving image,broadcasts,00h 17m 57s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do","Pepén y Solimán, Juan Félix|~|Hernán Despradel Brache|~|Reid Cabral, Donald Joseph|~|Viñas Román, Víctor Elby|~|Beras Rojas, Octavio Antonio",Santo Domingo,"United States Naval Construction Battalions, Seabees|~|Political activities|~|International relations|~|Military|~|Catholic church|~|Sports","News program El Mundo al Día: Political party meeting. Secretary of State for the Armed Forces, General Víctor Elby Viñas Román, swears in [Hernán Despradel Brache as director of the National Police]. President Donald Joseph Reid Cabral receives people at the National Palace. Members of the United States Naval Construction Battalions, Seabees. Mass officiated by the Archbishop of Santo Domingo, Octavio Antonio Beras Rojas, attended by Donald Joseph Reid Cabral and Ramón Cáceres Troncoso, Víctor Elby Viñas Román, and other officers. Mass and procession in honor of the Virgen de la Altagracia at San Dionisio Church, Higüey.|~|Noticiario El Mundo al Día: Reunión de partido político. Secretario de Estado de las Fuerzas Armadas, general Víctor Elby Viñas Román, juramenta a [Hernán Despradel Brache como director de la Policía Nacional]. El presidente Donald Joseph Reid Cabral recibe personas en el Palacio Nacional. Miembros de United States Naval Construction Battalions, Seabees. Misa oficiada por el arzobispo de Santo Domingo, Octavio Antonio Beras, a la que asisten Donal Joseph Reid Cabral y Ramón Cáceres Troncoso, Víctor Elby Viñas Román, y otros oficiales. Misa y procesión en honor a la Virgen de la Altagracia en la Iglesia San Dionisio, Higüey.",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/s2/03/2v/21198=z1s2032v/ark%2B=21198=z1s2032v.mp4{},,2048,1531,1077.96,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s2032v/manifest
Work,ark:/21198/z1n89b8p,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700912.mp4,2700912,"El Mundo al Día, 1965-01",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),January 1965,1965-01,spa,moving image,broadcasts,00h 14m 59s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do",,Santo Domingo,Political activities|~|Catholic church|~|Trade unions,"News program El Mundo al Día: Meeting of political leaders. Mass and floral tribute to the Fathers of the Nation for the celebration of the tenth anniversary of the Corporación Dominicana de Electricidad (Dominican Electricity Corporation). Meeting of the Freight Transport Association, Inc. View of San José de Ocoa, San José Church and San José Hospital. Meeting at the Salvador Gautier Hospital. Meeting of the [U.S. program for Latin America] Alliance for Progress at the Rotary Club. Baseball game.|~|Noticiario El Mundo al Día: Reunión de dirigentes políticos. Misa y ofrenda floral a los Padres de la Patria por la Corporación Dominicana de Electricidad y celebración de su décimo aniversario. Reunión de la Asociación de Transportadores de Cargas, Inc. Recorrido por San José de Ocoa, Parroquia San José y Hospital San José. Reunión en el Hospital Salvador Gautier. Reunión del [programa de Estados Unidos para Latinoamérica] Alianza para el Progreso en el Rotary Club. Juego de béisbol.",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/n8/9b/8p/21198=z1n89b8p/ark%2B=21198=z1n89b8p.mp4{},,2048,1531,899.44,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n89b8p/manifest
Work,ark:/21198/z1hh8kjz,ark:/21198/z1t1748k|~|ark:/21198/z13b7wpn,othermasters/MEAPelmundoaldia/video/mp4/elmad_2700913.mp4,2700913,"El Mundo al Día, 1965-03",Radio Televisión Dominicana,Radio Televisión Dominicana,Santo Domingo (Dominican Republic),"March 18, 1965 - March 19, 1965",1965-03-18/1965-03-19,spa,moving image,broadcasts,00h 30m 22s,16mm,Archivo General de la Nación,Corporación Estatal de Radio y Televisión Dominicana (CERTV),public domain,published,"http://agn.gob.do/index.php/contacto, info@certv.gob.do","Pérez Sánchez, Eliseo|~|Tapia Espinal, Ramón|~|Tavares Espaillat, Manuel Enrique|~|Soto, Luis A.|~|Fernández Martínez, Luis F.|~|Ravelo, Carlos|~|Reid Cabral, Donald Joseph|~|Viñas Román, Víctor Elby|~|Bennett, William Tapley Jr.|~|Fiallo Rodríguez, Viriato Alberto",Santo Domingo,Agriculture|~|Education|~|schools|~|public works|~|International relations|~|Funerals|~|Tributes|~|Diplomacy,"News program El Mundo al Día: Visit of the president of the Triumvirate, Donald Joseph Reid Cabral, to farmers, accompanied by american ambassador William Tapley Benett Jr. Members of the Triumvirate RamónTapia Espinal and Manuel Enrique Tavares Espaillat participates at a party reception. Inauguration of the HI-92 aircraft of the Compañía Dominicana de Aviación (Dominican Aviation Company). Construction works of the Anacaona Almonte Urban Elementary School. Presentation of Ambassador credentials to the Triumvirate government at the National Palace. Speech by Viriato Fiallo at a meeting of the National Civic Union. March in commemoration of the Battle of March 19, with the participation of the Secretary of State for the Armed Forces, general Víctor Elby Viñas Román.|~|Noticiario El Mundo al Día: Visita del presidente del Triunvirato, Donald Joseph Reid Cabral a agricultores, acompañado del embajador norteamericano William Tapley Benett Jr. Recepción donde figuran los triunviros Ramón Tapia Espinal y Manuel Enrique Tavares Espaillat. Inauguración del avión HI-92 del la compañía Dominicana de Aviación. Obras de construcción de la Escuela Primaria Urbana Anacaona Almonte. Presentación de credenciales de Embajador al gobierno de Triunvirato en el Palacio Nacional. Alocución de Viriato Fiallo en reunión de la Unión Cívica Nacional. Marcha en conmemoración de la Batalla del 19 de Marzo, con la participación del secretario de las Fuerzas Armadas, general Víctor Elby Viñas Román.","Ramón Tapia Espinal and Manuel Enrique Tavares were part of the Triumvirate from 1963 to 1964. Viriato Fiallo was an opposition political leader of the Trujillo dictatorship and founder of the Unión Cívica Nacional party in 1961. Battle of March 19 or Battle of Azua, was the first major battle of the Dominican War of Independence against the Haitian Army in 1844.|~|Ramón Tapia Espinal y Manuel Enrique Tavares fueron parte del Triunvirato del 1963 hasta el 1964. Viriato Fiallo fue líder político opositor de la dictura de Trujillo y fundador del partido Unión Cívica Nacional en el 1961. La Batalla del 19 de Marzo o Batalla de Azua, fue una de las mayores batallas independistas llevada a cabo en contra del Ejército haitianos en el 1844.",https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/hh/8k/jz/21198=z1hh8kjz/ark%2B=21198=z1hh8kjz.mp4{},,2048,1531,1822.2,video/mp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hh8kjz/manifest
