"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Subject.descriptiveTopic","Type.typeOfResource","Subject.conceptTopic","Rights.copyrightStatus","Language","Coverage.geographic","Rights.publicationStatus","Name.repository","Publisher.publisherName","Subject.corporateName","Type.genre","Name.manufacturer","Name.subject","Name.printer","Name.retailer","Name.designer","Rights.rightsHolderContact","Name.artist","Name.creator","Name.sponsor","AltTitle.uniform","Title","Format.dimensions","Description.caption","Publisher.placeOfOrigin","Date.normalized","Date.creation","Description.note","AltTitle.other","Format.extent","AltTitle.descriptive","Alternate Title.former","AltTitle.translated","Opac url","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Patent Medicine Cards","ark:/21198/zz0002hhpg/1n31z10f","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2F1n31z10f",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/2g435s69","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-13-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2F2g435s69",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/3w24t50k","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-12-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2F3w24t50k",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/5862wh7h","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-2-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2F5862wh7h",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/8666v667","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-17-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2F8666v667",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/ds84k78s","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-9-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fds84k78s",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/hk56g756","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-11-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fhk56g756",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/mj748n7b","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-15-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fmj748n7b",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/mt37vn08","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-14-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fmt37vn08",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/q680qp66","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-3-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fq680qp66",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/qh257q7k","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-6-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fqh257q7k",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/rv76cq53","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-16-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Frv76cq53",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/s068jj2j","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-4-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fs068jj2j",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/t829zv5z","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-8-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Ft829zv5z",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/tw060744","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-7-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Ftw060744",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/wj702b0h","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-10-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fwj702b0h",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/wq25619t","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-18-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fwq25619t",""
"Patent Medicine Cards","ark:/21198/zz0002hhpg/wt78fv87","ark:/21198/zz0002hhpg","","","Page","patentmedcards/masters/21198-zz0002hhpg-5-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hhpg%2Fwt78fv87",""
