"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Rights.copyrightStatus","Subject","Name.subject","Rights.countryCreation","Language","Name.repository","Type.typeOfResource","Rights.permission","Name.interviewer","Type.genre","Subject.uniformTitle","Name.sponsor","Name.contributor","Date.creation","Relation.isPartOf","Title","Alt ID.local","Description.fundingNote","Relation.describedIn","Date.normalized","Format.extent","Description.note","Coverage.geographic","Coverage.spatialLatitude","Coverage.spatialLongitude","Relation.relatedTo","Description.abstract","viewingHint","Text direction","Visibility","IIIF Range","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx2b","ark:/21198/zz0015w1xw","2","Completed","Work","","18","","","","copyrighted","","Wonder, Stevie","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","1960s","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Stevie Wonder ca. 1960s","uclapasc_342_057_010_b|~|uclapasc_342_057_010_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1960/1969","1 audiocassette (01:23:55)","Although date was included, the year is illegible. It appears to be from the late 1960s.","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx2b/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx3v","ark:/21198/zz0015w1xw","2","Completed","Work","","20","","","","copyrighted","","Knight, Gladys, $d 1944-|~|Gladys Knight and the Pips","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","[between 1967 and 1989?]","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Gladys Knight & the Pips undated","uclapasc_342_057_011_a|~|uclapasc_342_057_011_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1967/1989","1 audiocassette (01:03:32)","Undated recording most likely made between 1967 and 1989.","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx3v/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx4c","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_057_012_M_a.wav","22","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vx/4c/21198=zz002dvx4c/ark%2B=21198=zz002dvx4c.mp4{}","copyrighted","","Reeves, Martha","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","May 17, 1971","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Martha Reeves, May 17, 1971","uclapasc_342_057_012_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1971-05-17","1 audiocassette (00:48:24)","","","","","","","","","","","","","2904.12001","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx4c/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx5w","ark:/21198/zz0015w1xw","2","Completed","Work","","23","","","","copyrighted","","Davis, Sammy, 1925-1990","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Spiegelman, Judy","compact cassette","","","","June 21, 1980","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Sammy Davis, Jr. for Judy Spiegelman, June 21, 1980","uclapasc_342_057_013_a|~|uclapasc_342_057_013_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1980-06-21","1 audiocassette (01:32:57)","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx5w/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx6d","ark:/21198/zz0015w1xw","2","Completed","Work","","25","","","","copyrighted","","Rawls, Lou","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","Rawls, Lana","","April 7, 1969 & April 14, 1969","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Lou Rawls at NBC and Lana Rawls, April 7 & April 14, 1969","uclapasc_342_057_014_b|~|uclapasc_342_057_014_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1969-04-07/1969-04-014","1 audiocassette (01:04:28)","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx6d/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx7x","ark:/21198/zz0015w1xw","2","Completed","Work","","27","","","","copyrighted","","","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","Rawls, Lana","","April 14, 1969","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Lana Rawls, April 14, 1969","uclapasc_342_057_015_a|~|uclapasc_342_057_015_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1969-04-14","1 audiocassette (01:03:57)","Refers to the former wife of Lou Rawls","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx7x/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx8f","ark:/21198/zz0015w1xw","2","Completed","Work","","29","","","","copyrighted","","Belafonte, Harry, 1927-|~|Turner, Tina|~|Temptations (Musical group)","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","[1972?]","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Belafonte and Tina Turner, ca. 1972","uclapasc_342_057_016_a|~|uclapasc_342_057_016_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1972","1 audiocassette (01:01:38)","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx8f/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvx9z","ark:/21198/zz0015w1xw","2","Completed","Work","","31","","","","copyrighted","","Ruffin, David|~|Temptations (Musical group)","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","January 1969","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","David Ruffin, first after leaving Tempts (i.e. Temptations), January 1969","uclapasc_342_057_017_a|~|uclapasc_342_057_017_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1969-01","1 audiocassette (00:53:25)","Refers to the Temptations","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvx9z/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxbg","ark:/21198/zz0015w1xw","2","Completed","Work","","33","","","","copyrighted","","Wonder, Stevie","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Pitts, Leonard","compact cassette","","","","March 8, 1979","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Stevie Wonder by L.P.J., March 8, 1979","uclapasc_342_058_001_a|~|uclapasc_342_058_001_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1979-03-08","1 audiocassette (01:13:32)","L.P.J. is likely Leonard Pitts","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxbg/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxc0","ark:/21198/zz0015w1xw","2","Completed","Work","","35","","","","copyrighted","","Greene-Brown, Susaye","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","December 7, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Susaye Green, December 7, 1977","uclapasc_342_058_002_b|~|uclapasc_342_058_002_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-12-07","1 audiocassette (00:41:41)","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxc0/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxdh","ark:/21198/zz0015w1xw","2","Completed","Work","","37","","","","copyrighted","","Davis, Don, $d 1928-","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","May 13, 1974","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Don Davis, producer (1 of 2), May 13, 1974","uclapasc_342_058_003_a|~|uclapasc_342_058_003_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1974-05-13","1 audiocassette (01:04:11)","","","","","//21198/zz002dvxf1 (part 2)","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxdh/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxf1","ark:/21198/zz0015w1xw","2","Completed","Work","","39","","","","copyrighted","","Davis, Don, $d 1928-","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","May 13, 1974","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Don Davis, producer (2 of 2), May 13, 1974","uclapasc_342_058_004_a|~|uclapasc_342_058_004_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1974-05-13","1 audiocassette (01:52:47)","","","","","//21198/zz002dvxdh (part 1)","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxf1/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxgj","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_058_005_M_a.wav","41","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vx/gj/21198=zz002dvxgj/ark%2B=21198=zz002dvxgj.mp4{}","copyrighted","","Rushen, Patrice","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Terry, Mike","compact cassette","","","","October 23, 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Patrice Rushen by Mike Terry, October 23, 1978","uclapasc_342_058_005_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-10-23","1 audiocassette (00:38:49)","","","","","","","","","","","","","2329.593813","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxgj/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxh2","ark:/21198/zz0015w1xw","2","Completed","Work","","42","","","","copyrighted","","Rogers, D. J., $c keyboardist|~|Cole, Natalie, $d 1950-","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","[1978]","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Natalie Cole and D.J. Rogers, ca. 1978","uclapasc_342_058_006_b|~|uclapasc_342_058_006_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978","1 audiocassette (01:21:25)","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxh2/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxjk","ark:/21198/zz0015w1xw","2","Completed","Work","","44","","","","copyrighted","","Summer, Donna","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","September 29, 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Donna Summer, September 29, 1978","uclapasc_342_058_007_a|~|uclapasc_342_058_007_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-09-29","1 audiocassette (01:07:49)","Tape is a recording of a phone interview.","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxjk/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxk3","ark:/21198/zz0015w1xw","2","Completed","Work","","46","","","","copyrighted","","Mighty Hannibal, $d 1939-|~|Harris, Damon","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Terry, Mike","compact cassette","","","","[early 1970s]","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","King Hannibal (aka The Mighty Hannibal) and Damon Harris, early 1970s","uclapasc_342_058_008_a|~|uclapasc_342_058_008_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1970/1975","1 audiocassette (01:06:25)","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxk3/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxmm","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_058_009_M_a.wav","48","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vx/mm/21198=zz002dvxmm/ark%2B=21198=zz002dvxmm.mp4{}","copyrighted","","Franklin, Melvin, $d 1942-1995|~|Rose Royce (Musical group)|~|Sanford, Isabel, $d 1917-2004","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","December 6, 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Rose Royce, December 6, 1978; Melvin Franklin and Isabel Sanford","uclapasc_342_058_009_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-12-06","1 audiocassette (00:37:25)","Rose Royce is on the first section of the recording; Melvin Franklin and Isabel Sanford are on the second section; date pertains to Rose Royce interview.","","","","","","","","","","","","2245.922198","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxmm/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxn4","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_058_010_M_a.wav","49","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vx/n4/21198=zz002dvxn4/ark%2B=21198=zz002dvxn4.mp4{}","copyrighted","","Jones, Quincy, 1933-","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Wickham, Phyllis","compact cassette","","","","September 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Quincy Jones by Phyllis Wickham, September, 1978","uclapasc_342_058_010_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-09","1 audiocassette (00:15:35)","","","","","","","","","","","","","935.253615","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxn4/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxpn","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_058_011_M_a.wav","50","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vx/pn/21198=zz002dvxpn/ark%2B=21198=zz002dvxpn.mp4{}","copyrighted","","Labelle (Musical group)","","eng","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","February 1, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Labelle splits by Vicky Wickham (1 of 2), February 1, 1977","uclapasc_342_058_011_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-02-01","1 audiocassette (00:24:13)","","","","","","","","","","","","","1453.854521","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxpn/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxq5","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_058_012_M_a.wav","51","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vx/q5/21198=zz002dvxq5/ark%2B=21198=zz002dvxq5.mp4{}","copyrighted","","Labelle (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","compact cassette","","","","February 1, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Labelle splits by Vicky Wickham (2 of 2), February 1, 1977","uclapasc_342_058_012_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-02-01","1 audiocassette (00:10:13)","","","","","//21198/zz002dvxpn (part 1)","","","","","","","","613.125979","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxq5/manifest"
