"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Name.other","Name.creator","Language","Subject.conceptTopic","Rights.permission","Subject geographic","Author","Name.cartographer","Name.repository","Name.subject","Date.publication","Description.note","Opac url","Publisher.placeOfOrigin","Coverage.geographic","Title","Format.extent","Coverage.geoscale","AltTitle","Publisher.publisherName","Alt ID.oclc","Alt ID.callNo","Alt ID.local","Coverage.geographiccoordinates","Date.creation","Date.normalized","Alt ID.lccn","Alt ID.catalogRecordNumber","Description.abstract","Publisher.edition","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz0028tr8x","","2","Completed","Collection","","","","","cartographic","map","","","","","eng","Los Angeles (Calif.) $v Maps|~|Los Angeles County (Calif.) $v Maps|~|California $v Maps","","Patagonia (Argentina and Chile)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","[between 1860 and 1950]","","","","","Bruman (Henry J.) Map Collection, UCLA Library","maps","","Henry J. Bruman Map Collection","","","","","","","1860/1950","","","The Henry J. Bruman Map Collection at UCLA contains historical and contemporary maps from around the world.  The digital collection focuses on historical maps of California, Los Angeles County, and the city of Los Angeles with an emphasis on maps from 1860-1950.  This is an ongoing project and maps will be added to this collection as they are scanned and processed.","","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0028tr8x"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz0028vdvb","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/21198-zz0028vdvb_2387409_master.tif","","","","cartographic","map","","","Lambert & Lane.|~|David Rumsey Collection.|~|Cartography Associates.","Jackson, Wm. A. (William A.).","eng","","","California, Northern--Maps","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","1851|~|c1851","by Wm. A. Jackson.|~|David Rumsey Collection (Pub. list no. 2545.000).|~|The only map to label Santa Cruz County ""Branciforte.""|~|Relief represented by hachures.|~|Scanned raster image of original: 1 map : hand col. ; 51 x 42 cm., folded in cover 14 x 10 cm., with appendix (16 p.) Scanned by Cartography Associates.|~|Shows drainage, county boundaries, roads, mines, Indian villages, etc.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5090887"">UCLA Catalog Record</a>","","nyu|~|New York","California, Northern","Map of the mining district of California","","595000","西烏珠穆沁王府","Lambert & Lane","","G4360 1851 .J33 1998","","southernmost:N0364500|~|westernmost:W1225000|~|westernmost:E1160000|~|northernmost:N0393000|~|easternmost:W1195500","","","","","","2nd ed., rev. and enl.","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028vdvb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028vdvb/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz00293dns","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/21198-zz00293dns_1966473_master.tif","","","","cartographic","map","pd_usfed","","","United States. Resettlement Administration. Land Utilization Division. Land Use Planning Section. California Unit.","eng","","","California--Population","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","1936|~|[1936]","""Survey made and map compiled in 1936.""|~|Shows areas with increases or decreases of 10 or more families.|~|California Unit, Land-Use Planning Section, Land Utilization Division, Resettlement Administration.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6788522"">UCLA Catalog Record</a>","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3515950","cau|~|[California?]","California","Significant population movements in non-urban areas, 1930-1935","1 map ; on sheet 23 x 36 cm.","","","The Unit","24388297","G4361.E2 C.L.P. 1936","","westernmost:W1242500|~|southernmost:N0323200|~|easternmost:W1140700|~|northernmost:N0420000","","","","3515950","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00293dns","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00293dns/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz00293fxd","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/21198-zz00293fxd_1966555_master.tif","","","","cartographic","map|~|Pictorial maps.","unknown","","","Bank of America.","eng","California--Maps, Pictorial","","California--Maps","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","c1938","Not drawn to scale.|~|Oriented with north toward the upper left.|~|Relief shown pictorially.|~|Includes text.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=549699"">UCLA Catalog Record</a>","549699","San Francisco, Calif.","California","[Map of California].","1 map : col. ; on sheet 36 x 88 cm.","","","Bank of America","22878651","G4361.A5 B of A 1938","","","","1938","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00293fxd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00293fxd/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz00297jdw","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/21198-zz00297jdw_1976457_master.tif","","","","cartographic","map","pd_usfed","","","California State Mining Bureau.","eng","Oil City (Calif.)--Maps|~|Petroleum--California","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","1899?]","Contour intervals 20 ft.|~|Scale about 1500 ft. to the inch.|~|issued by the State Mining Bureau.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=686899"">UCLA Catalog Record</a>","686899","[Sacramento|~|cau","California|~|Oil City (Calif.)","Oil City oil field, Fresno Co., California","map 53 x 41 cm. folded to 21 x 14 cm.","","","","06175932","G4363 .Fresno Co. 18 SMB 1899","","","","","gs 07000036","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jdw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jdw/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz00297jhf","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/21198-zz00297jhf_1976474_master.tif","","","","cartographic","map","pd_usfed","","Alameda County (Calif.). County Surveyor.","Boggs, Wallace B.","eng","Roads--California--Alameda County--Maps","","Alameda County (Calif.)--Maps","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","[ca. 1947]","Shows roads, township and section lines, townships, railroads, canals, rivers and creeks.|~|""Barker""--lower right corner.|~|Wallace B. Boggs, County Surveyor.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650604"">UCLA Catalog Record</a>","6650604","cau|~|[Oakland, Calif]","California|~|Alameda County (Calif.)","Highways of Alameda County, California","1 map ; 19 x 31 cm.","300000","","County Surveyor","710835920","G4363 Alameda Co. .P2 ca.300 WBB","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jhf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jhf/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz00297jjz","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/21198-zz00297jjz_1976477_master.tif","","","","cartographic","map","pd|~|Y","","Alameda County Historical Society.|~|Becker, Robert H.|~|Bowman, J. N. (Jacob Neibert). 1875-1968.","Von Schmidt, A. W. (Allexey Waldemar). b. 1823?.","eng","Rancho San Antonio (Alameda County|~|Maps—Facsimiles","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","1967?]","""Permission to reproduce granted by Dr. Dudley W. Bennett.""|~|Shows drainage, settlements, acreages, buildings, etc.|~|surveyed by A.W. Von Schmidt, U.S. Deputy Surveyor.|~|""Size of original: 40 x 28 inches.""|~|""A true copy of the original 1852 map, presented to charter members of the Alameda County Historical Society. 410 copies.""|~|Relief represented by shading.|~|Facsim. of ms. map: [1852].|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3551942"">UCLA Catalog Record</a>","3551942","cau|~|[Oakland, Calif.?","Rancho San Antonio (Alameda County, Calif.)","Plan of Rancho de-San-Antonio claimed by Vincinte","1 map : col. ; 30 x 43 cm.","70500","","Alameda County Historical Society","26788727","G4363 .Alameda Co. ns 1852","","northernmost:N0375200|~|westernmost:W1221600|~|southernmost:N0375200|~|easternmost:W1221600","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jjz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jjz/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz00297jm0","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/21198-zz00297jm0_1976483_master.tif","","","","cartographic","map","pd","","","Handy and Wallace.","eng","Copper mines and mining--California--Calaveras County--Maps","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","1864","Includes ""Sectional view of the Reed Lode.""|~|Oriented with north toward the upper left.|~|surveyed and drawn by Handy & Wallace.|~|Negative.|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1571848"">UCLA Catalog Record</a>","1571848","cau|~|San Francisco","Calaveras County|~|California","Map of the copper mines of Calaveras County","1 map : photocopy ; 25 x 43 cm.","825000","","A. Gensoul","26644116","G4363 .Calaveras Co H2 A6 1864","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00297jm0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00297jm0/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cxxcg","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR1129F2/G6044_St_Moritz_25.tif","","","","cartographic","map","unknown","unknown","","","ger","","","Switzerland--Maps|~|Saint Moritz Region (Switzerland)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","","","","","Saint Moritz Region (Switzerland)","Exkursionskarte Von St. Moritz Und Umgebung.","","","Excursion Map of St. Moritz and surroundings.","","","","G6044_St_Moritz_25|~|DR1129F2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cxxcg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cxxcg/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cfjrk","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/Drawer708_DR708F2/G5832_R3_OSS_1944.tif","","","","cartographic","map","unknown","unknown","","","eng","World War, 1914-1918--France--Maps","","France, Northern--Maps","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","1944","","","","France, Northern","Northern France","","","","","","","G5832_R3_OSS_1944|~|DR708F2","","","1944","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cfjrk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cfjrk/manifest"
