Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Date.publication,Description.note,Alt ID.OPAC,Publisher.placeOfOrigin,Coverage.geographic,Title,Format.extent,Coverage.geoscale,AltTitle,Publisher.publisherName,Alt ID.oclc,Alt ID.callNo,Alt ID.local,Coverage.geographiccoordinates,Date.creation,Date.normalized,Alt ID.lccn,Alt ID.catalogRecordNumber,Description.abstract,Publisher.edition,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz0028tr8x,,2,Completed,Collection,,2993,,,cartographic,map,,,,,eng,Los Angeles (Calif.) $v Maps|~|Los Angeles County (Calif.) $v Maps|~|California $v Maps,,Patagonia (Argentina and Chile)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[between 1860 and 1950],,,,,"Bruman (Henry J.) Map Collection, UCLA Library",maps,,Henry J. Bruman Map Collection,,,,,,,1860/1950,,,"The Henry J. Bruman Map Collection at UCLA contains historical and contemporary maps from around the world.  The digital collection focuses on historical maps of California, Los Angeles County, and the city of Los Angeles with an emphasis on maps from 1860-1950.  This is an ongoing project and maps will be added to this collection as they are scanned and processed.",,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz0028vds9,ark:/21198/zz0028tr8x,5,Imported,Work,,4,,,cartographic,map,,,"Gendron, George A.|~|Pilcher, Walter R.|~|United States. Forest Service.",United States. Bureau of Agricultural Economics. Division of Land Economics.,eng,,,California--Population--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[1935?],"""Population research and analysis and preparation of map ... by George A. Gendron, assisted by Edmond O. Burger; cartography by Walter R. Pilcher.|~|Includes 2 insets, county outline map, index with population figures, and notes.|~|U.S. Department of Agriculture, Bureau of Agricultural Economics, Division of Land Economics, with the valuable assistance of the U.S. Forest Service.",,"dcu|~|[Washington, D.C.?]",California,Population 1935,1 map ; 124 x 94 cm.,1000000,,The Division,,,,westernmost:W1242500|~|easternmost:W1140700|~|southernmost:N0323200|~|northernmost:N0420000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293frt,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293frt_1966537_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00293frt_1966534_master.tif,12,,,cartographic,map,Y,,"Owens, Charles H.|~|Californians Inc.",All-Year Club of Southern California.,eng,"California--Maps, Tourist|~|California--Maps, Pictorial",,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,c1939,"Includes text and inset maps of ""San Francisco Bay Area"" ""Los Angeles and vicinity.""|~|""California"" is a bird's-eye view.|~|drawing by Charles H. Owens.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6563249"">UCLA Catalog Record</a>",6563249,"San Francisco|~|cau|~|Los Angeles, Calif",California,California official tourist picture map,"2 maps on 1 sheet : back-to-back ; sheet 97 x 43 cm., folded to 25 x 11 cm.",1700000,California,Californians Inc.|~|All-Year Club,49981598,G4361.A5 N5 AYC 1939,,southernmost:N0323700|~|easternmost:W1140700|~|northernmost:N0420000|~|westernmost:W1242200,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293ftv,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293ftv_1966546_master.tif,14,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1857,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516600"">UCLA Catalog Record</a>",3516600,"San Francisco, Calif. : Surveyor General’s Office, 1857.",California,"Map of public surveys in California : to accompany report of Surveyor Genl., 1857.","1 map ; 91 x 77 cm., folded to 23 x 12 cm.",,,,21637256,G4361.B5 1.14m S.G.O. 1857,,,,1857,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293fvc,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293fvc_1966549_master.tif,15,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1862,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516602"">UCLA Catalog Record</a>",3516602,,California,"Map of public surveys in California : to accompany report of Surveyor Genl., 1862.",1 map ; 90 x 77 cm.,,,,15291830,G4361.B5 1.14m S.G.O. 1862,,,,1862,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293fww,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293fww_1966552_master.tif,16,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1855,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516599"">UCLA Catalog Record</a>",3516599,,California,"Map of public surveys in California : to accompany report of Surveyor Genl., 1855",1 map ; 92 x 79 cm.,,,,24689931,G4361.B5 1.14m S.G.O. 1855,,,,1855,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293vwp,ark:/21198/zz0028tr8x,7,Needs Review,Work,,18,,,cartographic,map,,,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,,,6563972,,,[Map of California].,,,,,,,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kqp,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294kqp_1968927_master.tif,19,,,cartographic,map,pd_usfed,,,United States. Surveyor General of California.,eng,California--Surveys--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1858,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3516601"">UCLA Catalog Record</a>",3516601,,California,"Map of public surveys in California : to accompany report of Surveyor Genl., 1858",1 map : mounted on linen ; 91 x 78 cm.,,,,26272351,G4363 .B5 1.14m S.G.O 1858,,,,1858,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kr6,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294kr6_1969011_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00294kr6_1968954_master.tif,20,,,cartographic,map,pd_usfed,,"Renshawe, John H.|~|Scobey, Fred C. (Frederick Charles). 1880-1962.|~|Bowen, Lot.",United States. Dept. of Agriculture.,eng,Irrigation--California,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[1922?],"base compiled chiefly from latest U.S. Land Office, War Department, Forest Service, and Geological Survey topographic maps|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6635643"">UCLA Catalog Record</a>",3470541,[Washington D.C.?],California,[Irrigation map of California],"1 map on 3 sheets : col. ; 215 x 183 cm., on sheets 130 x 100 cm. or smaller.",,,[Dept. of Agriculture?],706527159,G4361.J4 506 USDA 1922,,,,[1922?],,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294ksq,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294ksq_1969046_master.tif,22,,,cartographic,map,unknown,,,"California Lands, Inc.",eng,Agriculture--California--Maps,,California--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,c1939,"Not drawn to scale|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6640722"">UCLA Catalog Record</a>",6640722,"San Francisco, [Calif.]",California,Map of California,1 map : col. ; 21 x 86 cm.,,,California Lands Inc.,380487842,G4361 .J1 CLI 1939,,,,c1939,,,,,,
