Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Opac url,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract,Opac url,Bucketeer State,IIIF Access URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c1532,ark:/21198/zz0028tr8x,3,Pending,Work,Masters/Maps/Bruman-Maps/image/Drawer12_folder2/G4362_020_G46_400_SPLC_1941.tif,,,,private,,,cartographic,map,copyrighted,unknown,,Southern Pacific Company. Land Dept.,eng,"Real property--California, Southern--Maps",,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Southern Pacific Land Company lands in California,[1941],,Land Dept.,"""May 1941.""|~|Shows portions of Kern, Los Angeles, San Bernardino and Ventura counties.|~|""S.P.R.R. Co. Grant.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6602596"">UCLA Catalog Record</a>",cau|~|San Francisco,1 map : col. ; 45 x 72 cm.,"California, Southern",697894610,G4362 (.020) .G46 400 SPLC 1941,,6602596,400000,Lands in California,G4362_020_G46_400_SPLC_1941,,,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c1qmj,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/Drawer21_folder2/G4363s_F7_1945_South_LA_30.tif,,,,private,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G4363s_F7_1945_South_LA_30,,,,,,,,,,,,,,G4363s_F7_1945_South_LA_30,,,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c1rnj,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer22_folder1/G4363_LA_Co_P2_SPFNB_1938a_copy1.tif,,,,,,,cartographic,cartographic|~|map,unknown,,,Security-First National Bank of Los Angeles.,eng,Roads--California--Los Angeles Metropolitan Area--Maps|~|Roads--California--Los Angeles--Maps,,Los Angeles (Calif.)--Maps|~|Los Angeles Metropolitan Area (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of Los Angeles, Hollywood, Pasadena, Glendale, Santa Monica, Alhambra, Huntington Park, Inglewood, Beverly Hills, and adjacent cities",[1938?],,Security-First National Bank of Los Angeles,,Los Angeles,"1 map ; 57 x 75 cm., folded to 24 x 11 cm.",Los Angeles (Calif.)|~|Los Angeles Metropolitan Area (Calif.),25280452,G4363 L.A. Co. .P2 SPFNB 1938,,6685324,,,G4363_LA_Co_P2_SPFNB_1938a_copy1,,,1938,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c1rp2,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer22_folder1/G4363_LA_Co_P2_SPFNB_1938a_copy2.tif,,,,,,,cartographic,map,unknown,unknown,,Security-First National Bank of Los Angeles.,eng,Roads--California--Los Angeles Metropolitan Area--Maps|~|Los Angeles (Calif.)--Road maps|~|Roads--California--Los Angeles--Maps,,Los Angeles (Calif.)--Maps|~|Los Angeles Metropolitan Area (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of Los Angeles, Hollywood, Pasadena, Glendale, Santa Monica, Alhambra, Huntington Park, Inglewood, Beverly Hills, and adjacent cities",[1938?],,Security-First National Bank of Los Angeles,,Los Angeles,"1 map ; 57 x 75 cm., folded to 24 x 11 cm.",Los Angeles Metropolitan Area (Calif.)|~|Los Angeles (Calif.),702661624,G4363 L.A. Co. .P2 SPFNB 1938,,6685324,,,G4363_LA_Co_P2_SPFNB_1938a_copy2,,,1938,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c1rqk,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer22_folder1/G4363_LA_Co_P2_SPFNB_1938b_copy1.tif,,,,,,,cartographic,maps,unknown,unknown,,Security-First National Bank of Los Angeles.,eng,Roads--California--Los Angeles Metropolitan Area--Maps|~|Roads--California--Los Angeles--Maps,,Los Angeles (Calif.)--Maps|~|Los Angeles Metropolitan Area (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of Los Angeles, Hollywood, Pasadena, Glendale, Santa Monica, Alhambra, Huntington Park, Inglewood, Beverly Hills, and adjacent cities",[1938?],,Security-First National Bank of Los Angeles,,Los Angeles,"1 map ; 57 x 75 cm., folded to 24 x 11 cm.",Los Angeles (Calif.)|~|Los Angeles Metropolitan Area (Calif.),702661624,G4363 L.A. Co. .P2 SPFNB 1938,,6685324,,,G4363_LA_Co_P2_SPFNB_1938b_copy1,,,1938,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c1tz5,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer23_folder2/G4364_Grass_Valley_NS_NP_1935.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Grass Valley (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"City street map : [Grass Valley, Calif.]",[193-?],,,"Shows Wolf Creek|~|Brown line print of manuscript map.|~|Includes area from Eureka Heights on the north to Empire Street on the south; Irish Flat and Watt Park on the west to Hills Flat, city cemeteries, Pike Flat and Deacons Folly on the east.|~|UCLA copy stamped received Mar 29, 1935.",[Calif.?],1 map : photocopy ; 22 x 30 cm.,Grass Valley (Calif.),747880273,G4364 Grass Valley NS NP [1935],,6775148,,,G4364_Grass_Valley_NS_NP_1935,,,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cfpgc,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DrawerGN_DRGNF2/G3701_G6_6m_USOI_1884.tif,,,,private,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G3701_G6_6m_USOI_1884,,,,,,,,,,,,,,G3701_G6_6m_USOI_1884|~|DRGNF2,,,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002cxwtq,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR1129F2/G6042_250_LR_1897.tif,,,,private,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G6042_250_LR_1897,,,,,,,,,,,,,,G6042_250_LR_1897|~|DR1129F2,,,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002hkvqv,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/Drawer735_folder3/G4840_200_1905.tif,,,,private,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G4840_200_1905,,,,,,,,,,,,,,G4840_200_1905|~|Drawer735_folder3,,,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c1rm1,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1rm1%2Ftp67zf78,cartographic,map,copyrighted,,,Automobile Club of Southern California. Map Dept.,eng,Los Angeles (Calif.)--Road maps,,Los Angeles County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Automobile road map of Los Angeles County, California",,,The Club,compiled and copyrighted by the Automobile Club of Southern California ; prepared by the Map Department of the Automobile Club of Southern California.,"Los Angeles, Calif.","1 map ; 68 x 67 cm., folded to 27 x 9 cm.",Los Angeles County (Calif.),G4363 L.A. Co. .P2 ca.190 ACSC 192-?,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=534219,,,G4363_LA_Co_P2_ca_190_ACSC_192_a,[192-?],1920/1929,,,,,,
