Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject topic
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March 1960, Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg, Volume 1, 15th June 1960",ark:/21198/z1jm4909,ark:/21198/z1t45sc2,,,,,,,1960-06-15,,,,,129 pages,,reports,eng,johannesburg_vol1,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March 1960, Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg, Volume 2, 15th June 1960",ark:/21198/z1dz27nf,ark:/21198/z1t45sc2,,,,,,,1960-06-15,,,,,128 pages,,reports,eng,johannesburg_vol2,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 01",ark:/21198/z1961gwk,ark:/21198/z1t45sc2,,,,,"Witnesses: Maselela (page 9), Mollson (page 62), Ndwandwe (page 84), Mpenyana (page 112), Lambinon (page 126)",,1960-08-17,,,,,128 pages,,reports,eng,b7617662_courtcase_v001,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 02",ark:/21198/z15f0r4t,ark:/21198/z1t45sc2,,,,,"Witnesses: Mpenyana (page 128), Khumka (page 137)",,1960-10-06,,,,,40 pages,,reports,eng,b7617662_courtcase_v002,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 03",ark:/21198/z11p00c1,ark:/21198/z1t45sc2,,,,,"Witnesses: Madyra (page 167), Rameboe (page 195)",,1960-10-07,,,,,110 pages,,reports,eng,b7617662_courtcase_v003,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 04",ark:/21198/z1ww9gzp,ark:/21198/z1t45sc2,,,,,Witness: Dunga (page 271),,1960-10-18,,,,,58 pages,,reports,eng,b7617662_courtcase_v004,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 05",ark:/21198/z1s48r84,ark:/21198/z1t45sc2,,,,,Witness: Labuschagne (page 327),,1960-10-19,,,,,93 pages,,reports,afr,b7617662_courtcase_v005,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 06",ark:/21198/z1nc80js,ark:/21198/z1t45sc2,,,,,,,1960-10-21,,,,,58 pages,,reports,afr|~|eng,b7617662_courtcase_v006,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 07",ark:/21198/z1hq5z8v,ark:/21198/z1t45sc2,,,,,"Witnesses: Labuschagne (page 472), Grobler (page 550)",,1960-10-24,,,,,143 pages,,reports,eng|~|afr,b7617662_courtcase_v007,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 08",ark:/21198/z1cz56jh,ark:/21198/z1t45sc2,,,,,Witness: Cawood (page 645),,1960-10-26,,,,,83 pages,,reports,eng|~|afr,b7617662_courtcase_v008,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
