Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Rights.copyrightStatus,Rights.notice,Rights.countryCreation,Rights.creatorCorporate,Name.creator,Subject.descriptiveTopic,Type.typeOfResource,Type.genre,Name.repository,Name.performer,Name.composer,Rights.generalNote,Rights.servicesContact,Description.note,Title,AltIdentifier.local,Date.creation,Format.dimensions,Format.medium,Relation.isPartOf,Date.digitized,Format.extent,Description.tableOfContents,Description.abstract
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz000923xc,ark:/21198/zz00089bvf,2,Completed,Work,,,,,,copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,"Performers: Dennis Dragavon; Roger Anderson; Tayeko Hamano; Fred Horiuchi.|~|Recorded by: Ruth Horiuchi|~|Contents: Yu Yake * Japanese Children's Song; O Tete * Japanese Children's Song; Dara Zinka; Reunion; Moja Baba; Moja Dekla; Svedi Tambora; Dai Dai; Boy Next Door - Children's Song; Kikkuri Kakkuri; Moshi Moshi Kame San * Japanese Children's Song; Oolalalala.|~|Title from tape: Yugoslavian & Japanese Songs|~|Location: Santa Monica, California.",Yugoslavian & Japanese Songs,clym200203acwf008-59_side2-01,1959-04-19,7 in.,"sound tape reels : 3 3/4 ips, two track, mono.",Archive of California and Western Folklore,,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz000944cg,ark:/21198/zz00089bvf,2,Completed,Work,,,,,,copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Title from tape: Folklore Symposium * Y.P. Saavedra|~|Location: Latin American Folklore Conference.,Folktale Symposium,clym200203acwf015-63_side1-01,1963-07-30,7 in.,"sound tape reels : 3 3/4 ips, two track, mono.",Archive of California and Western Folklore,,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz00094h87,ark:/21198/zz00089bvf,2,Completed,Work,,,,,,copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Title from tape: S. * Lady Lore|~|Recorded by: Marina Bokelman|~|Content: Conversation about: Menstruation -Cramps -Prohibitions During Virginity Contraceptives Pregnancy Influences On the Unborn Child|~|Performer : Sylvia Khan,S. * Lady Lore,clym200203acwf014-64_side1-04,1964-07-16,7 in.,"sound tape reels : 3 3/4 ips, two track, mono.",Archive of California and Western Folklore,,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz000951cg,ark:/21198/zz00089bvf,2,Completed,Work,,,,,,copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,"Performer: Linda Prosser (?), UCLA Student|~|Title from tape: Linda Prosser * Camp Songs",Linda Prosser * Camp Songs,clym200203acwf036-64_side1-03,1964,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bpwnk,ark:/21198/zz00089bvf,1,In progress,Work,,,,,,copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Unusual Instruments III.,1975 Folk Festival. Unusual Instruments III (Item 09),clym200203laff176-75_side1-09,1975,7 in.,open reel tape,UCLA Folk Festivals,2008-04-24,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bq5qx,ark:/21198/zz00089bvf,1,In progress,Work,,,,,,copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Bawdy Songs. American Folk Music Session.,1975 Folk Festival. Bawdy Songs. American Folk Music Session. (Item 06),clym200203laff182-75_side1-06,1975,7 in.,open reel tape,UCLA Folk Festivals,2008-05-09,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bqdn8,ark:/21198/zz00089bvf,1,In progress,Work,,,,,,copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Fiddle Styles,1975 Folk Festival-Fiddle Styles IV (Item 14),clym200203laff186-75_side1-14,1975,7 in.,open reel tape,UCLA Folk Festivals,2008-05-22,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bqgzw,ark:/21198/zz00089bvf,1,In progress,Work,,,,,,copyrighted,"This file is owned by the UCLA Ethnomusicology Archive and its contents are copyrighted.It cannot be duplicated or used without explicit permission from the UCLA Ethnomusicology Archive: 1630 Schoenberg Music Bldg,Los Angeles,CA 90095-1657.(310)825-1695,archive@arts.ucla.edu",,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Janss Concert|~|Master copy.,Janss Steps Concert (Item 10),clym200203laff192-75_side1-10,1975,7 in.,open reel tape,UCLA Folk Festivals,2008-05-23,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz002bqh3f,ark:/21198/zz00089bvf,1,In progress,Work,,,,,,,,,,,,,,,,,,,,untitled - kristian test,,,,,,,,,
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz00094hqz,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz00094hqz-1-master.wav,,,,,copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Recorded by: Marina Bokelman|~|Title from tape: S. - Bokelman Lady Lore|~|Conversation about: Predicting Sex of an Unborn Child If You Drop a Fork a Woman is Coming To Visit (and similar beliefs) When Someone Sneezes... Never Give Knives as a Wedding Gift How To Keep Sugar From Lumping Bad Luck When Two People Speak In Unison... If an Object Comes Between Two People... Wishing On the First Evening Star Wishing on a Wishbone|~|Performer : Sylvia Khan,S. * Lady Lore,clym200203acwf015-64_side1-04,1964-07-16,7 in.,"sound tape reels : 3 3/4 ips, two track, mono.",Archive of California and Western Folklore,,,,
