Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Thumbnail,Type.typeOfResource,Type.genre,Subject,Name.subject,Name.repository,Rights.statementLocal,Rights.copyrightStatus,Name.creator,Note,Title,Alt ID.local,Description.note,Coverage.geographic,AltIdentifier.local,Date.creation,Subject temporal,Format.dimensions,Format.medium,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025k1q4,,2,Completed,Collection,,,,,,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Ethnomusicology Archive: Photographic collection,,,,,,,,,,,https://ingest.iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0025k1q4
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kb2n,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kb2n_1700245_master.tif,1,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified - 1 of 5 duplicates],ph_00366_1,"Duplicate: 21198/zz0027cd7b (ph_00366_1), 21198/zz0025kb2n )ph_00366_1), 21198/zz0025kb98 (ph_00366-2), 21198/zz0027ccq3 (ph_00366_3), 21198/zz0025kb35 (ph_00366_3)",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb2n,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kb2n/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kb35,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kb35_1700251_master.tif,2,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified - 1 of 5 duplicates],ph_00366_3,"Duplicate: 21198/zz0027cd7b (ph_00366_1), 21198/zz0025kb2n )ph_00366_1), 21198/zz0025kb98 (ph_00366-2), 21198/zz0027ccq3 (ph_00366_3), 21198/zz0025kb35 (ph_00366_3)",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb35,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kb35/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kb56,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kb56_1700261_master.tif,4,,,still image,,,"Lee, Dong Youp","University of California, Los Angeles. Ethnomusicology Archive",,,,,Dong Youp Lee playing a drum,ph_00532,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb56,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kb56/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kb6q,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kb6q_1700278_master.tif,5,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified - 1 of 5 duplicates],ph_00366-1,"Duplicate: 21198/zz0027cd7b (ph_00366_1), 21198/zz0025kb2n )ph_00366_1), 21198/zz0025kb98 (ph_00366-2), 21198/zz0027ccq3 (ph_00366_3), 21198/zz0025kb35 (ph_00366_3)",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb6q,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kb6q/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kb77,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kb77_1700284_master.tif,6,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified seated man- 1 of 3 duplicates],ph_00383_1,Duplicate: 21198/zz0025kbfb and 21198/zz0025kb77 and 21198/zz0025kbc9],,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb77,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kb77/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kb8r,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kb8r_1700290_master.tif,7,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified seated group - 1 of 3 duplicates],ph_00383_2,"Duplicate: 21198/zz0025kbdt (ph_00383-3), 21198/zz0025kb8r (ph_00383_2), 21198/zz0025kbgv (ph_00383-5)",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb8r,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kb8r/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kb98,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kb98_1700293_master.tif,8,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified - 1 of 5 duplicates],ph_00366-2,"Duplicate: 21198/zz0027cd7b (ph_00366_1), 21198/zz0025kb2n )ph_00366_1), 21198/zz0025kb98 (ph_00366-2), 21198/zz0027ccq3 (ph_00366_3), 21198/zz0025kb35 (ph_00366_3)",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kb98,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kb98/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbbs,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbbs_1700299_master.tif,9,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Duplicate of ark 21198/zz0025m81m],ph_00383-1,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbbs,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbbs/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbc9,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbc9_1700302_master.tif,10,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified seated man - 1 of 3 duplicates],ph_00383-2,Duplicate: 21198/zz0025kbfb and 21198/zz0025kb77 and 21198/zz0025kbc9],,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbc9,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbc9/manifest
