Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz002311rn,,2,Completed,Collection,,,,,,private,,,still image,,,Black-and-white photographs|~|color photographs|~|clippings (information artifacts),"Gordon, Walter L., $c Jr., $d 1908-2012","Gordon, Walter L., 1908---Photographs.|~|African Americans--California--Los Angeles--Photographs.|~|Los Angeles (Calif.)--History--20th century--Photographs.|~|Los Angeles (Calif.)--Social life and customs--Photographs.",,"University of California, Los Angeles. $b Library Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng|~|zxx,,"Beverly, William C., $c Jr.|~|Gordon, Walter L., $c Jr., $d 1908-2012",,Los Angeles (Calif.) $x History $y 20th century.|~|Los Angeles (Calif.) $x Social life and customs.,,,,Collection 2270 ,"Walter L. Gordon, Jr./William C. Beverly, Jr. Collection","The approximately 800 photographs in this collection represent the lifelong interest of Los Angeles African American attorney, Walter L. Gordon, in documenting little known aspects of African American history and culture through the first half the 20th century. Los Angeles and the legal profession were plagued by racial discrimination, but these photographs display a range of people, places and institutions who successfully defied society’s limited expectations. Materials include photographs given to Mr. Gordon by California Eagle newspaper publisher Charlotta Bass;  photos Mr. Gordon collected of images of black resorts such as Val Verde; well-known political figures;  sophisticated night life and social club functions; performing artists such as Count Basie, Louis Armstrong and Billie Holiday. Mr. Gordon established his law practice in 1936; he retired in 2004, after nearly seventy years practicing law. In 2002, the entire collection was given to William C. Beverly, Jr., who loaned them to Eighth & Wall (an organization promoting the preservation of the history of the African American community of Los Angeles). In 2010, the collection was donated to UCLA. More information about Eighth & Wall is available here: http://www.eighthandwall.org|~|All information concerning the content and description of the image was provided by Walter Gordon.","Collection of approximately 800 digitized photographs and other items collected by Walter L. Gordon, Jr. and given to William C. Beverly, Jr., who donated the collection to UCLA. Collection includes photos given to Walter by his former boss, Charlotta Bass, publisher of the California Eagle, as well as other photos he collected. Photos largely depict African American social life and family life in 1940s Los Angeles and feature celebrities, athletes, politicians, lawyers, and other notable people of the era. ",,,1940/1949,1940s,photographs,California--Los Angeles,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6776673,https://oac.cdlib.org/findaid/ark:/13030/c8qr51fr/
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p08,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-07-06,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p1s,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-08-31,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p29,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-07-13,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p3t,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-09-03,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p4b,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-08-17,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p5v,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-09-07,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p6c,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-08-19,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p7w,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-09-10,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p8d,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-07-20,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294p9x,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-09-14,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294pbf,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-07-27,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294pcz,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-08-24-b,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294pdg,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-07-29,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294pf0,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-10-25,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294pgh,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-08-03,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz00294ph1,ark:/21198/zz002311rn,1,In progress,Work,,,,,,private,,,,,,,,,,,,,,,,,,,,,audio 2010-09-17,,,,,,,,,,,,,,,,,
