"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.genre","Type.typeOfResource","Rights.servicesContact","Name.creator","Subject","Name.subject","Name.repository","AltTitle.uniform","Title","Alt ID.local","Format.dimensions","Description.note","Summary","Format.extent","Description.caption","Date.creation","Relation.isPartOf","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz000s9br3","","2","Completed","Collection","","","","","","private","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Hamilton, Andrew, 1911-1976 ","Hamilton, Andrew, 1911-1976--Archives.|~|University of California, Los Angeles. Public Affairs--Employees--Archives.|~|Public relations.|~|Authors, American--20th century--Archives.","","University of California, Los Angeles. $b Library Special Collections","Hamilton (Andrew) Papers. Collection 1227","Andrew Hamilton Papers, 1940-1974","Collection 1227","","Collection consists of mostly subject files containing manuscripts, published articles, clippings, and research material related to Andrew Hamilton's writing, his service in the U.S. Navy during World War II, and his career as UCLA Public Affairs officer. The papers mainly comprise clippings, articles and other research materials for Andrew Hamilton's writing but also include records relating to his service in World War II as a Navy public information officer with Fleet Admiral Nimitz in the Pacific. He was a UCLA graduate of the Class of 1935 and held the position of Public Affairs Officer for many years prior to his retirement from the university in 1975. He contributed as a freelance writer to a number of national magazines and was for some time a reporter and feature writer for the Los Angeles Times.","Andrew Jackson Hamilton was born on April 18, 1911 in Riverside, California; BA, UCLA, 1935; became a reporter and feature writer for two years with the Los Angeles times; U.S. Navy public information officer on the West Coast and in the Pacific on the staff of Admiral Chester W. Nimitz during World War II; public information manager (1946-60) and Public Affairs Officer (1960-75) UCLA; helped to organize Naval Reserve Public Relations Company 11-2 in 1949; wrote more than a thousand articles for some 75 magazines, including Saturday evening post, Collier's, and Science digest; co-authored UCLA on the move (1969) with John B. Jackson; along with his wife Janice, awarded the University Service Award in 1973; retired in 1975; died on April 8, 1976 in Los Angeles. ","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1470729","https://oac.cdlib.org/findaid/ark:/13030/kt6f59q5kz/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000s9br3"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz000snj24","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz000snj24-1-master.tif","1","","","","private","photographs","still image","","Hamilton, Andrew, 1911-1976 ","Motion pictures -- Production and direction","","","","""The Frogmen"" [photograph]","Box 108, folder Witte, Lou","8 x 10 in","cameraman on crane filming ""The Frogmen""","","1 b&w photograph","title from caption on verso of photograph","1951","Hamilton (Andrew) Papers (Collection 1227). Department of Special Collections, Charles E. Young Research Library, UCLA","1951","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000snj24","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000snj24/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz000snj7q","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz000snj7q-1-master.tif","2","","","","private","photographs","still image","","","Motion pictures -- Production and direction","Widmark, Richard","","","""The Frogmen,"" Richard Widmark (dead center) [photograph]","Box 108, folder Witte, Lou","8 x 10 in","actors on set of ""The Frogmen""","","1 b&w photograph","title from caption on verso of photograph","1951","","1951","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000snj7q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000snj7q/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz000snjjc","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz000snjjc-1-master.tif","3","","","","private","photographs","still image","","","Motion pictures -- Production and direction","","","","""The Frogmen"" [photograph]","Box 108, folder Witte, Lou","8 x 10 in","Actors in boat filming ""The Frogmen""","","1 b&w photograph","title from caption on verso of photograph","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000snjjc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000snjjc/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz000snjkw","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz000snjkw-1-master.tif","4","","","","private","photographs","still image","","","Motion pictures -- Production and direction","","","","""The Frogmen"" [photograph]","Box 108, folder Witte, Lou","8 x 10 in","Actors filming ""The Frogmen""","","1 b&w photograph","title from caption on verso of photograph","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000snjkw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000snjkw/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz000snjmd","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz000snjmd-1-master.tif","5","","","","private","photographs","still image","","","Motion pictures -- Production and direction","","","","""The Frogmen"" [photograph]","Box 108, folder Witte, Lou","8 x 10 in","cameraman filming ""The Frogmen""","","1 b&w photograph","","1951","","1951","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000snjmd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000snjmd/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz000snjnx","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz000snjnx-1-master.tif","6","","","","private","photographs","still image","","","Motion pictures -- Production and direction","Andrews, Dana, $d 1909-1992|~|Widmark, Richard","","","Andrews, Widmark, Henry Slate [photograph]","Box 108, folder Witte, Lou","8 x 10 in","Dana Andrews, Richard Widmark and Henry Slate in Navy frogmen costumes on set of ""The Frogmen""","","1 b&w photograph","","1951","","1951","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000snjnx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000snjnx/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz00140t83","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz00140t83-1-master.tif","7","","","","private","photographs","still image","","","Motion pictures -- Production and direction","Bacon, Lloyd, 1890-1955 ","","","Director Lloyd Bacon, (extreme right) wearing pith helmet [photograph]","Box 108, folder Witte, Lou","8 x 10 in","Director, cameraman and actors on set of ""The Frogmen""","","1 b&w photograph","","1951","","1951","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00140t83","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00140t83/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz00140t9m","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz00140t9m-1-master.tif","8","","","","private","photographs","still image","","","Motion pictures -- Production and direction","","","","""Frogmen"" [photograph]","Box 108, folder Witte, Lou","8 x 10 in","Actors on the set of ""The Frogmen""","","1 b&w photograph","title from caption on verso of photograph","1951","","1951","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00140t9m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00140t9m/manifest"
"Hamilton (Andrew) Papers. Collection 1227","ark:/21198/zz00140tb4","ark:/21198/zz000s9br3","2","Completed","Work","hamilton/masters/21198-zz00140tb4-1-master.tif","9","","","","private","","still image","","","","","","","""The Frogmen""","Box 108, folder Witte, Lou","8 x 10 in","cameraman on crane filming ""The Frogmen""","","1 b&w photograph","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00140tb4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00140tb4/manifest"
