Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Rights.countryCreation,Rights.rightsHolderContact,Rights.servicesContact,Name.subject,Subject,Relation.isPartOf,Name.repository,Name.creator,Name.photographer,Alt ID.local,Format.dimensions,Title,Date.creation,Format.extent,Description.note,Date.normalized,AltTitle.other,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz0008hj3n,,2,Completed,Collection,,,,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Universal Pictures Company,"Motion picture industry--United States--Archival resources|~|Horsley, Wm. (William), d. 1956--Archives","William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Horsley, Wm. (William), d. 1956",,Collection 540,,"William Horsley Papers, 1903-1947",1903-1947,,"Copyright has not been assigned to the Department of Special Collections, UCLA. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Manuscripts Librarian. Permission for publication is given on behalf of the Dept. of Special Collections as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",1903/1947,William Horsley Papers,http://www.oac.cdlib.org/findaid/ark:/13030/tf2n39n7fp,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1720511,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008hj3n
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090cbj,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090cbj-1-master.tif,1,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_1,30 x 25 cm. (12 x 10 in.),"Two men seated in office at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,Writing on back of photograph: J. Walter [Henningan or Denningan],,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090cbj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090cbj/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090cc2,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090cc2-1-master.tif,2,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_2,30 x 25 cm. (12 x 10 in.),"Bar and cigar counter with three people at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090cc2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090cc2/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090cdk,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090cdk-1-master.tif,3,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_3,30 x 25 cm. (12 x 10 in.),"Blacksmith shoeing horse as people watch at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090cdk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090cdk/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090cf3,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090cf3-1-master.tif,4,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_4,30 x 25 cm. (12 x 10 in.),"Carriage Painting Department at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090cf3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090cf3/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090cgm,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090cgm-1-master.tif,5,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_5,30 x 25 cm. (12 x 10 in.),"Two men working on carriages inside carriage painting department at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090cgm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090cgm/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090ch4,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090ch4-1-master.tif,6,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_6,30 x 25 cm. (12 x 10 in.),"Sheep and birds in cages at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090ch4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090ch4/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090cjn,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090cjn-1-master.tif,7,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_7,30 x 25 cm. (12 x 10 in.),"Building with Roman solider and justice statues outside at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090cjn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090cjn/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090ck5,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090ck5-1-master.tif,8,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_8,30 x 25 cm. (12 x 10 in.),"Building with ""employees only"" sign at Univeral City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090ck5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090ck5/manifest
Horsley (William) Papers.  Collection 540  ,ark:/21198/zz00090cmp,ark:/21198/zz0008hj3n,2,Completed,Work,horsley/masters/21198-zz00090cmp-1-master.tif,9,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Universal Pictures Company,Motion picture industry--United States--Archival resources,"William Horsley Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,clus_540_b1_fephemera_9,30 x 25 cm. (12 x 10 in.),"Cowboys on horseback gathered near watertower at Universal City, Calif., circa 1915",circa 1915,1 photographic print on mount,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090cmp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090cmp/manifest
