Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.countryCreation,Rights.rightsHolderContact,Rights.servicesContact,Language,Subject,Name.subject,Name.photographer,Name.repository,Relation.isPartOf,Name.creator,Date.creation,Title,Description.note,Format.extent,Alt ID.local,Format.dimensions,AltTitle.other,Description.note,Summary,Opac url,Date.normalized,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL,Representative Image,Masthead
Arai Family Papers.  Collection 1254,ark:/21198/zz0008c7rb,,2,Completed,Collection,,,,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,Silk industry--United States|~|Businessmen--New York (State)--New York--Archival resources|~|Arai family--Archives|~|Japanese American families--New York (State)--New York--Archival resources,,,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",Arai Family,1877-1972,"Arai Family Papers, 1877-1972",,,Collection 1254,,Arai Family Papers,"Ryichir Arai was born in 1855 and came to New York in 1876 to start the direct export of silk. Ryichir Arai, Toyo Morimura, and Morimoto Sato were founders of Japanese American Trade, and they promoted closer relations between Japan and the United States. Yoneo Arai, son of Ryichir Arai, has served as Resident Representative of The Tokio Marine & Fire Insurance Company, Ltd. United States Fire Branch, a director of Japan Society, Vice president of the Japan Society, and Chairman of the Board, Yamaichi Securities Company of New York., Inc. The collection consists of personal and business papers of Ryichir Arai and his son, Yoneo Arai. They also include Arai family photographs. Portions of this collection are in Japanese.","Collection consists of personal and business papers of Ryichir Arai and his son, Yoneo Arai. Ryichir Arai's correspondence between 1876 and 1881 relates to his work as a founder of the silk export trade between the United States and Japan. His personal letters to his brother and adoptive father span the years 1881-95. The collection also includes Yoneo Arai's business correspondence, stock inventory, financial records, and personal correspondence to family and friends. 7 boxes contain photographs, and additional photos are dispersed throughout the collection. Photographs include family portraits, panoramic photos of Japan (1870s-1880s), and photos of various civic events and organizations.Portions of this collection are in Japanese.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=462208,1877/1972,http://www.oac.cdlib.org/findaid/ark:/13030/tf7f59p1r4,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008c7rb,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbn7,"/43,307,3091,1473/full/0/default.jpg"
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbc3,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbc3-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Morimura, Ichizaemon|~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1908,"Ichizaemon Morimura, Matsuko, and Ichitarō seated in car, 1908","Japanese writing on back translated: Morimura Ichizaemon, Matsuko and Ichitarō.6/25/08",1 photographic print,SCW29,10 x 12 cm. (4 x 5 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbc3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbc3/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbdm,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbdm-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,Arai Family,,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,unknown,"Two men playing checkers, from Arai Family black photograph album",Image is from page 16 of Arai Family's black photograph album.,1 photographic print,clus_1254_b45_blackalbum_pp16_000003,13 x 18 cm. (5 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbdm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbdm/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbf4,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbf4-1-master.tif,,,,still image,Black-and-white photographs|~|Group portraits,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,Arai Family,,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1935,"Group portrait, passengers and crew, on board Chichiba-Maru voyager to Tokyo, 1935","Writing on photograph:March 18th ""ChiChiba Maru""|~|Image is from page 35 of Arai Family's black photograph album.",1 photograph print,clus_1254_b45_blackalbum_pp35_000004,16 x 24 cm. (6 x 9 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbf4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbf4/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbgn,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbgn-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,Arai Family,,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,unknown,"Arai family on porch of home in Riverside, Connecticut",Image is from page 2 of Arai Family's black photograph album.,1 photographic print,clus_1254_b45_blackalbum_pp2_000001,13 x 18 cm. (5 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbgn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbgn/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbh5,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbh5-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-|~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,unkown,"Three men in suits amongst trees, Ryichir Arai center",Image is from page 3 of Arai Family's black photograph album.,1 photographic print,clus_1254_b45_blackalbum_pp3_000002,13 x 18 cm. (5 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbh5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbh5/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbjp,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbjp-1-master.tif,,,,still image,Black-and-white photographs|~|Portrait photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Yoneo, 1889-1980",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,unknown,"Yoneo Arai, 1/2 length portrait",,1 photographic print,clus_1254_b46_f1_1,10 x 14 cm. (4 x 6 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbjp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbjp/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbk6,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbk6-1-master.tif,,,,still image,Black-and-white photographs|~|Cabinet photographs,unknown,unknown,JP,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-|~|Arai Family","Tachimachidori,  R. Yendo","University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,unknown,"Group portrait, Ryichir Arai and six men",Japanese script on back states: R. Yendo Tachimachidori Sendai Japan Photographer,1 photographic print on cabinet card,clus_1254_b46_f1_2,11 x 17 cm. (4 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbk6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbk6/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbmq,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbmq-1-master.tif,,,,still image,Documents,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,eng,Silk industry--United States,Arai Family,,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1899,"Ribbon Testimonial to Colonel Frank W. Cheney October 25, 1899","Text on ribbon states: Testimonial to Col. Frank W. Cheney, October 25th, 1899 in appreciation of his public spirit and untiring efforts in developing and protecting the Silk Industry of America.  Donors. Albert Tilt, Catholina Lambert, Jacques Huber, M.M. Belding, Ira Dimock, William Skinner, R. Arai, Jacob Weidmann, Geo. C. Andreae, Arthur Ryle, H.A. Van Liew, Russell Murray. Charles F. Homer, Franklin Allen.",1 award printed on silk cloth,clus_1254_b46_f3_1,15 x 20 cm. (6 x 8 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbmq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbmq/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbn7,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbn7-1-master.tif,,,,still image,Black-and-white photographs|~|photographic postcards,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-|~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,"March 4, 1904","Group portrait of eight men including Takamine, Ryichir Arai and Aoyama on postcard, 1904","Writing on back states: Takamine, F. J. Ruppert, EW Fetch, SHCarreyan[?], R Arai, Emil Mayer, T Aoyama Max Einhorn.",1 photographic postcard,clus_1254_b46_f4_2,9 x 14 cm. (4 x 6 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbn7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbn7/manifest,,
