Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject.descriptiveTopic,Name.architect,Rights.rightsHolderContact,Name.subject,Name.photographer,Subject,Relation.isPartOf,Name.repository,Rights.permission,Name.creator,Subject.conceptTopic,Description.longitude,Description.fundingNote,Title,Alt ID.local,Format.extent,Format.medium,Description.latitude,Date.normalized,Coverage.geographic,Summary,Description.note,Description.caption,Date.creation,Contents note,Subject temporal,AltTitle.other,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Percival (Olive) Papers.  Collection 119,ark:/21198/zz000932zv,,2,Completed,Collection,,,,,private,,,,copyrighted,,,,"Percival, Olive, $d 1869-1945",,"Percival, Olive, 1869-1945--Archives|~|Authors, American--California--Los Angeles--Archival resources|~|Women book collectors $z California $z Los Angeles $x Archival resources","Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",N,,,,,"Olive Percival Papers: photographs, ca. 1897-1944",Collection 119,,,,1897/1944,,"Olive May Graves Percival was born July 1, 1869, near Sheffield, Illinois; moved to Los Angeles, California, with her mother and sisters, 1887; worked as an insurance clerk in Los Angeles; an avid collector, Percival amassed ten thousand books as well as other collections of hats, dolls, daguerreotypes, silver, textiles, quilts, fans, bookplates, Lalique, and Oriental art; her cottage home was situated along the Arroyo Seco east of Los Angeles; died February 19, 1945.","Olive May Graves Percival (1869-1945) was an avid collector of books, hats, dolls, daguerreotypes, silver, textiles, quilts, fans, bookplates, Lalique, and Oriental art. The collection consists of correspondence, photographs, negatives, scrapbooks, guest books, typescripts of articles and poems, bookmarks, bookplates, and material relating to Percival's collection of children's books.|~|The images in this collection were digitized from nitrate negatives of for photographs taken between 1897 and 1944.|~|This digital collection is composed of photographs by and of Los Angeles author and bibliophile Olive Percival. The images document Percival's Arroyo Seco home, Down-hyl Claim, her friends, and her travels in California, to her place of birth in Illinois, and trips to New Orleans, New York, Boston, and Cambridge.|~|Copyright has not been assigned to the Department of Special Collections, UCLA. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Manuscripts Librarian. Permission for publication is given on behalf of the Dept. of Special Collections as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",,[between 1897-1944],"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Images cataloged without originals, not able to ascertain dimensions and identification.",,Olive Percival Papers,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2722766,http://content.cdlib.org/ark:/13030/tf938nb63p/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000932zv
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093q8p,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093q8p-1-master.tif,,,,private,,photographs|~|Portrait photographs,still image,,,,,"Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"Framed portrait of woman and child, who may be Olive Percival",clus_119_b7_photo1,1 photographic print in frame,,,,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093q8p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093q8p/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093q96,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093q96-1-master.tif,,,,private,,Bookplates,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"""Ex Libris Olive May Graves Percival.  SUB SRUCE CANTO"" E.H. New 1919 (Framed bookplate)",clus_119_b7_photo2,1 bookplate in frame,,,1919,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[circa 1919],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093q96,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093q96/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qbq,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qbq-1-master.tif,,,,private,,Black-and-white photographs|~|Portrait photographs,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,Olive Percival 3/4 length portrait,clus_119_b7_photo3,1 photographic print,,,,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qbq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qbq/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qc7,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qc7-1-master.tif,,,,private,,Black-and-white photographs|~|Group portraits,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945|~|Down-Hyl Claim (Los Angeles, Calif.)",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"Olive Percival with cat, with other women in front of her house, Los Angeles, circa 1900-1915",clus_119_b7_photo4,1 photographic print in frame,,,1900/1915,California--Los Angeles,,"Group of women, including Olive Percival with cat in center, on a lawn in front of Percival's house, ""Down-hyl Claim."" The photograph is in a wooden frame.|~|Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[circa 1900-1915],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qc7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qc7/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qdr,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qdr-1-master.tif,,,,private,,Black-and-white photographs|~|Portrait photographs,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"Young Olive Percival,  portrait oval vignette",clus_119_b7_photo5,1 photographic print,,,,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qdr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qdr/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qf8,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qf8-1-master.tif,,,,private,,Black-and-white photographs|~|Portrait photographs,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"Olive Percival, portrait oval framed",clus_119_b7_photo6,1 photographic print in frame,,,,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qf8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qf8/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qgs,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qgs-1-master.tif,,,,private,,Black-and-white photographs,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,Olive Percival (probably) seated on a spinning wheel at a hearth reading [framed],clus_119_b7_photo7,1 photographic print in frame,,,,California--Los Angeles,,"Olive Percival (probably) seated on a spinning wheel at the hearth of her home, ""Down-hyl Claim,"" reading.|~|Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qgs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qgs/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qh9,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qh9-1-master.tif,,,,private,,Black-and-white photographs|~|Portrait photographs,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"Olive Percival, portrait [framed] signed to Iris Lady",clus_119_b7_photo8,1 photographic print in frame,,,,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qh9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qh9/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qjt,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qjt-1-master.tif,,,,private,,photographs,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,Olive Percival at desk reading,clus_119_b7_photo9,1 photographic print,,,,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qjt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qjt/manifest
