Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.countryCreation,Rights.rightsHolderContact,Name.subject,Relation.isPartOf,Name.photographer,Name.repository,Subject,Name.creator,Date.normalized,Title,Date.creation,Format.extent,AltTitle.uniform,Alt ID.local,Format.dimensions,Description.note,Summary,AltTitle.other,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008b9sc,,2,Completed,Collection,,,,private,,,,,,,,,,"Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections","Women dancers--California, Southern--Archival resources|~|Choreographers--California, Southern--Archival resources|~|St. Denis, Ruth, 1880-1968--Archives.","St. Denis, Ruth, 1880-1968",1880/1968,"Ruth St. Denis Papers, 1880-1968",1880-1968,,St. Denis (Ruth) papers,Collection 1031,,"Ruth St. Denis (1879-1968) was a modern dance pioneer who combined spirituality and dance. Throughout her career, St. Denis's dances were greatly influenced by eastern culture and religion. In the later years of her career, Christian themes were also explored and depicted in her works. Her papers include handwritten journals, personal and professional correspondence, essays, poems, lectures, choreographic notes, musical scores, dance programs and ephemera, photographic prints, reel-to-reel audio recordings, books from her personal library, and business materials. The collection spans the majority of her life, though the bulk of collection derives from the 1920s to her death in 1968.","Ruth St. Denis (1879-1968) was a modern dance pioneer who combined spirituality and dance. Throughout her career, St. Denis's dances were greatly influenced by eastern culture and religion. In the later years of her career, Christian themes were also explored and depicted in her works. Born Ruth Dennis in New Jersey, she later added ""St."" as part of her stage name. St. Denis's training began as a child, with the practice of physical exercises developed by François Delsarte. This greatly influenced her future style of dance. As a teenager, she appeared in Broadway musicals and was a protégé of David Belasco. Inspired by a poster advertising Egyptian Deities Cigarettes with an image of the Egyptian goddess Iris, St. Denis began choreographing dances that expressed the goddess's mysticism. The first dance piece that brought her into the circuit of higher art was Radha, which she first performed in 1906. This dance portrayed the story of Krishna and his love for a mortal maid. St. Denis's intention was to create a work that would serve as a spiritual expression of eastern cultural themes.",Ruth St. Denis Papers,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3222245,http://www.oac.cdlib.org/findaid/ark:/13030/kt5j49p08s,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008b9sc
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccd3,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccd3-1-master.tif,1,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,,"Ruth St. Denis, The Cobras [standing, turned with hand on shoulder]",n.d.,1 photographic print,Cobras (Choreographic work : St. Denis),clus_1031_b158_f6_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccd3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccd3/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccfm,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccfm-1-master.tif,2,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1930,"Ruth St. Denis, Gift of Eternal Life, [1930] [arm out stretched]",1930,1 photographic print,Gift of eternal life (Choreographic work : St. Denis),clus_1031_b158_f16_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccfm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccfm/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccg4,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccg4-1-master.tif,3,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1930,"Ruth St. Denis, Gift of Eternal Life, [1930] [arm across chest]",1930,1 photographic print,Gift of eternal life (Choreographic work : St. Denis),clus_1031_b158_f16_2,20 x 25 cm. (8 x 10 in.),Handwriting on back : Gift of Eternal Life by Ailert Harter California 1930.  Collinge,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccg4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccg4/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cchn,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cchn-1-master.tif,4,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Shawn, Ted, 1891-1972 |~|Graham, Martha","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1919/1930,"Martha Graham and Ted Shawn, Malaguena, circa 1921",circa 1921,1 photographic print :  sepia toned,Malagueña (Choreographic work : St. Denis),clus_1031_b158_f19_1,20 x 25 cm. (8 x 10 in.),Stamped on back: Ruth St. Denis Ted Shawn.Handwritten note corrects identification: Martha Graham c. 1921,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cchn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cchn/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccj5,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccj5-1-master.tif,5,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,,"Ruth St. Denis, Ishtar of the 7 Gates [arms atop head]",n.d.,1 photographic print : sepia toned,Ishtar of the seven gates (Choreographic work : St. Denis),clus_1031_b158_f36_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccj5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccj5/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cckp,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cckp-1-master.tif,6,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",Les Clark (Hollywood),"University of California, Los Angeles. $b Library Special Collections",,,,"Ruth St. Denis, The Madonna (White)",n.d.,1 photographic print,Madonna (Choreographic work : St Denis),clus_1031_b158_f48_1,9 x 12 cm. (3.5 x 5 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cckp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cckp/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccm6,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccm6-1-master.tif,7,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1940/1959,"Ruth St. Denis, O-Mika [1949]",circa 1949,1 photographic print,O-Mika (Choreographic work : St. Denis),clus_1031_b159_f11_1,20 x 25 cm. (8 x 10 in.),Handwritting on verso : Miss Ruth - Marc carrying parasol c. 1949,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccm6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccm6/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccnq,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccnq-1-master.tif,8,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,,"Ruth St. Denis, O-Mika [pre-1949]",n.d.,1 photographic print,O-Mika (Choreographic work : St. Denis),clus_1031_b159_f11_2,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccnq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccnq/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccp7,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccp7-1-master.tif,9,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1914,"Ruth St. Denis, The Peacock [1914]",1914,1 photographic print : sepia toned,Peacock (Choreographic work : St Denis),clus_1031_b159_f13_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccp7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccp7/manifest
