Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Rights.rightsHolderContact,Rights.servicesContact,Language,Name.subject,Name.photographer,Subject,Name.creator,Name.repository,Relation.isPartOf,Date.creation,Format.dimensions,Format.extent,Title,Description.note,Alt ID.local,Date.normalized,Opac url,AltTitle.other,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz0008c4f7,,2,Completed,Collection,,,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Chandler, Raymond, 1888-1959--Archives|~|Authors, American--20th century--Archival resources|~|Screenwriters--United States--Archival resources","Chandler, Raymond, 1888-1959","University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",1930-1959,,,"Raymond Chandler Papers, 1930-1959","Copyright has not been assigned to the Department of Special Collections, UCLA. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Manuscripts Librarian. Permission for publication is given on behalf of the Dept. of Special Collections as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",Collection 638,1930/1959,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=964180,Raymond Chandler Papers,http://www.oac.cdlib.org/findaid/ark:/13030/tf3m3nb1x3,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008c4f7
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz00090rdw,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz00090rdw-1-master.tif,,,,still image,unknown,unknown,Black-and-white photographs|~|Portrait photographs,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Chandler, Cissy","Siefert, J.W.",,,"University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",n.d.,18 x  23 cm. (7 x 9 in.),1 photographic print,"Cissy Chandler, seated portrait",Handwriting on back states : Cissy - Vinnie's Sister,clus_638_b1_f1_1,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rdw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rdw/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz00090rfd,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz00090rfd-1-master.tif,,,,still image,unknown,unknown,Black-and-white photographs,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Chandler, Raymond, 1888-1959|~|Wilder, Billy, $d 1906-2002",,,,"University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",1944,20 x 25 cm. (8 x 10 in.),1 photographic print,"Raymond Chandler and Billy Wilder seated on couch on set of ""Double Indemnity"" [play], 1944","Typed note on back: Raymond Chandler and Director Billy Wilder while working on the James Cain ""Double Indemnity"" play.  Wilder directed and Chandler prepared the Cain story for a screen play.",clus_638_b1_f7_1,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rfd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rfd/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz00090rgx,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz00090rgx-1-master.tif,,,,still image,unknown,unknown,Black-and-white photographs|~|Portrait photographs,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Chandler, Raymond, 1888-1959","Whiting, Mina ",,,"University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",circa 1917-1918,Mount: 20 x 25 cm. (8 x 10 in.)|~|Photograph: 10 x 15 cm. (4 x 6 in.),1 photographic print on mount,"Raymond Chandler, portrait WWI uniform","Handwriting on back: Raymond Thornton Chandler World War I|~|Photographer stamp ""Mina Whiting Seaford""",clus_638_b1_f5_1a,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rgx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rgx/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz00090rhf,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz00090rhf-1-master.tif,,,,still image,unknown,unknown,Black-and-white photographs|~|Portrait photographs,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Chandler, Raymond, 1888-1959","Whiting, Mina ",,,"University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",circa 1917-1918,,,"Raymond Chandler, portrait WWI uniform, [cropped]",Image is cropped from photograph ID: clus_638_b1_f5_1a,clus_638_b1_f5_1b,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rhf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rhf/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz00090rjz,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz00090rjz-1-master.tif,,,,still image,unknown,unknown,Black-and-white photographs|~|Portrait photographs,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Chandler, Raymond, 1888-1959",,,,"University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",1958,9 x 11 cm (3.5 x 4.5 in.),1 photographic print,"Raymond Chandler, portrait, 1958","Stamped on back: Helga Greene Literary Agence. 61, Eaton Mews West. London, S.W.1.",clus_638_b1_f11_1,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rjz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rjz/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz00090rkg,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz00090rkg-1-master.tif,,,,still image,unknown,unknown,Black-and-white photographs|~|Portrait photographs,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Chandler, Cissy",,,,"University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",n.d.,diameter 10 cm. (4 in.),1 photographic print (circular image),"Cissy Chandler, portrait in profile, circular cut",,clus_638_b1_f2_1,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rkg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rkg/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz00090rm0,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz00090rm0-1-master.tif,,,,still image,unknown,unknown,Black-and-white photographs,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,"Chandler, Raymond, 1888-1959","Engstead, John ",,,"University of California, Los Angeles. $b Library Special Collections","Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",circa 1948,20 x 25 cm. (8 x 10 in.),1 photographic print,"Raymond Chandler seated holding cat Taki, 1948, with inscription by Chandler to Sandoe","Handwriting on top right corner: Dear Sandoe: I had to hold Taki's tail & kept it still.  Raymond Chandler, La Jolla 9/14/1948",clus_638_b1_f8_1,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090rm0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090rm0/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz0009jgwf,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz0009jgwf-1-master.tif,,,,still image,unknown,,Black-and-white photographs,,,,"Chandler, Raymond, 1888-1959","Fracasse, Vincent",,,,"Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",1958,9 x 10 cm. (3.5 x 4 in.),1 photographic print,"Raymond Chandler, standing holding glass by Vincent Fracasse, 1958",Handwriting on back of photograph: Watch Who You Call A Slob!(In different handwriting) Taken by Vincent Fracasse of La Jolla at Fracasse home.,clus_638_b1_f9_1,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009jgwf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009jgwf/manifest
Chandler (Raymond) Papers.  Collection 638,ark:/21198/zz0009jgxz,ark:/21198/zz0008c4f7,2,Completed,Work,chandler/masters/21198-zz0009jgxz-1-master.tif,,,,still image,unknown,,Black-and-white photographs|~|Group portraits,,,eng,"Davis, Norbert|~|Chandler, Raymond, 1888-1959|~|Ballard, Todhunter, 1903-1980|~|McCoy, Horace, 1897-1955|~|Hammett, Dashiell, 1894-1961|~|Babcock, Dwight V. (Dwight Vincent), 1909- |~|Taylor, Eric, 1897-1952 |~|Butler, John K., d. 1964|~|Barnes, Arthur|~|Stinson, Herbert",,Black mask,,,"Raymond Chandler Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","January 11, 1936",20 x 25 cm. (8 x 10 in.),1 photographic print,"Raymond Chandler and other writers from Black Mask, 1939 [handwritten names-ids]",,clus_638_b1_f6_2,1936-01-11,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009jgxz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009jgxz/manifest
