Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.statementLocal,Rights.servicesContact,Publisher.publisherName,Name.repository,Name.creator,Rights.permission,Subject.conceptTopic,Subject geographic,Name.photographer,Subject.descriptiveTopic,Date.creation,Coverage.geographic,Format.extent,Format.dimensions,Alt ID.local,Description.note,Date.normalized,Format.medium,Title,Language,Description.abstract,Relation.isPartOf,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz00089x0q,,2,Completed,Collection,,,,private,,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"University of California, Los Angeles. $b Library Special Collections",,,Women photographers $z California $z Los Angeles|~|Indigenous peoples $z India $v Pictorial works.|~|Tribes $z India $v Pictorial works,Nepal $v Pictorial works|~|India $v Pictorial works|~|Iran $v Pictorial works,"Colburn, Tara",,[between 1993 and 2003],,,,Collection 434,"Tara Glynn Colburn (né́e Tarasenka Pankiv) was born in 1925 in Zagreb, Croatia into an artistic family. After living in Germany, then Paris into her early adult years, she moved to Los Angeles, Calif. She became a photographer later in her life and even staged at least 6 exhibitions of her photographs in Europe and India. Colburn was also a staunch patron of opera and was a founding board member of the Los Angeles Opera Company from its beginnings in 1986. After Colburn died in 2003, her son, Cyril Wohrer, known as Chandrasekhar Acarya Das, took his mother's ashes to India where he put them, in their urn, into the Ganges River near Myapur, world headquarters of the International Society for Krishna Consciousness.",1993/2003,,"Tara Colburn photographs of India, Iran, and Nepal, circa 1993-2003",,Photographs recording the daily life and family relationships among tribal peoples of India in some of its least-known and most rarely photographed regions. The photos were taken in the 10-year course of Tara Colburn travels while searching for her son who had joined the International Society for Krishna Consciousness.,"Tara Colburn Photographs of India, Iran, and Nepal (Collection 434). Department of Special Collections, Charles E. Young Research Library, UCLA",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6673532,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00089x0q
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b27wz,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b27wz_1981763_master.tif,1,,private,,still image,color photographs,copyrighted,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,Y,,,,,,,,,clus_434_b1_f1_s9_5-1,,,,clus_434_b1_f1_s9_5-1,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b27wz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b27wz/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b27xg,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b27xg_1981766_master.tif,2,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s1_1-14,,,,clus_434_b1_f1_s1_1-14,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b27xg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b27xg/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b27z0,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b27z0_1981769_master.tif,3,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s1_1_15,,,,clus_434_b1_f1_s1_1_15,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b27z0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b27z0/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b2800,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b2800_1981772_master.tif,4,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s2_1-35,,,,clus_434_b1_f1_s2_1-35,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b2800,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b2800/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b281h,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b281h_1981775_master.tif,5,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s3_2-4,,,,clus_434_b1_f1_s3_2-4,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b281h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b281h/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b2821,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b2821_1981778_master.tif,6,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s4_2-10,,,,clus_434_b1_f1_s4_2-10,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b2821,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b2821/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b283j,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b283j_1981781_master.tif,7,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s4_2-13,,,,clus_434_b1_f1_s4_2-13,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b283j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b283j/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b2842,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b2842_1981784_master.tif,8,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s4_2-16,,,,clus_434_b1_f1_s4_2-16,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b2842,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b2842/manifest
Colburn (Tara) Photographs. Collection 434,ark:/21198/zz002b285k,ark:/21198/zz00089x0q,1,In progress,Work,colburn/masters/21198-zz002b285k_1981787_master.tif,9,,private,,still image,,,,,,,,,,,,,,,,,clus_434_b1_f1_s4_2-20,,,,clus_434_b1_f1_s4_2-20,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b285k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002b285k/manifest
