Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.genre,Subject,Rights.copyrightStatus,Name.repository,Name.creator,Title,Date.normalized,Relation.isPartOf,Date.creation,Alt ID.local,AltTitle.descriptive,Bucketeer State,IIIF Access URL,IIIF Manifest URL
America en la Mira Digital Image Collection,ark:/21198/zz0017r44g,,1,In progress,Collection,,,private,,,,,,,,America en la Mira Digital Image Collection,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0017r44g
America en la Mira Digital Image Collection,ark:/21198/zz001gq1h5,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1h5_1272096_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,Testimonio 1,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box01_004.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1h5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1h5/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1jp,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1jp_1272131_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,2 mapas,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box01_008.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1jp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1jp/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1k6,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1k6_1272054_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,Untitled,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box01_001.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1k6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1k6/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1mq,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1mq_1272067_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,Ojala vivas Marcos,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box01_002.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1mq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1mq/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1n7,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1n7_1272955_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,Untitled,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box03_007.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1n7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1n7/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1pr,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1pr_1272182_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,Untitled,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box02_001.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1pr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1pr/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1q8,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1q8_1272978_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,Untitled,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box03_011.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1q8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1q8/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1rs,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1rs_1272081_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,La fiesta acabo hace mucho,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box01_003.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1rs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1rs/manifest
America en la Mira Digital Image Collection,ark:/21198/zz001gq1s9,ark:/21198/zz0017r44g,1,In progress,Work,lamira/masters/21198-zz001gq1s9_1272137_master.tif,,private,,,photographs,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,September,1970/1978,America en la Mira Poster Collection,1970s,CSRC_MIRA_Box01_009.tif,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq1s9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq1s9/manifest
