Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Rights.publicationStatus,Rights.copyrightStatus,Type.genre,Rights.countryCreation,Rights.rightsHolderContact,Name.photographer,Relation.isPartOf,Subject,Name.collector,Name.repository,Name.architect,Name.subject,Date.creation,Alt ID.local,AltTitle.uniform,Format.dimensions,Format.extent,Title,Description.contents,Description.note,AltTitle.other,Date.normalized,Finding Aid URL,Opac url,Rights.statementLocal,Summary,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008c2rx,,2,Completed,Collection,,,,private,,,,,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.","Welton Becket and Associates.|~|Architectural photography--California, Southern.|~|Architecture--Photographs.|~|Architectural firms--California--Los Angeles.","Mittler, Elliot","University of California, Los Angeles. $b Library Special Collections",,Welton Becket and Associates,1940-1979,Collection 1325,,,,"Elliot Mittler Collection of Welton Becket and Associates Photograph Archives, 1940-1979","Collection consists of photographs related to the work of the Welton Becket & Associates architectural firm. Most of the photographs represent projects in and around the Los Angeles area. Includes examples of both residential and commercial buildings with interior and exterior views. Architectural photographers whose works are represented in this collection are: Glen Allison, Orlando R. Cabanban, Fred S. Carr, Louis Checkman, Robert C. Cleveland, Gerbert Bruce Cross, Fred Daly, Philip Fein, Eddie Hoff, Richard K. Koch, Balthazar Korab, Nathaniel Lieberman, Joseph W. Moliter, Rondal Partridge, Marvin Rand, Gerald Ratto, Otto Rothschild, Ben Schnall, Gordon H. Schneck, Julius Shulman, Douglas Simmonds, Delmar Watson, Todd A. Watts, and Dick Wittington.","Welton Davis Becket (1902- ) was a Los Angeles based architect with Becket, Wurdeman, and Plummer (later renamed Welton Becket and Associates) - one of the largest firms in Los Angeles with building credits throughout the world. He also served as the Master Planner and Supervising Architect for UCLA from 1949 to 1969. After Becket's death, the firm continued under the same name, directed by his nephew, MacDonald Becket. Around 1985, the firm was acquired by Ellerbe Incorporated to become Ellerbe Becket. The collection consists of photographs related to the work of the Welton Becket & Associates architectural firm. Most of the photographs represent projects in and around the Los Angeles area and include examples of both residential and commercial buildings with interior and exterior views.",Elliot Mittler Collection of Welton Becket Photograph Archives,1940/1979,http://www.oac.cdlib.org/findaid/ark:/13030/tf2t1nb0w3,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470243,Photographs by Julius Shulman may not be copied,"Welton Davis Becket was born in Seattle, Washington, on August 8, 1902; BA, Architecture, University of Washington, (1927), with one year of graduate study at the Ecole des Beaux Arts, Fontainebleau, France, (1928); partnered with Walter Wurdeman and Charles Plummer under the name Becket, Wurdeman, and Plummer in 1933; following Plummer's death in 1939 and Wurdeman's death in 1949, Becket continued the firm as Welton Becket and Associates, serving as President (1949-68) and Chairman of the Board (1968) until his death in 1969; served as Master Planner and Supervising Architect, UCLA, 1949-69; Becket's philosophy of total design, embracing all requirements demanded of architectural design, became integral to the firm; the firm's designs are not identified with a particular style, but are individual to each client; the firm was one of the largest firms in Los Angeles with building credits throughout the world, including: Pan Pacific Auditorium (with Wurdeman, 1934), Beverly Hilton Hotel (1955), Dorothy Chandler Pavilion, Los Angeles Music Center (1964), Gulf Life Tower, Florida (1967), Xerox Square, New York (1968), several Bullock's Department Stores in California (1951-77), and various UCLA campus structures (1958-70); after Becket's death, the firm continued under the same name, directed by his nephew, MacDonald Becket; around 1985, the firm was acquired by Ellerbe Incorporated to become Ellerbe Becket. ",,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008c2rx
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fcw7,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fcw7-1-master.tif,1,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_01,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound [& RTD] Bus Terminal, including Thrifty Drug Store, exterior view street level from across intersection",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fcw7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fcw7/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fcxr,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fcxr-1-master.tif,2,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_266218,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound Bus Terminal, ticket lobby, 1967",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fcxr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fcxr/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fcz8,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fcz8-1-master.tif,3,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_266216,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound Bus Terminal, RTD ticket lobby, 1967",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fcz8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fcz8/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fd08,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fd08-1-master.tif,4,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_266215,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound Bus Terminal, interior escalators by gates 10 - 15, 1967",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fd08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fd08/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fd1s,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fd1s-1-master.tif,5,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_26629,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound [& RTD] Terminal, exterior street level, 1967",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fd1s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fd1s/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fd29,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fd29-1-master.tif,6,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_26625,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound Bus Terminal, ticket lobby at escalators, 1967",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fd29,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fd29/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fd3t,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fd3t-1-master.tif,7,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_26624,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound Bus Terminal, passenger loading platform, 1967",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fd3t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fd3t/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz0008fd4b,ark:/21198/zz0008c2rx,2,Completed,Work,mittler/masters/21198-zz0008fd4b-1-master.tif,8,,private,,,still image,unknown,unknown,Black-and-white photographs,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Rand, Marvin","Elliot Mittler Collection of Welton Becket and Associates Photograph Archives (Collection 1325). UCLA Library Special Collections, Charles E. Young Research Library.",,,"University of California, Los Angeles. $b Library Special Collections",Welton Becket and Associates,,1967,clus_1325_b6_f7_26622,"Greyhound Bus Terminal (Los Angeles, Calif.)",20 x 25 cm. (8 x 10 in.),1 photographic print,"Greyhound Bus Terminal, buses being loaded with luggage, 1967",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008fd4b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008fd4b/manifest
Mittler (Elliot) Collection of Welton Becket and Associates Photograph Archives.  Collection 1325,ark:/21198/zz001nf44d,ark:/21198/zz0008c2rx,1,In progress,Work,mittler/masters/21198-zz001nf44d_1309513_master.tif,9,,private,,,still image,,,,,,,,,,,,,,,,,,Nassau Veterans Memorial Coliseum seating plan,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf44d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nf44d/manifest
