Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Language,Rights.permission,Subject,Name.designer,Name.repository,Title,Coverage.geographic,Relation.url,Format.dimensions,Format.medium,AltTitle.other,Date.normalized,Date.creation,Format.extent,Description.note
Lyrical Map of Los Angeles,ark:/21198/zz002h27qf,,10,Completed with minimal metadata,Collection,lyrical_map/image/LMLA_full.tif,,,,,still image,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng,Y,Los Angeles (Calif.) $v Posters,"Walker, J. Michael","University of California, Los Angeles. $b Library Special Collections",Lyrical map of the concept of Los Angeles,California--Los Angeles,http://www.jmichaelwalker.com|~|http://librosschmibros.wordpress.com/literary-map-of-los-angeles/,60 x 290 in.,Color pencil on polypropylene paper,Lyrical Map of Los Angeles|~|City in Mind,2011,2011,1 poster,"Literary images and quotations associated by the artist with Los Angeles, superimposed on a map-like conceptualization of the city."
Lyrical Map of Los Angeles,ark:/21198/zz002h32t1,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/Final_275ppi.tif,,,,,,copyrighted,,,Y,,,,Lyrical map of the concept of Los Angeles (complete view),,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32gv,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/Right_01.tif,,,,,,copyrighted,,,Y,,,,Right side,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32hc,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32hc_2226943_master.tif,,,,,,copyrighted,,,Y,,,,Panel 11,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32jw,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32jw_2226926_master.tif,,,,,,copyrighted,,,Y,,,,Panel 6,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32kd,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32kd_2226922_master.tif,,,,,,copyrighted,,,Y,,,,Panel 5,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32mx,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32mx_2226918_master.tif,,,,,,copyrighted,,,Y,,,,Panel 2,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32nf,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/Left_01.tif,,,,,,copyrighted,,,Y,,,,Left side,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32pz,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32pz_2226942_master.tif,,,,,,copyrighted,,,Y,,,,Panel 10,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32qg,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32qg_2226931_master.tif,,,,,,copyrighted,,,Y,,,,Panel 7,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32r0,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32r0_2226932_master.tif,,,,,,copyrighted,,,Y,,,,Panel 9,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32sh,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32sh_2226921_master.tif,,,,,,copyrighted,,,Y,,,,Panel 3,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32vj,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32vj_2226923_master.tif,,,,,,copyrighted,,,Y,,,,Panel 4,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32w2,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32w2_2226915_master.tif,,,,,,copyrighted,,,Y,,,,Panel 1,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002h32xk,ark:/21198/zz002h27qf,1,In progress,Work,lyrical_map/image/21198-zz002h32xk_2226935_master.tif,,,,,,copyrighted,,,Y,,,,Panel 8,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002hj32z,ark:/21198/zz002h27qf,2,Completed,Work,maps/lyrical_map/image/LMLA_Section01.tif,,,,,,copyrighted,,,Y,,,,LMLA_Section01,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002hj33g,ark:/21198/zz002h27qf,2,Completed,Work,maps/lyrical_map/image/LMLA_Section02.tif,,,,,,copyrighted,,,Y,,,,LMLA_Section02,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002hj340,ark:/21198/zz002h27qf,2,Completed,Work,maps/lyrical_map/image/LMLA_Section03.tif,,,,,,copyrighted,,,Y,,,,LMLA_Section03,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002hj35h,ark:/21198/zz002h27qf,2,Completed,Work,maps/lyrical_map/image/LMLA_Section04.tif,,,,,,copyrighted,,,Y,,,,LMLA_Section04,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002hj361,ark:/21198/zz002h27qf,2,Completed,Work,maps/lyrical_map/image/LMLA_Section05.tif,,,,,,copyrighted,,,Y,,,,LMLA_Section05,,,,,,,,,
Lyrical Map of Los Angeles,ark:/21198/zz002hj37j,ark:/21198/zz002h27qf,2,Completed,Work,maps/lyrical_map/image/LMLA_Section06.tif,,,,,,copyrighted,,,Y,,,,LMLA_Section06,,,,,,,,,
