[folder],File Name,Item Sequence,Parent ARK,Item ARK,Object Type,Text direction,viewingHint,opac,Title,IIIF Access URL,AltTitle.other,AltTitle.uniform,AltIdentifier.local,Type.typeOfResource,Type.genre,Date.creation,Date.normalized,Place of origin,Author,Illustrator,Editor,Engraver,Description.abstract,Page layout,Form,[Binding note],Note (Suzuki subjects),References,Provenance,Features,Additions,Colophon,Illustrations,Condition,Contents note,Printing method?,Description.adminNote,Format.extent,Language,Writing system ,Subject topic,Subject.place,Rights.copyrightStatus,Rights.servicesContact,Name.repository,IIIF Manifest URL
uclaeal_wahon_B10_bib3013228,,,ark:/21198/n15d0d,ark:/21198/z1k6605r,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1563926,Nanairo gatenmame : eiga otoko nidaime | 七色合點豆 : 榮花男二代目,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k6605r%2Fm130cp0d,七いろ | Nanairo|~|榮花男二代目七色合點豆 | Eiga otoko nidaime nanairo gatenmame,,PL798.N36 1804,text,,[1804],1804,"[Edo] : 耕書堂, 享和 4 | [Edo] : Kōshodō, Kyōwa 4","山東京傳, 1761-1816 [Santō, Kyōden, 1761-1816]",,,,,Within single border (15.6 x 11.3 cm.).,,Fukurotoji (pouch binding).,,,,,,,,,,蔦重版 [Tsutajū ban]|~|黄表紙 [Kibyōshi],,3 volumes in 1 (15 leaves) : illustrations ; 18 cm,jpn,,,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4770,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k6605r/manifest
uclaeal_wahon_B11_bib1563926,,,ark:/21198/n15d0d,ark:/21198/z1ff57dk,Work,right-to-left,individuals,,Haikai sanjūrokkasen | 俳諧三十六歌僊,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff57dk%2Fnr369p11,三十六歌僊 | Sanjūrokkasen|~|俳仙集 | Haisenshū. [Title from preface],,PL794.7.Z5 H35 1799,text,,[1799],1799,"京都 : 野田治兵衞 ; 大坂 : 鹽屋忠兵衞 : 河內屋太助, 寬政11 | Kyōto : Noda Jihē ; Ōsaka : Shioya Chūbē : Kawachiya Tasuke, Kansei 11",,"与謝蕪村, 1716-1784 [Yosa, Buson, 1716-1784]",,,,,,Fukurotoji (pouch binding). ,,"Kokusho sōmokuroku (Hoteiban), v. 4, p. 199","""浪華書肆心斎橋通本町北江入塩屋彌七製本之記"" [""Naniwa Shoshi Shinsaibashi-dōri Honmachi kita e iru Shioya Yashichi seihon no ki""] stamped.",,,,,,,,,"19 leaves, 2 unnumbered leaves : portraits (woodcuts) ; 29 cm",jpn,,"Renku|~|Haikai |~|Japanese poetry--Edo period, 1600-1868|~|Haiga|~|Painting, Japanese--Edo period, 1600-1868",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4769,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ff57dk/manifest
uclaeal_wahon_B12_bib2530549_vol01,,,ark:/21198/n15d0d,ark:/21198/z19p4gpv,Work,right-to-left,individuals,,Fusō in'itsuden : kan 1 | 扶桑隠逸傳 : 巻 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4gpv%2Fg614hp1z,扶桑隠逸傳. | Fu sang yin yi zhuan. Japanese & Chinese,,PL795.N53 F87 1664,text,Biography,[1664],1664,"[Kyoto] : 梅村三郎兵衛, 寬文甲辰 | [Kyoto] : Umemura Saburōbē, Kanbun kōshin","元政, 1623-1668 [Gensei, 1623-1668]","元政, 1623-1668 [Gensei, 1623-1668]",,,,Within single border (20.5 x 13.7 cm.); text in 9 vertical lines.,,Fukurotoji (pouch binding) ; In case.  ,,,,Marginalia,Red markings on text.,,,2nd set is 1 cm. smaller.,,,,3 volumes : illustrations ; 28 cm,,Kanbun,Buddhists Biography,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4768,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19p4gpv/manifest
uclaeal_wahon_B12_bib2530549_vol02,,,ark:/21198/n15d0d,ark:/21198/z15x3r00,Work,right-to-left,individuals,,Fusō in'itsuden : kan 2 | 扶桑隠逸傳 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x3r00%2Fzb31w08j,扶桑隠逸傳. | Fu sang yin yi zhuan. Japanese & Chinese,,PL795.N53 F87 1664,text,Biography,[1664],1664,"[Kyoto] : 梅村三郎兵衛, 寬文甲辰 | [Kyoto] : Umemura Saburōbē, Kanbun kōshin","元政, 1623-1668 [Gensei, 1623-1668]","元政, 1623-1668 [Gensei, 1623-1668]",,,,Within single border (20.5 x 13.7 cm.); text in 9 vertical lines.,,Fukurotoji (pouch binding) ; In case.  ,,,,Marginalia,Red markings on text.,,,2nd set is 1 cm. smaller.,,,,3 volumes : illustrations ; 28 cm,,Kanbun,Buddhists Biography,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4767,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x3r00/manifest
uclaeal_wahon_B12_bib2530549_vol03,,,ark:/21198/n15d0d,ark:/21198/z12530bv,Work,right-to-left,individuals,,Fusō in'itsuden : kan 3 | 扶桑隠逸傳 : 巻 3,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12530bv%2Frr78jz2d,扶桑隠逸傳. | Fu sang yin yi zhuan. Japanese & Chinese,,PL795.N53 F87 1664,text,Biography,[1664],1664,"[Kyoto] : 梅村三郎兵衛, 寬文甲辰 | [Kyoto] : Umemura Saburōbē, Kanbun kōshin","元政, 1623-1668 [Gensei, 1623-1668]","元政, 1623-1668 [Gensei, 1623-1668]",,,,Within single border (20.5 x 13.7 cm.); text in 9 vertical lines.,,Fukurotoji (pouch binding) ; In case.  ,,,,Marginalia,Red markings on text.,,,2nd set is 1 cm. smaller.,,,,3 volumes : illustrations ; 28 cm,,Kanbun,Buddhists Biography,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4766,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12530bv/manifest
uclaeal_wahon_B13_bib2530549_vol01,,,ark:/21198/n15d0d,ark:/21198/z1xh1660,Work,right-to-left,individuals,,Fusō in'itsuden : kan 1 | 扶桑隠逸傳 : 巻 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1660%2Fnr369p11,扶桑隠逸傳. | Fu sang yin yi zhuan. Japanese & Chinese,,PL795.N53 F87 1664,text,Biography,[1664],1664,"[Kyoto] : 梅村三郎兵衛, 寬文甲辰 | [Kyoto] : Umemura Saburōbē, Kanbun kōshin","元政, 1623-1668 [Gensei, 1623-1668]","元政, 1623-1668 [Gensei, 1623-1668]",,,,Within single border (20.5 x 13.7 cm.); text in 9 vertical lines.,,Fukurotoji (pouch binding) ; In case.  ,,,,Marginalia,Red markings on text.,,,2nd set is 1 cm. smaller.,,,,3 volumes : illustrations ; 28 cm,,Kanbun,Buddhists Biography,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4765,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xh1660/manifest
uclaeal_wahon_B13_bib2530549_vol02,,,ark:/21198/n15d0d,ark:/21198/z1sr0fhq,Work,right-to-left,individuals,,Fusō in'itsuden : kan 2 | 扶桑隠逸傳 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0fhq%2Fbd72978m,扶桑隠逸傳. | Fu sang yin yi zhuan. Japanese & Chinese,,PL795.N53 F87 1664,text,Biography,[1664],1664,"[Kyoto] : 梅村三郎兵衛, 寬文甲辰 | [Kyoto] : Umemura Saburōbē, Kanbun kōshin","元政, 1623-1668 [Gensei, 1623-1668]","元政, 1623-1668 [Gensei, 1623-1668]",,,,Within single border (20.5 x 13.7 cm.); text in 9 vertical lines.,,Fukurotoji (pouch binding) ; In case.  ,,,,Marginalia,Red markings on text.,,,2nd set is 1 cm. smaller.,,,,3 volumes : illustrations ; 28 cm,,Kanbun,Buddhists Biography,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4764,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sr0fhq/manifest
uclaeal_wahon_B13_bib2530549_vol03,,,ark:/21198/n15d0d,ark:/21198/z1nz9pqj,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=482867,Fusō in'itsuden : kan 3 | 扶桑隠逸傳 : 巻 3,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9pqj%2Frr78jz2d,扶桑隠逸傳. | Fu sang yin yi zhuan. Japanese & Chinese,,PL795.N53 F87 1664,text,Biography,[1664],1664,"[Kyoto] : 梅村三郎兵衛, 寬文甲辰 | [Kyoto] : Umemura Saburōbē, Kanbun kōshin","元政, 1623-1668 [Gensei, 1623-1668]","元政, 1623-1668 [Gensei, 1623-1668]",,,,Within single border (20.5 x 13.7 cm.); text in 9 vertical lines.,,Fukurotoji (pouch binding) ; In case.  ,,,,Marginalia,Red markings on text.,,,2nd set is 1 cm. smaller.,,,,3 volumes : illustrations ; 28 cm,,Kanbun,Buddhists Biography,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4763,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nz9pqj/manifest
uclaeal_wahon_B14_bib482867_vol01,,,ark:/21198/n15d0d,ark:/21198/z1j68xzp,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=482867,Tōkaidō meisho zue : kan 1 | 東海道名所圖繪 : 巻 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j68xzp%2Fwc64p29k,,,PL762.K9 A98,text,,[1791?],1791,江戶 : 須原屋茂兵衛 | Edo : Suharaya Mohei,"秋里籬島, active 1780-1814 (Akisato, Ritō, active 1780-1814) .","竹原春泉齋, active 1789-1817 [Takehara, Shunsensai, active 1789-1817]",,,,Within single border (21.2 x 15.8 cm.).,,Fukurotoji (pouch binding).,,,Owner's seal stamped on last page of each volume.,,,,,,,,,6 volumes : illustrations ; 26 cm,jpn,,東海道 (Japan)--Description and travel [Tōkaidō (Japan)--Description and travel],Tōkaidō (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4762,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j68xzp/manifest
uclaeal_wahon_B14_bib482867_vol02,,,ark:/21198/n15d0d,ark:/21198/z1df867r,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=482867,Tōkaidō meisho zue : kan 2 | 東海道名所圖繪 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df867r%2Frr78jz2d,,,PL762.K9 A98,text,,[1791?],1791,江戶 : 須原屋茂兵衛 | Edo : Suharaya Mohei,"秋里籬島, active 1780-1814 (Akisato, Ritō, active 1780-1814) .","竹原春泉齋, active 1789-1817 [Takehara, Shunsensai, active 1789-1817]",,,,Within single border (21.2 x 15.8 cm.).,,Fukurotoji (pouch binding).,,,Owner's seal stamped on last page of each volume.,,,,,,,,,6 volumes : illustrations ; 26 cm,jpn,,東海道 (Japan)--Description and travel [Tōkaidō (Japan)--Description and travel],Tōkaidō (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4761,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df867r/manifest
