[folder],File Name,Item Sequence,Parent ARK,Item ARK,Object Type,Text direction,viewingHint,opac,Title,IIIF Access URL,AltTitle.other,AltTitle.uniform,AltIdentifier.local,Type.typeOfResource,Type.genre,Date.creation,Date.normalized,Place of origin,Author,Illustrator,Editor,Engraver,Description.abstract,Page layout,Form,[Binding note],Note (Suzuki subjects),References,Provenance,Features,Additions,Colophon,Illustrations,Condition,Contents note,Printing method?,Description.adminNote,Format.extent,Language,Writing system ,Subject topic,Subject.place,Rights.copyrightStatus,Rights.servicesContact,Name.repository,IIIF Manifest URL
uclaeal_wahon_B01_bib2997886_vol01,,,ark:/21198/n15d0d,ark:/21198/z1hh813h,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 1 | 佛說善惡因果經直解 : 巻 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh813h%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4816,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hh813h/manifest
uclaeal_wahon_B01_bib2997886_vol02,,,ark:/21198/n15d0d,ark:/21198/z1cr78fp,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 2 | 佛說善惡因果經直解 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr78fp%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4815,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cr78fp/manifest
uclaeal_wahon_B01_bib2997886_vol03,,,ark:/21198/n15d0d,ark:/21198/z1806hq8,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 3 | 佛說善惡因果經直解 : 巻 3,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806hq8%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4814,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1806hq8/manifest
uclaeal_wahon_B01_bib2997886_vol04,,,ark:/21198/n15d0d,ark:/21198/z14b4gd8,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 4 | 佛說善惡因果經直解 : 巻 4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4gd8%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4813,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b4gd8/manifest
uclaeal_wahon_B01_bib2997886_vol05,,,ark:/21198/n15d0d,ark:/21198/z10k3qpj,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 5 | 佛說善惡因果經直解 : 巻 5,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3qpj%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4812,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k3qpj/manifest
uclaeal_wahon_B01_bib2997886_vol06,,,ark:/21198/n15d0d,ark:/21198/z1vt374r,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 6 | 佛說善惡因果經直解 : 巻 6,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt374r%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4811,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt374r/manifest
uclaeal_wahon_B02_bib2997886_vol01,,,ark:/21198/n15d0d,ark:/21198/z1r22gdb,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 1 | 佛說善惡因果經直解 : 巻 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22gdb%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4810,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r22gdb/manifest
uclaeal_wahon_B02_bib2997886_vol02,,,ark:/21198/n15d0d,ark:/21198/z1m91qpm,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 2 | 佛說善惡因果經直解 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m91qpm%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4809,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m91qpm/manifest
uclaeal_wahon_B02_bib2997886_vol03,,,ark:/21198/n15d0d,ark:/21198/z1gj101k,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 3 | 佛說善惡因果經直解 : 巻 3,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj101k%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4808,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gj101k/manifest
uclaeal_wahon_B02_bib2997886_vol04,,,ark:/21198/n15d0d,ark:/21198/z1bs078d,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Bussetsu Zen'aku ingakyō jikige : kan 4 | 佛說善惡因果經直解 : 巻 4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs078d%2Fsw43zc5x,善惡因果經直解 | Zen'aku ingakyō jikige|~|直解卷 | Jikigekan|~|善惡因果經 | Shan e yin guo jing. Japanese & Chinese. [Container of (expression)],,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.",,Fukurotoji (pouch binding).,,,,Marginalia,,,,,,,,6 volumes ; 28 cm,,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4807,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bs078d/manifest
