[folder],File Name,Item Sequence,Parent ARK,Item ARK,Object Type,Text direction,viewingHint,Title,Description.abstract,AltTitle.other,AltTitle.uniform,AltIdentifier.local,Type.typeOfResource,Type.genre,Date.creation,Date.normalized,Place of origin,Author,Illustrator,Creator 1 Role,Editor,Contributor Role - 1,Engraver,Page layout,Format? binding?,Provenance,Additions,Colophon,Illustrations,Condition,Contents note,Description 1 Note,Description 2 Note,Description 3 Note,Description 5 Note,Format.extent,Language,Subject topic,Subject.geographic,Rights.copyrightStatus,Rights.servicesContact,Name.repository,IIIF Manifest URL
,,,,ark:/21198/n15d0d,Collection,,,Wahon Collection (?),Collection description here,,,,,,1627-1862,1627/1862,,,,,,,,,,,,,,,,,,,,,jpn,,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4836,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fn15d0d
uclaeal_wahon_A01_bib3676746,,,ark:/21198/n15d0d,ark:/21198/z13f64qn,Work,right-to-left,individuals,Shin hanatsumi. Zen | 新華摘. 全,,,,PL794.7 S54,text,Diaries,[1797],1797,"[Osaka] : [塩屋忠兵衛], [寬政9] [[Osaka] : [Shioya Chūbē], [Kansei 9]]","与謝蕪村, 1716-1784 [Yosa, Buson, 1716-1784]","松村吳春, 1752-1811 [Matsumura, Goshun, 1752-1811]",,"松村吳春, 1752-1811 [Matsumura, Goshun, 1752-1811]",,,"With no border, text in 9 vertical lines.","On double leaves, oriental style.",,,,,,Book advertisements on last leaf.,Title from title piece on cover.,Statement of responsibility and date from: 国書総目錄 [Kokusho sōmokuroku].,"Postscript by 月渓, dated 天明甲辰. [1784] [Postscript by Gekkei, dated Tenmei Kōshin [1784].]",,43 leaves : illustrations (some color) ; 27 cm,jpn,"与謝蕪村, 1716-1784--Diaries [Yosa, Buson, 1716-1784--Diaries]|~|Haikai",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4836,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f64qn/manifest
uclaeal_wahon_A02_bib537624,,,ark:/21198/n15d0d,ark:/21198/z1zp5n7c,Work,right-to-left,individuals,Azumaburi kyōka gojūnin isshu | 吾嬬曲狂哥五十人弌首,,吾妻曲狂歌文庫 | Azumaburi kyōka bunko|~|五十人一首狂歌文庫 | Gojūnin isshu kyōka bunko,,PL762.K9 A98,text,History,[1786],1786,"東都 [江戶] : 蔦屋重三郎, 天明 6 [Tōto [Edo] : Tsutaya Jūzaburō, Tenmei 6]",,"山東京伝, 1761-1816. [Santō, Kyōden, 1761-1816.]",,"石川雅望, 1754-1830. [Ishikawa, Masamochi, 1754-1830.]",,,Within single border (21.2 x 15.1 cm.).,"On double leaves, oriental style.",,,,,,Publisher's advertisements on last page.,Also known as: 吾妻曲狂歌文庫 [Azumaburi kyōka bunko].,"Illustrator's name and date from: 国書総目錄 [Kokusho sōmokuroku.eaves, oriental style].",,,50 unnumbered pages : color illustrations ; 27 cm,jpn,"Kyōka|~|Humorous poetry, Japanese--History|~|Japanese poetry--Edo period, 1600-1868",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4835,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp5n7c/manifest
uclaeal_wahon_A03_bib1787478_vol01,,,ark:/21198/n15d0d,ark:/21198/z1v13kvc,Work,right-to-left,individuals,Hitome tamaboko : kan 1 | 一目玉鉾 : 巻 1,,日本行程一目玉鉾 | Nihon kōtei hitome tamaboko,,DS808 I33,text,Early works|~|Pictorial maps,[1689],1689,"[大坂] : [雁金屋庄左衛門], 元祿2 [[Osaka] : [Kariganeya Shōzaemon], Genroku 2]","井原西鶴, 1642-1693 [Ihara, Saikaku, 1642-1693]",,,,,,"Within single border (22.1 x 16.0 cm.),  text chiefly in 16 vertical lines in upper frame (12.5 cm.); illustrative maps in lower frame (10.6 cm.).","On double leaves, oriental style in case.  ",,,,,,,Title from center column.,At head of title on label mounted on cover: 日本行程 [Nihon kōtei].,Author from: 国書総目錄 [Kokusho sōmokuroku] (1989).,,4 volumes : illustrations ; 26 cm,jpn,"Japan--Description and travel--Early works to 1800|~|Japan Maps, Pictorial--Early works to 1800",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4834,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v13kvc/manifest
uclaeal_wahon_A03_bib1787478_vol02,,,ark:/21198/n15d0d,ark:/21198/z1q82v6z,Work,right-to-left,individuals,Hitome tamaboko : kan 2 | 一目玉鉾 : 巻 2,,日本行程一目玉鉾 | Nihon kōtei hitome tamaboko,,DS808 I33,text,Early works|~|Pictorial maps,[1689],1689,"[大坂] : [雁金屋庄左衛門], 元祿2 [[Osaka] : [Kariganeya Shōzaemon], Genroku 2]","井原西鶴, 1642-1693 [Ihara, Saikaku, 1642-1693]",,,,,,"Within single border (22.1 x 16.0 cm.),  text chiefly in 16 vertical lines in upper frame (12.5 cm.); illustrative maps in lower frame (10.6 cm.).","On double leaves, oriental style in case.  ",,,,,,,Title from center column.,At head of title on label mounted on cover: 日本行程 [Nihon kōtei].,Author from: 国書総目錄 [Kokusho sōmokuroku] (1989).,,4 volumes : illustrations ; 26 cm,jpn,"Japan--Description and travel--Early works to 1800|~|Japan Maps, Pictorial--Early works to 1800",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4833,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q82v6z/manifest
uclaeal_wahon_A03_bib1787478_vol03,,,ark:/21198/n15d0d,ark:/21198/z1kh23dq,Work,right-to-left,individuals,Hitome tamaboko : kan 3 | 一目玉鉾 : 巻 3,,日本行程一目玉鉾 | Nihon kōtei hitome tamaboko,,DS808 I33,text,Early works|~|Pictorial maps,[1689],1689,"[大坂] : [雁金屋庄左衛門], 元祿2 [[Osaka] : [Kariganeya Shōzaemon], Genroku 2]","井原西鶴, 1642-1693 [Ihara, Saikaku, 1642-1693]",,,,,,"Within single border (22.1 x 16.0 cm.),  text chiefly in 16 vertical lines in upper frame (12.5 cm.); illustrative maps in lower frame (10.6 cm.).","On double leaves, oriental style in case.  ",,,,,,,Title from center column.,At head of title on label mounted on cover: 日本行程 [Nihon kōtei].,Author from: 国書総目錄 [Kokusho sōmokuroku] (1989).,,4 volumes : illustrations ; 26 cm,jpn,"Japan--Description and travel--Early works to 1800|~|Japan Maps, Pictorial--Early works to 1800",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4832,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh23dq/manifest
uclaeal_wahon_A03_bib1787478_vol04,,,ark:/21198/n15d0d,ark:/21198/z1fr1bnj,Work,right-to-left,individuals,Hitome tamaboko : kan 4 | 一目玉鉾 : 巻 4,,日本行程一目玉鉾 | Nihon kōtei hitome tamaboko,,DS808 I33,text,Early works|~|Pictorial maps,[1689],1689,"[大坂] : [雁金屋庄左衛門], 元祿2 [[Osaka] : [Kariganeya Shōzaemon], Genroku 2]","井原西鶴, 1642-1693 [Ihara, Saikaku, 1642-1693]",,,,,,"Within single border (22.1 x 16.0 cm.),  text chiefly in 16 vertical lines in upper frame (12.5 cm.); illustrative maps in lower frame (10.6 cm.).","On double leaves, oriental style in case.  ",,,,,,,Title from center column.,At head of title on label mounted on cover: 日本行程 [Nihon kōtei].,Author from: 国書総目錄 [Kokusho sōmokuroku] (1989).,,4 volumes : illustrations ; 26 cm,jpn,"Japan--Description and travel--Early works to 1800|~|Japan Maps, Pictorial--Early works to 1800",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4831,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fr1bnj/manifest
uclaeal_wahon_A04_bib1750699,,,ark:/21198/n15d0d,ark:/21198/z1b00kx4,Work,right-to-left,individuals,Yamatoezukushi | 大和繪つくし,,Yamatoe tsukushi|~|大和繪やまと繪づくし | Yamatoe yamatoezukushi,,ND1059.H58 A4 1680,text,,[1680],1680,"[Tokyo] : 鱗形屋三左衛門, 延宝8 [[Tokyo] : Urokogataya Sanzaemon, Enpō 8]",,"菱川師宣, approximately 1618-approximately 1694 [Hishikawa, Moronobu, approximately 1618-approximately 1694]",artist (same as illustrator?),,,,Within single border (23.3 x 16.6 cm.).,"On double leaves, oriental style.",,,,,,,Title from preface.,Also known as: 大和繪やまと繪づくし [Yamatoe yamatoezukushi],,,21 unnumbered leaves : chiefly illustrations ; 27 cm,jpn,"菱川師宣, approximately 1618-approximately 1694 [Hishikawa, Moronobu, approximately 1618-approximately 1694]|~|Yamatoe |~|Authors in art",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4830,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b00kx4/manifest
uclaeal_wahon_A05_bib3307895_vol02,,,ark:/21198/n15d0d,ark:/21198/z1669v85,Work,right-to-left,individuals,Konjaku zoku hyakki : kan 2 | 今昔續百鬼 : 巻 2,,續百鬼 | Zoku hyakki|~|續百鬼 : 今昔畫圖 | Zoku hyakki : konjaku gazu. [Title piece on cover]|~|今昔畫圖續百鬼 | Konjaku gazu zoku hyakki,,NE1325.T675 A79 1773,text,Pictorial works,[1773],1773,"勢州 [伊勢] 洞津 : 長野屋勘吉, 安永 8 [Seishū [Ise] Anatsu : Naganoya Kankichi, An'ei 8]",,"鳥山石燕, 1712-1788 [Toriyama, Sekien, 1712-1788]",,"町田助右衛門 [Machida, Sukeuemon]",,,,"On double leaves, oriental style. ",,,"""文化二年 [1805] 求板"" [""Bunka 2-nen [1805] kyūhan""]--Colophon.",,Volume 1 missing.,,Title from table of contents of v. 2.,Author taken from end of v. 3.,"""彫工 町田助右衛門"" [""Chōkō Machida Sukeuemon""] --End of v. 3.","Vols. numbered on title pieces: 雨, 晦, 明 [u, kai, mei].",3 volumes : illustrations ; 23 cm,jpn,"鳥山石燕, 1712-1788 [Toriyama, Sekien, 1712-1788]|~|Monsters in art|~|Monsters Japan--pictorial works",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4829,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1669v85/manifest
uclaeal_wahon_A05_bib3307895_vol03,,,ark:/21198/n15d0d,ark:/21198/z12f93k8,Work,right-to-left,individuals,Konjaku zoku hyakki : kan 3 | 今昔續百鬼 : 巻 3,,續百鬼 | Zoku hyakki|~|續百鬼 : 今昔畫圖 | Zoku hyakki : konjaku gazu. [Title piece on cover]|~|今昔畫圖續百鬼 | Konjaku gazu zoku hyakki,,NE1325.T675 A79 1773,text,Pictorial works,[1773],1773,"勢州 [伊勢] 洞津 : 長野屋勘吉, 安永 8 [Seishū [Ise] Anatsu : Naganoya Kankichi, An'ei 8]",,"鳥山石燕, 1712-1788 [Toriyama, Sekien, 1712-1788]",,"町田助右衛門 [Machida, Sukeuemon]",,,,"On double leaves, oriental style. ",,,"""文化二年 [1805] 求板"" [""Bunka 2-nen [1805] kyūhan""]--Colophon.",,Volume 1 missing.,,Title from table of contents of v. 2.,Author taken from end of v. 3.,"""彫工 町田助右衛門"" [""Chōkō Machida Sukeuemon""] --End of v. 3.","Vols. numbered on title pieces: 雨, 晦, 明 [u, kai, mei].",3 volumes : illustrations ; 23 cm,jpn,Monsters in art|~|Monsters Japan--pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4828,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12f93k8/manifest
uclaeal_wahon_A06_bib1974505_vol01,,,ark:/21198/n15d0d,ark:/21198/z1xs79gv,Work,right-to-left,individuals,Seirō ehon nenjū gyōji : kan 1 | 青樓繪本年中行事 : 巻 1,,吉原青樓年中行事 | Seirō nenjū gyōji|~|青樓年中行事 | Seirō nenjū gyōji. [End titile of v. 1]|~|青樓絵抄年中行事 | Seirō eshō nenjū gyōji [End title]|~|曲中年中行事 | Kyokuchū nenjū gyōji [Preface title],,HQ247.A5 J57 1804,text,,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 [Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4]","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]",,"喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",illustrator?,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.",,,,,,,Title from verso of cover.,,,,2 v. : ill. ; 23 cm.,jpn,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868|~|Japan--Social life and customs--1600-1868--Pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4827,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs79gv/manifest
uclaeal_wahon_A06_bib1974505_vol02,,,ark:/21198/n15d0d,ark:/21198/z1t16jrf,Work,right-to-left,individuals,Seirō ehon nenjū gyōji : kan 2 | 青樓繪本年中行事 : 巻 2,,吉原青樓年中行事 | Seirō nenjū gyōji|~|青樓年中行事 | Seirō nenjū gyōji. [End titile of v. 1]|~|青樓絵抄年中行事 | Seirō eshō nenjū gyōji [End title]|~|曲中年中行事 | Kyokuchū nenjū gyōji [Preface title],,HQ247.A5 J57 1804,text,,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 [Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4]","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]",,"喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",illustrator?,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.",,,,,,,Title from verso of cover.,,,,2 v. : ill. ; 23 cm.,jpn,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868|~|Japan--Social life and customs--1600-1868--Pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4826,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t16jrf/manifest
