[folder],File Name,Item Sequence,Parent ARK,Item ARK,Object Type,Text direction,viewingHint,opac,Title,IIIF Access URL,AltTitle.other,AltTitle.uniform,AltIdentifier.local,Type.typeOfResource,Type.genre,Date.creation,Date.normalized,Place of origin,Author,Illustrator,Editor,Engraver,Description.abstract,Page layout,Form,[Binding note],Note (Suzuki subjects),References,Provenance,Features,Additions,Colophon,Illustrations,Condition,Contents note,Printing method?,Description.adminNote,Format.extent,Language,Writing system ,Subject topic,Subject.place,Rights.copyrightStatus,Rights.servicesContact,Name.repository,IIIF Manifest URL
uclaeal_wahon_B05_bib3320008_vol01,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1p28d6g,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 1 | 天台三大部補注 : 巻  1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28d6g%2Fdx14801w,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4794,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p28d6g/manifest
uclaeal_wahon_B05_bib3320008_vol02,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1j97ngr,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 2 | 天台三大部補注 : 巻  2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j97ngr%2Fs771nv2w,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4793,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j97ngr/manifest
uclaeal_wahon_B05_bib3320008_vol03,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1dn5m49,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 3 | 天台三大部補注 : 巻 3,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn5m49%2F9061d66n,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4792,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dn5m49/manifest
uclaeal_wahon_B05_bib3320008_vol04,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z18w4vdk,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 4 | 天台三大部補注 : 巻 4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w4vdk%2Fzb31w08j,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4791,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18w4vdk/manifest
uclaeal_wahon_B05_bib3320008_vol05,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z15443mn,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 5 | 天台三大部補注 : 巻 5,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15443mn%2Fdx14801w,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4790,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15443mn/manifest
uclaeal_wahon_B05_bib3320008_vol06,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z11c3bwx,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 6 | 天台三大部補注 : 巻 6,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3bwx%2Fcp48h463,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4789,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c3bwx/manifest
uclaeal_wahon_B05_bib3320008_vol07,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1wm2vf3,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 7 | 天台三大部補注 : 巻 7,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm2vf3%2Fwk08jp29,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4788,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm2vf3/manifest
uclaeal_wahon_B05_bib3320008_vol08,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1rv23t3,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 8 | 天台三大部補注 : 巻 8,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv23t3%2Fcp48h463,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4787,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv23t3/manifest
uclaeal_wahon_B05_bib3320008_vol09,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1n31c16,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 9 | 天台三大部補注 : 巻 9,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31c16%2Fm8574s4q,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4786,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n31c16/manifest
uclaeal_wahon_B05_bib3320008_vol10,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1hd99rp,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3320008,Tiantai san da bu bu zhu : kan 10 | 天台三大部補注 : 巻 10,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd99rp%2Fb6006w3s,Tendai sandaibu hochū|~|Daibu hochū|~|法華三大部補注 | Fa hua san ta pu pu chu|~|Hokke sandaibu hochū|~|大部補注 | Ta pu pu chu. [Title in postscript],,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 | Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4","從義, 1042-1091 [Congyi, 1042-1091]",,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,,Fukurotoji (pouch binding). ,,,,Marginalia,Red marking on text.,,,"Slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,"""古活字版."" [""Gu hao zi ban.""]",,14 volumes ; 29 cm,jpn,,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4785,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd99rp/manifest
