Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/z1bg4cd8,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_001.tif,1,,,,individuals,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z16q3mmn,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_002.tif,2,,,,individuals,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z12z2vwx,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_003.tif,3,,,,individuals,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1z912s6,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_004.tif,4,,,,individuals,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1tj0b2w,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_005.tif,5,,,,individuals,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1pr9kbm,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_006.tif,6,,,,individuals,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1k08tp3,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_007.tif,7,,,,individuals,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1f782zr,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_008.tif,8,,,,individuals,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z19g7b7f,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_009.tif,9,,,,individuals,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z15t58x1,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_010.tif,10,,,,individuals,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1224j5k,ark:/21198/zz001d3c0b,,,Page,neuropsych\masters\21198-zz001d3c0b-1-master_011.tif,11,,,,individuals,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,
