Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9htm,Page,ethiopian/masters/21198-zz001h9htm_1283581_master.tif,Ms. 16_1,,,1,Page 1,,,pd,,gez,,,,,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9htm,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9hv4,Page,ethiopian/masters/21198-zz001h9hv4_1283584_master.tif,Ms. 16_2,,,2,Page 2,,,pd,,gez,,,,,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Miracle of St. Mary ተአምረ ማርያም ; ተአምሪሃ፡ ለእግዝእትነ፡ ማርያ፡ ወላዲተ፡ አምላክ፡ ጸሎታ፡ ወበረከታ፡ የሃሉ፡ ምስለ፡ ገብራ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9hv4,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9hwn,Page,ethiopian/masters/21198-zz001h9hwn_1283587_master.tif,Ms. 16_3,,,3,Page 3,,,pd,,gez,,,,,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Miracle of St. Mary ተአምረ ማርያም ; ተአምሪሃ፡ ለእግዝእትነ፡ ማርያ፡ ወላዲተ፡ አምላክ፡ ጸሎታ፡ ወበረከታ፡ የሃሉ፡ ምስለ፡ ገብራ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9hwn,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9hx5,Page,ethiopian/masters/21198-zz001h9hx5_1283590_master.tif,Ms. 16_4,,,4,Page 4,,,pd,,gez,,,,,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Miracle of St. Mary ተአምረ ማርያም ; ተአምሪሃ፡ ለእግዝእትነ፡ ማርያ፡ ወላዲተ፡ አምላክ፡ ጸሎታ፡ ወበረከታ፡ የሃሉ፡ ምስለ፡ ገብራ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9hx5,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9hzp,Page,ethiopian/masters/21198-zz001h9hzp_1283593_master.tif,Ms. 16_5,,,5,Page 5,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9hzp,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9j0p,Page,ethiopian/masters/21198-zz001h9j0p_1283596_master.tif,Ms. 16_6,,,6,Page 6,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9j0p,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9j16,Page,ethiopian/masters/21198-zz001h9j16_1283599_master.tif,Ms. 16_7,,,7,Page 7,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9j16,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9j2q,Page,ethiopian/masters/21198-zz001h9j2q_1283602_master.tif,Ms. 16_8,,,8,Page 8,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9j2q,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9j37,Page,ethiopian/masters/21198-zz001h9j37_1283605_master.tif,Ms. 16_9,,,9,Page 9,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9j37,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9j4r,Page,ethiopian/masters/21198-zz001h9j4r_1283608_master.tif,Ms. 16_10,,,10,Page 10,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9j4r,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9j58,Page,ethiopian/masters/21198-zz001h9j58_1283611_master.tif,Ms. 16_11,,,11,Page 11,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9j58,
Ethiopic Manuscripts,ark:/21198/zz001h9hrk,ark:/21198/zz001h9j6s,Page,ethiopian/masters/21198-zz001h9j6s_1283614_master.tif,Ms. 16_12,,,12,Page 12,,,pd,,gez,,ሰዓታት,The Hours,The Hours,Ethiopia,early 18th c.,1700/1750,1 Page,145 mm x 140 mm,Vellum,,The Hours (Se'atat)ሃሌ፡ ሃሌ፡ ሃሌ ፡ሉያ፡ ሃሌ፡ ሃሌ፡ ሉያ፡ አአትብ፡ ወእትነሣእ፡ በስመ፡ አብ፡ ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፫፡ አስማተ፡ ነሢእየ፡ እትመረጐዝ...አኰተ፡ ስብሐት፡ ወትረ፡ ለመንግሥትከ፡ ስቡሕ ፡ጊዜ፡ እምንዋምነ፡ ንነቅሕ፡ ናቄርብ፡ ለከ፡ በቃለ፡ ክላሕ፡ ወንፈኑ፡ ስብሐተ፡ ዘነግሕ። ;ስብሐት፡ ለእግዚአብሔር፡ ኪያነ፡ ለዘፈጠረ፡ ከመ ፡ናምልኮ፡ ስብሐት፡ ለማርያም፡ እመ፡ አምላክ፡ እግዝእትነ፡ ወመድኃኒትነ፡ ስብሐት፡ ለመስቀለ፡ ክርስቶስ ፡ዕፀ፡ መድኃኒት፡ ኃይልነ፡ ወፀወንነ። ጸሎተ፡ ሃይማኖት፡ በል፡ ወእምዝ ፡ይትፌኖ፡ በል።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h9j6s,
