"Project Name","Parent ARK","Item ARK","Object Type","File Name","viewingHint","Text direction","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbc3","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbc3-1-master.tif","","","Ms. 41_1","1","Page 1 [Blank]","","","pd","","","","","","","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbc3",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbdm","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbdm-1-master.tif","","","Ms. 41_2","2","Page 2 [Blank]","","","pd","","","","","","","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbdm",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbf4","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbf4-1-master.tif","","","Ms. 41_3","3","Page 3 [Blank]","","","pd","","","","","","","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbf4",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbgn","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbgn-1-master.tif","","","Ms. 41_4","4","Page 4 [Blank]","","","pd","","","","","","","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbgn",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbh5","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbh5-1-master.tif","","","Ms. 41_5","5","Page 5","","","pd","","amh|~|gez","","ፊልክስዩስ|~|Philkeseyus","Philoxenus or Questions on the Sayings of the Egyptian Fathers","Monastic book","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","Part one:  በስመ አብ ወወልድ ወመንፈስ ቅዱስ ፩አምላክ።እወጥን እንከ በኃይለ እግዚአብሔር ወበስነ ሀብቱ ጽሒፈ አስተጋብኦ ዝ መጽሐፍ ወውእቱ ክፍል ቀዳሚ ዘእምተስእሎታተ ዜናሆሙ ለአበው መነኮሳት ግብጻውያን ወጸሐፎ ቅዱስ ፊልክስዩስ ሶርያዊ ኤጲስ ቆጶስ ዘመንበግ ጸሎቱ ወበረከቱ የሀሉ ምስለ ገብሩ አጽቀ ሚካኤል ለዓለመ ዓለም አሜን፣ ; In the name of the Father and the Son and the Holy Spirit, one God.  I begin, by the power of God and the beauty of His grace, writing on the collection that is this book, the first part of which is from the questions about the sayings of the Egyptians, as Philoxenus of Syria, Bishop of Mabbug wrote, may his prayer and blessing be upon his servant Aseqa Mika'el for ever and ever, amen. ተፈጸመ ክፍል ቀዳሚ በረድኤተ እግዚአብሔር ወነገረ ከመ ተኃጥአ እምቀዳሚሁ ፵ ተስእሎታት ; This is the end of the first part, through the help of God.  He [Philoxenus?] narrated forty other questions which are missing from the first part.","The name of the previous owner is erased and written over with the name Aseqa Mika'el (P. 5 and 212).","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbh5",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbjp","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbjp-1-master.tif","","","Ms. 41_6","6","Page 6","","","pd","","amh|~|amh|~|gez","","Philkeseyus|~|ፊልክስዩስ","Philoxenus or Questions on the Sayings of the Egyptian Fathers","Monastic book","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","Part one:  በስመ አብ ወወልድ ወመንፈስ ቅዱስ ፩አምላክ።እወጥን እንከ በኃይለ እግዚአብሔር ወበስነ ሀብቱ ጽሒፈ አስተጋብኦ ዝ መጽሐፍ ወውእቱ ክፍል ቀዳሚ ዘእምተስእሎታተ ዜናሆሙ ለአበው መነኮሳት ግብጻውያን ወጸሐፎ ቅዱስ ፊልክስዩስ ሶርያዊ ኤጲስ ቆጶስ ዘመንበግ ጸሎቱ ወበረከቱ የሀሉ ምስለ ገብሩ አጽቀ ሚካኤል ለዓለመ ዓለም አሜን፣ ; In the name of the Father and the Son and the Holy Spirit, one God.  I begin, by the power of God and the beauty of His grace, writing on the collection that is this book, the first part of which is from the questions about the sayings of the Egyptians, as Philoxenus of Syria, Bishop of Mabbug wrote, may his prayer and blessing be upon his servant Aseqa Mika'el for ever and ever, amen. ተፈጸመ ክፍል ቀዳሚ በረድኤተ እግዚአብሔር ወነገረ ከመ ተኃጥአ እምቀዳሚሁ ፵ ተስእሎታት ; This is the end of the first part, through the help of God.  He [Philoxenus?] narrated forty other questions which are missing from the first part.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbjp",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbk6","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbk6-1-master.tif","","","Ms. 41_7","7","Page 7","","","pd","","amh|~|gez","","ፊልክስዩስ","Philoxenus or Questions on the Sayings of the Egyptian Fathers|~|Philkeseyus","Monastic book","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","Part one:  በስመ አብ ወወልድ ወመንፈስ ቅዱስ ፩አምላክ።እወጥን እንከ በኃይለ እግዚአብሔር ወበስነ ሀብቱ ጽሒፈ አስተጋብኦ ዝ መጽሐፍ ወውእቱ ክፍል ቀዳሚ ዘእምተስእሎታተ ዜናሆሙ ለአበው መነኮሳት ግብጻውያን ወጸሐፎ ቅዱስ ፊልክስዩስ ሶርያዊ ኤጲስ ቆጶስ ዘመንበግ ጸሎቱ ወበረከቱ የሀሉ ምስለ ገብሩ አጽቀ ሚካኤል ለዓለመ ዓለም አሜን፣ ; In the name of the Father and the Son and the Holy Spirit, one God.  I begin, by the power of God and the beauty of His grace, writing on the collection that is this book, the first part of which is from the questions about the sayings of the Egyptians, as Philoxenus of Syria, Bishop of Mabbug wrote, may his prayer and blessing be upon his servant Aseqa Mika'el for ever and ever, amen. ተፈጸመ ክፍል ቀዳሚ በረድኤተ እግዚአብሔር ወነገረ ከመ ተኃጥአ እምቀዳሚሁ ፵ ተስእሎታት ; This is the end of the first part, through the help of God.  He [Philoxenus?] narrated forty other questions which are missing from the first part.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbk6",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbmq","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbmq-1-master.tif","","","Ms. 41_8","8","Page 8","","","pd","","amh|~|gez","","Philkeseyus|~|ፊልክስዩስ","Philoxenus or Questions on the Sayings of the Egyptian Fathers","Monastic book","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","Part one:  በስመ አብ ወወልድ ወመንፈስ ቅዱስ ፩አምላክ።እወጥን እንከ በኃይለ እግዚአብሔር ወበስነ ሀብቱ ጽሒፈ አስተጋብኦ ዝ መጽሐፍ ወውእቱ ክፍል ቀዳሚ ዘእምተስእሎታተ ዜናሆሙ ለአበው መነኮሳት ግብጻውያን ወጸሐፎ ቅዱስ ፊልክስዩስ ሶርያዊ ኤጲስ ቆጶስ ዘመንበግ ጸሎቱ ወበረከቱ የሀሉ ምስለ ገብሩ አጽቀ ሚካኤል ለዓለመ ዓለም አሜን፣ ; In the name of the Father and the Son and the Holy Spirit, one God.  I begin, by the power of God and the beauty of His grace, writing on the collection that is this book, the first part of which is from the questions about the sayings of the Egyptians, as Philoxenus of Syria, Bishop of Mabbug wrote, may his prayer and blessing be upon his servant Aseqa Mika'el for ever and ever, amen. ተፈጸመ ክፍል ቀዳሚ በረድኤተ እግዚአብሔር ወነገረ ከመ ተኃጥአ እምቀዳሚሁ ፵ ተስእሎታት ; This is the end of the first part, through the help of God.  He [Philoxenus?] narrated forty other questions which are missing from the first part.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbmq",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbn7","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbn7-1-master.tif","","","Ms. 41_9","9","Page 9","","","pd","","amh|~|gez","","ፊልክስዩስ|~|Philkeseyus","Philoxenus or Questions on the Sayings of the Egyptian Fathers","Monastic book","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","Part one:  በስመ አብ ወወልድ ወመንፈስ ቅዱስ ፩አምላክ።እወጥን እንከ በኃይለ እግዚአብሔር ወበስነ ሀብቱ ጽሒፈ አስተጋብኦ ዝ መጽሐፍ ወውእቱ ክፍል ቀዳሚ ዘእምተስእሎታተ ዜናሆሙ ለአበው መነኮሳት ግብጻውያን ወጸሐፎ ቅዱስ ፊልክስዩስ ሶርያዊ ኤጲስ ቆጶስ ዘመንበግ ጸሎቱ ወበረከቱ የሀሉ ምስለ ገብሩ አጽቀ ሚካኤል ለዓለመ ዓለም አሜን፣ ; In the name of the Father and the Son and the Holy Spirit, one God.  I begin, by the power of God and the beauty of His grace, writing on the collection that is this book, the first part of which is from the questions about the sayings of the Egyptians, as Philoxenus of Syria, Bishop of Mabbug wrote, may his prayer and blessing be upon his servant Aseqa Mika'el for ever and ever, amen. ተፈጸመ ክፍል ቀዳሚ በረድኤተ እግዚአብሔር ወነገረ ከመ ተኃጥአ እምቀዳሚሁ ፵ ተስእሎታት ; This is the end of the first part, through the help of God.  He [Philoxenus?] narrated forty other questions which are missing from the first part.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbn7",""
"Ethiopic Manuscripts","ark:/21198/zz0009nb92","ark:/21198/zz0009nbpr","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009nbpr-1-master.tif","","","Ms. 41_10","10","Page 10","","","pd","","amh|~|gez","","ፊልክስዩስ|~|Philkeseyus","Philoxenus or Questions on the Sayings of the Egyptian Fathers","Monastic book","Ethiopia","18th-19th c.","1700/1899","1 Page","190 mm x 170 mm","Vellum","","Part one:  በስመ አብ ወወልድ ወመንፈስ ቅዱስ ፩አምላክ።እወጥን እንከ በኃይለ እግዚአብሔር ወበስነ ሀብቱ ጽሒፈ አስተጋብኦ ዝ መጽሐፍ ወውእቱ ክፍል ቀዳሚ ዘእምተስእሎታተ ዜናሆሙ ለአበው መነኮሳት ግብጻውያን ወጸሐፎ ቅዱስ ፊልክስዩስ ሶርያዊ ኤጲስ ቆጶስ ዘመንበግ ጸሎቱ ወበረከቱ የሀሉ ምስለ ገብሩ አጽቀ ሚካኤል ለዓለመ ዓለም አሜን፣ ; In the name of the Father and the Son and the Holy Spirit, one God.  I begin, by the power of God and the beauty of His grace, writing on the collection that is this book, the first part of which is from the questions about the sayings of the Egyptians, as Philoxenus of Syria, Bishop of Mabbug wrote, may his prayer and blessing be upon his servant Aseqa Mika'el for ever and ever, amen. ተፈጸመ ክፍል ቀዳሚ በረድኤተ እግዚአብሔር ወነገረ ከመ ተኃጥአ እምቀዳሚሁ ፵ ተስእሎታት ; This is the end of the first part, through the help of God.  He [Philoxenus?] narrated forty other questions which are missing from the first part.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nbpr",""
