Project Name,Item Ark,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/z1xh1gb3,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-2-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1sr0qnt,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-3-master_001.tif,2,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1nz9zvn,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-4-master_001.tif,3,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1j69724,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-4-master_002.tif,4,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1df8gbd,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_001.tif,5,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z18p7qpk,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_002.tif,6,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z14x7003,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_003.tif,7,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1184xq2,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_004.tif,8,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1wh4f8m,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_005.tif,9,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1rr3pfj,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_006.tif,10,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1n02xpp,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_007.tif,11,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1h725zb,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_008.tif,12,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1cg1f8g,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_009.tif,13,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z17q0pn3,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_010.tif,14,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1418n8z,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_011.tif,15,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1087wj7,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_012.tif,16,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1vh7d2b,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_013.tif,17,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1qr6n8q,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_014.tif,18,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1m05wkr,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_015.tif,19,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1g754x9,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_016.tif,20,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1bg4d8w,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_017.tif,21,,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z16t2bv4,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_018.tif,22,,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1321m44,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_019.tif,23,,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1z913kx,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_020.tif,24,,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1tj0btr,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_021.tif,25,,,,,,,,,,,,,,,,,,,,,Page 25,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1pr9m3w,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_022.tif,26,,,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1k08vgt,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_023.tif,27,,,,,,,,,,,,,,,,,,,,,Page 27,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1f783sx,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_024.tif,28,,,,,,,,,,,,,,,,,,,,,Page 28,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z19k62fg,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_025.tif,29,,,,,,,,,,,,,,,,,,,,,Page 29,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z15t59r6,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_026.tif,30,,,,,,,,,,,,,,,,,,,,,Page 30,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1224jzw,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_027.tif,31,,,,,,,,,,,,,,,,,,,,,Page 31,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1x942fj,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_028.tif,32,,,,,,,,,,,,,,,,,,,,,Page 32,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1sj39r8,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_029.tif,33,,,,,,,,,,,,,,,,,,,,,Page 33,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1ns2k49,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_030.tif,34,,,,,,,,,,,,,,,,,,,,,Page 34,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1j40hqv,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_031.tif,35,,,,,,,,,,,,,,,,,,,,,Page 35,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1db9s3b,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_032.tif,36,,,,,,,,,,,,,,,,,,,,,Page 36,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z18k91bj,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_033.tif,37,,,,,,,,,,,,,,,,,,,,,Page 37,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z14t88kc,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_034.tif,38,,,,,,,,,,,,,,,,,,,,,Page 38,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1127hth,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_035.tif,39,,,,,,,,,,,,,,,,,,,,,Page 39,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1w971c2,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_036.tif,40,,,,,,,,,,,,,,,,,,,,,Page 40,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1rj68q7,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_037.tif,41,,,,,,,,,,,,,,,,,,,,,Page 41,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1mw479w,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_038.tif,42,,,,,,,,,,,,,,,,,,,,,Page 42,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1h43gpt,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_039.tif,43,,,,,,,,,,,,,,,,,,,,,Page 43,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1cc2qz3,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_040.tif,44,,,,,,,,,,,,,,,,,,,,,Page 44,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z17m204t,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_041.tif,45,,,,,,,,,,,,,,,,,,,,,Page 45,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z13v17cn,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_042.tif,46,,,,,,,,,,,,,,,,,,,,,Page 46,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1030gpp,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_043.tif,47,,,,,,,,,,,,,,,,,,,,,Page 47,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1vb0094,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_044.tif,48,,,,,,,,,,,,,,,,,,,,,Page 48,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1qn7xzb,ark:/21198/zz001d390c,,,Page,neuropsych\masters\21198-zz001d390c-5-master_045.tif,49,,,,,,,,,,,,,,,,,,,,,Page 49,,,,,,,,,,,,,,,
