Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/zz001d390c,ark:/21198/zz001d36st,1,In progress,Work,,1,,,private,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d390c%2F5j861v9g,text,,pd_holder,,Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|National Association for the Mentally Ill NAMI,,eng,,"Padwa, Howard|~|Meldrum, Marcia ",,,,UCLA Center for the History of Public Mental Health,,Mental Health Archive,Interview of Barbara Fish,2010,,California,,1920-2010,,,,Mental Health Oral History Interviews 2009-10,,,,,,
Mental Health Archive,ark:/21198/zz001d3c0b,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/pdf/masters/21198-zz001d3c0b-1-master.pdf,2,,,private,,,text,,pd_holder,,Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Mental Health America Los Angeles MHA-LA|~|Mentally ill--Recovery--California--Los Angeles County,,eng,,"Nelligan, Amanda|~|Meldrum, Marcia ",,"Van Horn, Richard",,UCLA Center for History Culture and Neuroscience,59 p.,DMH Archive,Interview of Richard Van Horn,2009,,Los Angeles County,"Family, Education, and Early Career; Early Involvement with Mental Health America; Advocacy; Provider of Last Resort; DMH Clinics v. Contract Clinics; The Concept of Recovery; AB3777; The Village; AB2034; Building Organizational Ties; Setbacks and Problems; MHSA; Working with DMH; Oversight and Accountability Commission; Memorandum of Understanding; Working with Multiple Agencies; Transformation; Milestones of Recovery; Financing Issues; Working with the MHA Board; Vision for the Future",1939-2009,DMH Oral History Interview with Richard Van Horn,,Los Angeles County Department of Mental Health Archive,,,,"The Rev. Richard van Horn was Chief Executive Officer of Mental Health America in Los Angeles from 1980 through 2009 from 1980 through 2006, the organization name was the Mental Health Association).  He graduated from Harvard in 1961 and earned a Master in Divinity from the General Theological Seminary of New York in 1965.  Ordained as an Episcopal priest and assigned to the Diocese of Los Angeles, he took an extended leave from the Church in 1980 to pursue his work with MHA.  He became an active force in Mental Health Services in Los Angeles, presiding over the creation of the Village, the first Integrated Service Agency, and playing an important role in the passage of the Mental Health Services Act of 2005 (Prop 63).  Although he stepped down from his post as CEO of MHA in 2010, he continued to serve on the MHSA Oversight and Accountability Commission and on other important boards and task forces.",,,
Mental Health Archive,ark:/21198/zz001d4mgd,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/pdf/masters/21198-zz001d4mgd-1-master.pdf,3,,,private,,,text,,pd_holder,,Mentally ill--Care--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|National Association for the Mentally Ill NAMI|~|Schizophrenia,,eng,,"Nelligan, Amanda|~|Meldrum, Marcia ",,"March, Stella",,UCLA Center for History Culture and Neuroscience,46 p.,DMH Archive,Interview of Stella March,2009,,"New York, WWII Pacific, and Los Angeles",Family and Education; With the Red Cross in World War II; Early Career in Advertising; Development of Son’s Illness; Becoming his Case Manager; Marvin Southard’s Different Approach; Founding of NAMI; Don Richardson; Stigma Busters; SEAR Objectives; Stigma and Housing Issues; In Our Own Voice and its Impact; Media Portrayals of Mental Illness; Daughter’s Work in Art Therapy; MHSA; Importance of Early Intervention; Working with DMH; NAMI Goals v. MHA Goals; Lobbying; Henry Waxman; Mentors and Influences; The System Leadership Team; Importance of Federal Match for Case Management; Directly-Operated v. Contract Clinics; Vision for the Future; Medication Issues; Speaking up for Clients and Family Members; Closing Comments on NAMI,1920-2009,DMH Oral History Interview with Stella March,,Los Angeles County Department of Mental Health Archive,,,,"Mrs. Stella March was an early founder and organizer of NAMI in California.  She graduated from Hunter College, worked with the Red Cross in the Pacific in World War II, organizing shows for the troops, and as an advertising and radio copywriter in New York, Miami, and Los Angeles.  Her son's illness sparked her involvement in NAMI and she has been an advocate for increased research funding and better housing for the mentally ill since 1979, working on both the national and local level.  She is especially noted for her work in StigmaBusters, reducing stigmatizing images of the mentally ill in the popular media, and in NAMI educational programs, such as In Our Own Voice.",,,
Mental Health Archive,ark:/21198/zz001d4mhx,ark:/21198/zz001d36st,1,In progress,Work,,4,,,private,,,text,,pd_holder,,Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--San Diego County|~|Mental health services--California--Los Angeles County,,eng,,"Meldrum, Marcia ",,"Crowell, Areta",,UCLA Center for History Culture and Neuroscience,70 p.,DMH Archive,Interview of Areta Crowell,2009,,"Canada, New Jersey, Los Angeles, and San Diego",Childhood and Family; Education; Research at LAC-DMH; LPS Legislation; Catchment Areas; the Merger Years; the Health Training Center; Housing and Deinstitutionalization; the California Model; Elpers and his Team; The Augustus Hawkins MHC; Regional Director in San Fernando Valley; Consumers and Family Members; County v. Contract Clinics; Recovery and Wellness; the Quiroz Years; Director in San Diego County; Bed Allocations; Return to LA as Director; Working in the System; Trading Inpatient Beds for Outpatient Dollars; Evolution of PARTNERS; Continuity of Services; Outcome Measures; Consumer Stories; Project Return; Recovery; Disaster Response; Services for the Incarcerated; Rewards; Work on Healthy Families; Retirement and Aftermath,1930s-2009,DMH Oral History Interview with Areta Crowell,,Los Angeles County Department of Mental Health Archive,,,,"Dr. Areta Crowell was Director of the Los Angeles County Department of Mental Health 1990-1998.  She was born and raised in Canada and earned her Ph.D. in psychology at McGill University.  After a few years teaching in New Jersey, she chose to go into mental health services research after moving to Los Angeles and joined LAC-DMH 1965.  She had many responsibilities at DMH in the following years, in research, planning, and administration.  She served as Director of Mental Health for San Diego County 1986-1990 before returning to LA County as Director.  She was noted for her strong administrative and negotiation skills and for her promotion of consumer and family interests and involvement.  Since her retirement in 1998, she has remained active on many mental health boards and on the Healthy Families advisory panel.",,,
Mental Health Archive,ark:/21198/zz001dz8x2,ark:/21198/zz001d36st,1,In progress,Work,neuropsych/pdf/masters/21198-zz001dz8x2-1-master.pdf,5,,,private,,,text,,pd_holder,,Mentally ill--Care--California--Los Angeles County|~|Mental health services--California--Los Angeles County|~|Mentally ill--Advocacy--California--Los Angeles County|~|Pacific Clinics|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,"Padwa, Howard|~|Meldrum, Marcia ",,"Mandel, Susan",,UCLA Center for History Culture and Neuroscience,34 p.,DMH Archive,Interview of Susan Mandel,2009,,Alameda County; Los Angeles County,Education and Early Career in Oakland; Director of Mental Health for Alameda County; County v. Contract Clinics; CEO of Pacific Clinics; Meeting the Needs; Working with LAC-DMH; Merger with Portals; Comprehensive Community Care; The CCMHA; Working with Consumers and Family Members; Closing Comments,ca. 1960-2009,DMH Oral History Interview with Susan Mandel,,Los Angeles County Department of Mental Health Archive,,,,"Susan Mandel earned her doctorate in psychology from the University of Cincinnati in 1968.  She worked as a staff psychologist at Alameda County Hospital prior to becoming Director of Mental Health for the County in 1975.  In 1980, she became CEO of Pasadena Child Guidance Clinics, which became Pacific Clinics in 1987, and oversaw its growth from a small non-profit with a budget under $1 million to a large, multi-cultural network of clinics with a budget of nearly $100 million.  In 2007, Pacific Clinics merged with Portals.  Mandel has been active on the State Mental Health Planning Council and on the California Council of Community Mental Health Agencies.",,,
Mental Health Archive,ark:/21198/zz001nf3r7,ark:/21198/zz001d36st,1,In progress,Work,,6,,,private,,,,,,,,,,,,,,,,,,Oral History Photos,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz001nf3sr,ark:/21198/zz001d36st,1,In progress,Work,,7,,,private,,,,,,,,,,,,,,,,,,ASOC Transformation Documents,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz001nf3t8,ark:/21198/zz001d36st,1,In progress,Work,,8,,,private,,,,,,,,,,,,,,,,,,AB 2034 Documents,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz001nf3vs,ark:/21198/zz001d36st,1,In progress,Work,,9,,,private,,,,,,,,,,,,,,,,,,CAMI NAMI Documents,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz001nffqj,ark:/21198/zz001d36st,1,In progress,Work,,12,,,private,,,,,,,Mental Health America Los Angeles MHA-LA,,eng,,,,,,,,,"Mental Health Archive Los Angeles (Long Beach Physical Documents Location, MHA Long Beach Folder, no Subfolders)",,,,,,,Long Beach MHA,,,,Documents,,,,
