Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Subject,Type.genre,Rights.statementLocal,Name.repository,Rights.permission,Rights.rightsHolderName,Name.photographer,Rights.servicesContact,Date.creation,Date.normalized,Coverage.geographic,Relation.isPartOf,Alt ID.local,Format.extent,Title,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001d0frb,,2,Completed,Collection,,,,,still image,copyrighted,Clothing workers--Labor unions--California--Los Angeles|~|Clothing workers--California--Los Angeles County|~|Women clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,,"Hauge, Chelsy",UCLA Chicano Studies Research Center Library & Archive,2004-2005,2004/2005,"Los Angeles, CA",,,,Garment Workers of Los Angeles Photograph Collection,"These photographs were taken for a course led by Dr. Maria Angelina Gutierrez de Soldatenko at Pitzer College. In this course, students worked with garment workers and various stakeholders in the garment industry in order to tell the stories of workers, combat unfair labor practices, and inform the public about the presence and people behind the Los Angeles Garment Industry. This collection was donated to the UCLA Chicano Studies Research Center in 2006 by the photographer, Chelsy Hauge.",,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001d0frb
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hfzmk,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hfzmk_1791728_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,,Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw21.tif,1 Photograph,Garment Workers at Work,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfzmk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hfzmk/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hfzq4,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hfzq4_1284317_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,"Los Angeles, CA",Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_g17.tif,1 Photograph,Garment Workers at Work,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfzq4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hfzq4/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hfztp,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hfztp_1791725_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,,Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw20.tif,1 Photograph,Garment Workers at Work,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfztp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hfztp/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hfzv6,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hfzv6_1284359_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,,Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw7.tif,1 Photograph,Garment Workers at Work,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfzv6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hfzv6/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hfzwq,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hfzwq_1791710_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,,Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw12.tif,1 Photograph,Garment Workers in Dim Workspace,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfzwq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hfzwq/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hfzzr,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hfzzr_1791707_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,"Los Angeles, CA",Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw11.tif,1 Photograph,Garment Workers,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hfzzr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hfzzr/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hg01q,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hg01q_1791722_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,,Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw18.tif,1 Photograph,Garment Workers at Work,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg01q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hg01q/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hg05s,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hg05s_1791704_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,"Los Angeles, CA",Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw10.tif,1 Photograph,Garment Workers,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg05s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hg05s/manifest
Garment Workers of Los Angeles Photograph Collection,ark:/21198/zz001hg069,ark:/21198/zz001d0frb,2,Completed,Work,garment/masters/21198-zz001hg069_1791734_master.tif,,,,still image,copyrighted,Clothing workers--California--Los Angeles County|~|Laborers--California--Los Angeles County|~|chicano archives|~|documentary photography|~|Business,color photographs,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,Y,"Hauge, Chelsy","Hauge, Chelsy",,circa 2004-2005,2004/2005,,Garment Workers of Los Angeles Collection,CSRC_GarmentWorkersofLosAngeles_June25_gw23.tif,1 Photograph,Garment Workers,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg069,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001hg069/manifest
