Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Coverage.geographic,Coverage.temporal,Subject,Alt ID.local,Title,Name.creator,AltTitle.uniform,Relation.isPartOf,Summary,Description.note,Date.creation,Date.normalized,Publisher.placeOfOrigin,Publisher.publisherName,Name.subject,Name.photographer,Name.repository,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL
Han Yu-Shan Collection,ark:/21198/zz0019p719,ark:/21198/zz0019p70s,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p719_731766_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Qiantang Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_002,uclamss_1372_b16_002,陸元龍|~|Lu Yuanlong,順治四年殿試-陸元龍,overview|~|全式,,Age: 28|~|應殿試舉人臣陸元龍年貳拾捌歲係浙江省杭州府錢塘縣人附學生員應順治叁年鄉試中式繇舉人應順治肆年會試中試今應殿試今將三代腳色幷所習經書開具于後二 三 代曾祖鏡 故 不仕 祖子臣 故 不仕 父繼曾 故 不仕一 習 易 經|~|Rank 2 No. 48,1647,1647,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p719
Han Yu-Shan Collection,ark:/21198/zz0019p72t,ark:/21198/zz0019p70s,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p72t_731769_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Qiantang Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_002_12,uclamss_1372_b16_002_12,陸元龍|~|Lu Yuanlong,順治四年殿試-陸元龍,Ranking|~|seal stamp|~|騎縫關防|~|擬名次,,Age: 28|~|應殿試舉人臣陸元龍年貳拾捌歲係浙江省杭州府錢塘縣人附學生員應順治叁年鄉試中式繇舉人應順治肆年會試中試今應殿試今將三代腳色幷所習經書開具于後二 三 代曾祖鏡 故 不仕 祖子臣 故 不仕 父繼曾 故 不仕一 習 易 經|~|Rank 2 No. 48,1647,1647,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p72t
Han Yu-Shan Collection,ark:/21198/zz0019p73b,ark:/21198/zz0019p70s,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p73b_733349_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Qiantang Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_002_19-20,uclamss_1372_b16_002_19-20,Lu Yuanlong|~|陸元龍,順治四年殿試-陸元龍,Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背,,Rank 2 No. 48|~|應殿試舉人臣陸元龍年貳拾捌歲係浙江省杭州府錢塘縣人附學生員應順治叁年鄉試中式繇舉人應順治肆年會試中試今應殿試今將三代腳色幷所習經書開具于後二 三 代曾祖鏡 故 不仕 祖子臣 故 不仕 父繼曾 故 不仕一 習 易 經|~|Age: 28,1647,1647,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p73b
Han Yu-Shan Collection,ark:/21198/zz0019p74v,ark:/21198/zz0019p70s,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p74v_733357_master.tif,5,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Qiantang Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_002_29-30,uclamss_1372_b16_002_29-30,Lu Yuanlong|~|陸元龍,順治肆年殿試-陸元龍,彌縫後卷背|~|滿漢合璧禮部印|~|Seal Stamped on Verso,,應殿試舉人臣陸元龍年貳拾捌歲係浙江省杭州府錢塘縣人附學生員應順治叁年鄉試中式繇舉人應順治肆年會試中試今應殿試今將三代腳色幷所習經書開具于後二 三 代曾祖鏡 故 不仕 祖子臣 故 不仕 父繼曾 故 不仕一 習 易 經|~|Age: 28|~|Rank 2 No. 48,1647,1647,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p74v
Han Yu-Shan Collection,ark:/21198/zz0019p77d,ark:/21198/zz0019p76w,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p77d_733366_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Jinxian Xian (China)|~|Nanchang Fu (China)|~|Jiangxi Sheng (China),,Civil service--China--Examinations.,uclamss_1372_b16_003,uclamss_1372_b16_003,朱天寧|~|Zhu Tianning,順治四年殿試-朱天寧,全式|~|Overview,,應殿試舉人臣朱天寧年貳拾伍歲係江西南昌府進賢繇附學生員應崇禎拾貳年鄉試中式繇舉人應順治肆年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖應禎 故 不仕 祖褧 故 不仕 父知至 故 不仕一 習 詩 經|~|Rank 2 No. 9|~|Age: 25,1647,1647,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p77d
Han Yu-Shan Collection,ark:/21198/zz0019p7bz,ark:/21198/zz0019p79f,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7bz_733441_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Shuntian fu (China)|~|Daxing Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_004_11-12,uclamss_1372_b16_004_11-12,蕭世蕡|~|Xiao Shifen,順治六年殿試-蕭世蕡,騎縫關防|~|Seal Stamp|~|Seal Stamped on Verso|~|滿漢合璧禮部印|~|Rank|~|擬名次|~|彌縫後卷背,,Rank 3 No. 171|~|Age: 26|~|應殿試舉人臣蕭世蕡年貳拾陸歲係順天府大興縣人由廣生員應順治三年鄉試中式由舉人應順治陸年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖海 故 不仕 祖應凰 故 不仕 父夢鱗 故 不仕一 習 易 經,1649,1649,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7bz
Han Yu-Shan Collection,ark:/21198/zz0019p7cg,ark:/21198/zz0019p79f,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7cg_733459_master.tif,4,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Shuntian fu (China)|~|Daxing Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_004_19-20,uclamss_1372_b16_004_19-20,蕭世蕡|~|Xiao Shifen,順治六年殿試- 蕭世蕡,Stamp|~|Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背,,應殿試舉人臣蕭世蕡年貳拾陸歲係順天府大興縣人由廣生員應順治三年鄉試中式由舉人應順治陸年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖海 故 不仕 祖應凰 故 不仕 父夢鱗 故 不仕一 習 易 經|~|Age: 26|~|Rank 3 No. 171,1649,1649,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7cg
Han Yu-Shan Collection,ark:/21198/zz0019p7d0,ark:/21198/zz0019p79f,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7d0_733465_master.tif,5,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Shuntian fu (China)|~|Daxing Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_004_27-28,uclamss_1372_b16_004_27-28,蕭世蕡|~|Xiao Shifen,順治六年殿試-蕭世蕡,滿漢合璧禮部印|~|Stamp|~|彌縫後卷背|~|Seal Stamped on Verso,,應殿試舉人臣蕭世蕡年貳拾陸歲係順天府大興縣人由廣生員應順治三年鄉試中式由舉人應順治陸年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖海 故 不仕 祖應凰 故 不仕 父夢鱗 故 不仕一 習 易 經|~|Age: 26|~|Rank 3 No. 171,1649,1649,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7d0
Han Yu-Shan Collection,ark:/21198/zz0019p7qn,ark:/21198/zz0019p7p4,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7qn_733495_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Renhe Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_005_9-10,uclamss_1372_b16_005_9-10,錢開宗|~|Qian Kaizong,順治九年殿試-錢開宗,Seal Stamp|~|騎縫關防|~|Seal Stamped on Verso|~|滿漢合璧禮部印,,Rank 3 No. 124|~|Age: 26|~|應殿試舉人臣錢開宗年叁拾歲係浙江杭州府仁和縣人由增廣生員應已卯科鄉試中式由舉人應庚辰科會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖立 故 仕 祖養庶 故 仕 父德昌 故 不仕一 習 易 經,1652,1652,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7qn
Han Yu-Shan Collection,ark:/21198/zz0019p7r5,ark:/21198/zz0019p7p4,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7r5_733468_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Renhe Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_005,uclamss_1372_b16_005,錢開宗|~|Qian Kaizong,順治九年殿試-錢開宗,Overview|~|全式,,Age: 26|~|殿試舉人臣錢開宗年叁拾歲係浙江杭州府仁和縣人由增廣生員應已卯科鄉試中式由舉人應庚辰科會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖立 故 仕 祖養庶 故 仕 父德昌 故 不仕一 習 易 經|~|Rank 3 No. 124,1652,1652,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7r5
