Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Coverage.geographic,Coverage.temporal,Subject,Alt ID.local,Title,Name.creator,AltTitle.uniform,Relation.isPartOf,Summary,Description.note,Date.creation,Date.normalized,Publisher.placeOfOrigin,Publisher.publisherName,Name.subject,Name.photographer,Name.repository,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL
Han Yu-Shan Collection,ark:/21198/zz001d4jpj,ark:/21198/zz0019nz31,10,Completed with minimal metadata,Work,,,,,,paged,,,,still image|~|text,manuscripts (document genre)|~|Examinations (documents),pd,,chi,Guizhou Sheng (China)|~|Bijie Xian (China)|~|Dading Fu (China),,Civil service--China--Examinations.,uclamss_1372_b18_009|~|Microfilm R1-82,1845 Palace Examination - Lu Huang,路璜|~|Lu Huang,道光二十五年殿試-路璜,,,應殿試舉人臣路璜年叁拾貳歲貴州大定府畢節縣廳人由優附生應道光拾貳年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖邵	祖斯京	父孟達|~|Age: 32|~|Rank 2 No. 29|~|Province: Guizhou Sheng (China),1845,1845,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d4jpj/manifest,
Han Yu-Shan Collection,ark:/21198/zz001d6bcw,ark:/21198/zz001d4jpj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6bcw_769067_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Guizhou Sheng (China)|~|Bijie Xian (China)|~|Dading Fu (China),,Civil service--China--Examinations.,uclamss_1372_b18_009,uclamss_1372_b18_009,Lu Huang|~|路璜,道光二十五年殿試-路璜,全式|~|Overview,,Age: 32|~|應殿試舉人臣路璜年叁拾貳歲貴州大定府畢節縣廳人由優附生應道光拾貳年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖邵	祖斯京	父孟達|~|Rank 2 No. 29,1845,1845,,,,,,,,failed,
Han Yu-Shan Collection,ark:/21198/zz001d6bdd,ark:/21198/zz001d4jpj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6bdd_769087_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Guizhou Sheng (China)|~|Bijie Xian (China)|~|Dading Fu (China),,Civil service--China--Examinations.,uclamss_1372_b18_009_4,uclamss_1372_b18_009_4,路璜|~|Lu Huang,道光二十五年殿試-路璜,彌縫後卷背|~|Seal Stamped on Verso|~|擬名次|~|騎縫關防|~|Rank,,應殿試舉人臣路璜年叁拾貳歲貴州大定府畢節縣廳人由優附生應道光拾貳年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖邵	祖斯京	父孟達|~|Age: 32|~|Rank 2 No. 29,1845,1845,,,,,,,,failed,
Han Yu-Shan Collection,ark:/21198/zz001d6bfx,ark:/21198/zz001d4jpj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6bfx_769090_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Guizhou Sheng (China)|~|Bijie Xian (China)|~|Dading Fu (China),,Civil service--China--Examinations.,uclamss_1372_b18_009_9-10,uclamss_1372_b18_009_9-10,Lu Huang|~|路璜,道光二十五年殿試-路璜,Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背,,應殿試舉人臣路璜年叁拾貳歲貴州大定府畢節縣廳人由優附生應道光拾貳年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖邵	祖斯京	父孟達|~|Rank 2 No. 29|~|Age: 32,1845,1845,,,,,,,,failed,
Han Yu-Shan Collection,ark:/21198/zz001d6bgf,ark:/21198/zz001d4jpj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6bgf_769093_master.tif,4,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Guizhou Sheng (China)|~|Bijie Xian (China)|~|Dading Fu (China),,Civil service--China--Examinations.,uclamss_1372_b18_009_13-14,uclamss_1372_b18_009_13-14,Lu Huang|~|路璜,道光二十五年殿試-路璜,Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背,,Rank 2 No. 29|~|應殿試舉人臣路璜年叁拾貳歲貴州大定府畢節縣廳人由優附生應道光拾貳年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖邵	祖斯京	父孟達|~|Age: 32,1845,1845,,,,,,,,failed,
Han Yu-Shan Collection,ark:/21198/zz001d6bhz,ark:/21198/zz001d4jpj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6bhz_769100_master.tif,5,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Yixing Xian (China)|~|Guizhou Sheng (China)|~|Dading Fu (China),,Civil service--China--Examinations.,uclamss_1372_b18_009_21-22,uclamss_1372_b18_009_21-22,Lu Huang|~|路璜,道光二十五年殿試-路璜,Seal Stamped on Verso|~|折頁|~|擬名次|~|Rank|~|Paste-down|~|彌縫後卷背,,Rank 2 No. 29|~|應殿試舉人臣路璜年叁拾貳歲貴州大定府畢節縣廳人由優附生應道光拾貳年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖邵	祖斯京	父孟達|~|Age: 32,1845,1845,,,,,,,,failed,
Han Yu-Shan Collection,ark:/21198/zz001d4jq2,ark:/21198/zz0019nz31,10,Completed with minimal metadata,Work,,,,,,paged,,,,still image|~|text,manuscripts (document genre)|~|Examinations (documents),pd,,chi,"Puqi Xian (Hubei Sheng, China)|~|Wuchang Fu (Hubei Sheng, China)|~|Hubei Sheng (China)",,Civil service--China--Examinations.,uclamss_1372_b18_010|~|Microfilm R1-83,1845 Palace Examination - Ren Dianxuan,任殿選|~|Ren Dianxuan,道光二十五年殿試-任殿選,,,應殿試舉人臣任殿選年肆拾貳歲湖北武昌府蒲圻縣人由附學生應道光貳拾叁年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖天宗	祖廷高	父聿修|~|Age: 42|~|Province: Hubei Sheng (China)|~|Rank 3 No. 92,1845,1845,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d4jq2/manifest,
Han Yu-Shan Collection,ark:/21198/zz001d6d89,ark:/21198/zz001d4jq2,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6d89_769114_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Puqi Xian (Hubei Sheng, China)|~|Wuchang Fu (Hubei Sheng, China)|~|Hubei Sheng (China)",,,uclamss_1372_b18_010,uclamss_1372_b18_010,Ren Dianxuan|~|任殿選,道光二十五年殿試-任殿選,Overview|~|全式,,Rank 3 No. 92|~|應殿試舉人臣任殿選年肆拾貳歲湖北武昌府蒲圻縣人由附學生應道光貳拾叁年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖天宗	祖廷高	父聿修|~|Age: 42,1845,1845,,,,,,,,failed,
Han Yu-Shan Collection,ark:/21198/zz001d6d9t,ark:/21198/zz001d4jq2,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6d9t_769120_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Puqi Xian (Hubei Sheng, China)|~|Wuchang Fu (Hubei Sheng, China)|~|Hubei Sheng (China)",,Civil service--China--Examinations.,uclamss_1372_b18_010_4,uclamss_1372_b18_010_4,任殿選|~|Ren Dianxuan,道光二十五年殿試-任殿選,彌縫後卷背|~|Seal Stamped on Verso|~|騎縫關防|~|Rank|~|擬名次,,應殿試舉人臣任殿選年肆拾貳歲湖北武昌府蒲圻縣人由附學生應道光貳拾叁年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖天宗	祖廷高	父聿修|~|Rank 3 No. 92|~|Age: 42,1845,1845,,,,,,,,failed,
Han Yu-Shan Collection,ark:/21198/zz001d6dbb,ark:/21198/zz001d4jq2,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz001d6dbb_769129_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Puqi Xian (Hubei Sheng, China)|~|Wuchang Fu (Hubei Sheng, China)|~|Hubei Sheng (China)",,Civil service--China--Examinations.,uclamss_1372_b18_010_9-10,uclamss_1372_b18_010_9-10,任殿選|~|Ren Dianxuan,道光二十五年殿試-任殿選,滿漢合璧禮部印|~|Seal Stamped on Verso|~|彌縫後卷背,,Rank 3 No. 92|~|應殿試舉人臣任殿選年肆拾貳歲湖北武昌府蒲圻縣人由附學生應道光貳拾叁年鄉試中式由舉人應道光貳拾伍年會試中式今應殿試謹將三代腳色開具於後一 三 代曾祖天宗	祖廷高	父聿修|~|Age: 42,1845,1845,,,,,,,,failed,
