"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Coverage.geographic","Subject temporal","Subject","Alt ID.local","Title","Name.creator","AltTitle.uniform","Relation.isPartOf","Summary","Description.note","Date.creation","Date.normalized","Publisher.placeOfOrigin","Publisher.publisherName","Name.subject","Name.photographer","Name.repository","Finding Aid URL","Opac url","IIIF Manifest URL"
"Han Yu-Shan Collection","ark:/21198/zz0019nz31","","2","Completed","Collection","","","","","","","","","","","","pd","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","Civil service--China--Examinations, questions, etc.|~|Chinese examination essays.|~|Learned institutions and societies--China--History|~|China--History--Qing dynasty, 1644-1912--Examinations, questions, etc.|~|Examinations.|~|History.","Collection 1372","Han Yu-Shan Collection, [1646-1910]","","","","Born in Peking, China; Ph.D. from Boston University, 1929; taught at History Department, UCLA, from 1941 to 1966.","Yu-shan Han (1899-1983) taught at the History Department, UCLA (1941 to 1966). The collection consists of 24 histories of academies in China published between 1684-1910, a printed text of the Diamond Sutra (1798), a set of original woodblocks for the Diamond Sutra, imperial examination papers (1646-1904), imperial edicts, and manuscript scrolls. ","","","","","","","University of California, Los Angeles. $b Library Special Collections : LCNAF-CN - CN","https://oac.cdlib.org/findaid/ark:/13030/kt8f59p87d/","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1470738","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0019nz31"
"Han Yu-Shan Collection","ark:/21198/zz0019p70s","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p719","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Qiantang Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China)","","Civil service--China--Examinations.","Microfilm R1-2|~|uclamss_1372_b16_002","1647 Palace Examination - Lu Yuanlong","陸元龍|~|Lu Yuanlong","順治四年殿試-陸元龍","","","應殿試舉人臣陸元龍年貳拾捌歲係浙江省杭州府錢塘縣人附學生員應順治叁年鄉試中式繇舉人應順治肆年會試中試今應殿試今將三代腳色幷所習經書開具于後二 三 代曾祖鏡 故 不仕 祖子臣 故 不仕 父繼曾 故 不仕一 習 易 經|~|Province: Zhejiang Sheng (China)|~|Rank 2 No. 48|~|Age: 28","1647","1647","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p70s/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p76w","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p77d","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Jinxian Xian (China)|~|Nanchang Fu (China)|~|Jiangxi Sheng (China)","","Civil service--China--Examinations.","uclamss_1372_b16_003|~|Microfilm R1-3","1647 Palace Examination - Zhu Tianning","朱天寧|~|Zhu Tianning","順治四年殿試-朱天寧","","","應殿試舉人臣朱天寧年貳拾伍歲係江西南昌府進賢繇附學生員應崇禎拾貳年鄉試中式繇舉人應順治肆年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖應禎 故 不仕 祖褧 故 不仕 父知至 故 不仕一 習 詩 經|~|Province: Jiangxi Sheng (China)|~|Rank 2 No. 9|~|Age: 25","1647","1647","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p76w/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p79f","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7bz","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Shuntian fu (China)|~|Daxing Xian (China)","","Civil service--China--Examinations.","Microfilm R1-4|~|uclamss_1372_b16_004","1649 Palace Examination - Xiao Shifen","蕭世蕡|~|Xiao Shifen","順治六年殿試-蕭世蕡","","","應殿試舉人臣蕭世蕡年貳拾陸歲係順天府大興縣人由廣生員應順治三年鄉試中式由舉人應順治陸年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖海 故 不仕 祖應凰 故 不仕 父夢鱗 故 不仕一 習 易 經|~|Province: Zhili Sheng (China)|~|Rank 3 No. 171|~|Age: 26","1649","1649","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p79f/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p7p4","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7qn","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Renhe Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China)","","Civil service--China--Examinations.","uclamss_1372_b16_005|~|Microfilm R1-5","1652 Palace Examination - Qian Kaizong","錢開宗|~|Qian Kaizong","順治九年殿試-錢開宗","","","應殿試舉人臣錢開宗年叁拾歲係浙江杭州府仁和縣人由增廣生員應已卯科鄉試中式由舉人應庚辰科會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖立 故 仕 祖養庶 故 仕 父德昌 故 不仕一 習 易 經|~|Province: Zhejiang Sheng (China)|~|Age: 30|~|Rank 3 No. 124","1652","1652","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p7p4/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p86c","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p88d","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Shuntian fu (China)|~|Xianghong Qi (China)","","Civil service--China--Examinations.","uclamss_1372_b16_006|~|Microfilm R1-6","1655 Palace Examination - Yao Qishen","姚啟盛|~|Yao Qisheng","順治十二年殿試-姚啟盛","","","應殿試舉人臣姚啟盛年貳拾肆歲係鑲紅旗趙國祚固山尤進功牛录下人由順天府附學生員應順治拾壹年鄉試中式由舉人應順治拾貳年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖漢綱 故 不仕 祖文源 故 不仕 父模 故 不仕一 習 易 經|~|Age: 24|~|Province: Red Banner (China)|~|Rank 3 No. 84","1655","1655","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p86c/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p8cz","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8f0","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Jiaxing Fu (China)|~|Tongxiang Xian (Zhejiang Sheng, China)|~|Zhejiang Sheng (China)","","Civil service--China--Examinations.","uclamss_1372_b16_007|~|Microfilm R1-7","1655 Palace Examination: You Shixi","尤師錫|~|You Shixi","順治十二年殿試-尤師錫","","","應殿試舉人臣尤師錫年貳拾貳歲係浙江嘉興府桐鄉縣人由廩膳生員應順治叁年鄉試中式由舉人應順治拾貳年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖悌 故 不仕 祖畦 故 不仕 父駿 故 不仕一 習 易 經|~|Province: Zhejiang Sheng (China)|~|Age: 22|~|Rank 3 No. 48","1655","1655","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p8cz/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p8jj","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8mk","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Kunshan Xian (China)","","Civil service--China--Examinations.","uclamss_1372_b16_008|~|Microfilm R1-8","1673 Palace Examination - Ma Mingluan","馬鳴鑾|~|Ma Mingluan","康熙十二年殿試-馬鳴鑾","","","應殿試舉人臣馬鳴鑾年叁拾陸歲係江南蘇州府崑山縣人由拔貢生員應康熙伍年鄉試中式由舉人應康熙拾貳年會試中試今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖龍光 故 仕 祖玉麟 故 仕 父天騊 故 不仕一 習 易 經|~|Age: 36|~|Rank 2 No. 29|~|Province: Jiangnan (China)","1673","1673","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p8jj/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p8tp","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8x7","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Wu Xian (China)","","Civil service--China--Examinations.","uclamss_1372_b16_009|~|Microfilm R1-9","1688 Palace Examination - Xiang Yiluan","Xiang Yiluan|~|項亦鑾","康熙十二七年殿試-項亦鑾","","","應殿試舉人臣項亦鑾年肆拾肆歲係江南蘇州府吳縣人學生應康熙拾壹年鄉試中式由舉人應康熙貳拾柒年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖雲 故 不仕 祖完 故 不仕 父煜 故 仕一 習 易 經|~|Rank 2 No. 6|~|Province: Jiangnan (China)|~|Age: 44","1688","1688","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p8tp/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p8v6","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p918","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Manchuria (China)|~|Xianghuang Qi (China)|~|Tang Zeyao Zuoling (Manchuria, China)","","Civil service--China--Examinations.","uclamss_1372_b16_010|~|Microfilm R1-10","1694 Palace Examination - Fahai","法海|~|Fahai","康熙三十三年殿試-法海","","","應殿試舉人臣法海年貳拾伍歲係鑲黃旗滿洲都統唐則堯佐領下由附學生應康熙叁拾貳年鄉試中式由舉人應康熙叁拾叁年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖佟養真 故 仕 祖佟盛年 故 仕 父佟國綱 故 仕一 習 春 秋|~|Rank 3 No. 107|~|Age: 25|~|Province: Yellow Banner (China)","1694","1694","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p8v6/manifest"
