Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.rightsHolderName,Subject.descriptiveTopic,Subject temporal,Name.photographer,Author,Format.medium,Name.creator,Rights.permission,Subject geographic,Name.repository,Name.subject,Title,Description.view,Description.caption,Relation.isPartOf,Description.note,Alt ID.local,Description.abstract,AltTitle.translated,Date.normalized,Date.creation,Note,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
UCLA Encyclopedia of Egyptology,ark:/21198/zz000rwn8d,,2,Completed,Collection,,,,,,,,,,,,,,,,,,,,,,UCLA Encyclopedia of Egyptology (UEE),,,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306877,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000rwn8d
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mfm,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz000s3mfm_497362_master.tif,,,,,,still image,paintings (visual works),copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,Siptah (Akhenra Setepenra)|~|19th Dynasty,"Wilkinson, Richard H.",,paint|~|Plaster|~|Limestone,,N,Valley of the Kings,,,"Winged goddess, Tomb of Siptah, Valley of Kings",total,"Figure 2. Depictions of anthropomorphic goddesses with wings are really a form of the hybrid deity type, but are usually classified as purely anthropomorphic as this attribute is only shown in some cases. Winged goddess, Tomb of Siptah, Valley of the Kings",uee1003v1,The image is Ma'at kneeling above heraldic papyrus plants of Lower Egypt.|~|Article: Anthropomorphic Deities|~|45°,p000308|~|uee1003v1_fig2|~|21198/zz000rz52f,,,1194/1188,2001-04-17,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306878,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mfm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3mfm/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz000sjv87,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz000sjv87_497358_master.tif,,,,,,still image,sculpture (visual work),copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,4th Dynasty|~|Old Kingdom|~|Menkaura,"Wilkinson, Richard H.",,Graywacke,,N,Giza,,,"Triad of Menkaure, Egyptian Museum, Cairo",total,"Figure 1. Triad of Menkaura, Egyptian Museum, Cairo. A possible connection between the relatively late rise of many anthropomorphic deities—primarily in the Dynastic Period—and the position of the human king cannot be ignored. The association of monarchs and deities is clear from as early as the Old Kingdom.",uee1003,The statue represents a triad of King Menkaura flanked by the goddess Hathor to his right and the goddess of the 17th Upper Egyptian nome to his left.|~|Article: Anthropomorphic Deities|~|horizontal|~|Sculpting|~|95.5 cm x 46.5 cm,p000675|~|UEE_1003v1_fig1|~|21198/zz000rz52f,,,2575/2465,2001-09-06,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306879,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sjv87,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sjv87/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0013zk38,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0013zk38_497367_master.tif,,,,,,still image,Wall painting,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|18th Dynasty|~|Reign of Aye,"Wilkinson, Richard H.",,Plaster,,N,Valley of the Kings,,,Four Sons of Horus at Offering Table,partial,"Figure 3. Four sons of Horus in fully anthropomorphic form, Tomb of Aye, West Valley. Even where strong representational traditions were established, variation occurs in the form in which deities were portrayed. This may be seen in deities such as the four sons of Horus--with zoomorphic identities for three of the four usually, but not always, utilized in the New Kingdom.",uee1003,"Painting from KV23, Burial chamber J: rear wall|~|Article: Anthropomorphic Deities|~|NW|~|horizontal",p000308|~|UEE_1003v1_fig3|~|21198/zz000rz52f,,,1327/1323,2007-03-16,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306880,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zk38,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zk38/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014199t,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014199t_497410_master.tif,,,,,,still image,Unspecified Religious and Cult Object,copyrighted,published,,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom |~|18th Dynasty|~|Amenhotep IV / Akhenaten,,,Wood,,N,Deir el-Medina,,,Small Wooden Ancestor Bust,total,"Figure 1. Small (78 mm) wooden ancestor bust without a wig, from Deir el-Medina, 18th Dynasty, reign of Akhenaten","uee1031|~|53.246 [Brooklyn Museum of Art, New York]",Article: Ancestor Bust|~|horizontal|~|Sculptured|~|78 mm (height),p000190|~|UEE_1031v1_fig01|~|21198/zz000s5mbz,,,1352/1336,1999,"Romano, James 1999 Large anthropoid bust (Entry Number 264). In Pharaohs of the sun: Akhenaten, Nefertiti, Tutankhamen, ed. Rita Freed, Yvonne J. Markowitz, and Sue D'Auria, p. 282. Boston: Museum of Fine Arts.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306881,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014199t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014199t/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141ggt,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141ggt_497415_master.tif,,,,,,still image,Unspecified Religious and Cult Object,copyrighted,published,,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom |~|18th Dynasty|~|19th Dynasty,,,Limestone,,N,Deir el-Medina,,,Large Limestone Ancestor Bust,total,"Figure 2. Large (262 mm) limestone ancestor bust with wig and modius, possibly from Deir el-Medina, late 18th-early 19th Dynasty","uee1031|~|54.1 [Brooklyn Museum of Art, New York]",Article: Ancestor Bust|~|horizontal|~|Sculptured|~|262 mm (height),p000690|~|p000190|~|UEE_1031v1_fig2|~|21198/zz000s5mbz,,,1550/1188,1999,"Romano, James 1999 Large anthropoid bust (Entry Number 264). In Pharaohs of the sun: Akhenaten, Nefertiti, Tutankhamen, ed. Rita Freed, Yvonne J. Markowitz, and Sue D'Auria, p. 282. Boston: Museum of Fine Arts.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306882,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00141ggt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00141ggt/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141ghb,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141ghb_497418_master.tif,,,,,,still image,Unspecified Religious and Cult Object,copyrighted,published,,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom,,,Wood,,N,Deir el-Medina,,,Line Drawing of Henut Stela,total,"Figure 3. Limestone stela depicting the Lady of the House, Henut, offering incense and water to an ancestor bust. From Deir el-Medina.","uee1031|~|16550 [Petrie Museum of Egyptian Archaeology, UCL]",This is a line drawing of an image from a limestone stela.|~|Article: Ancestor Bust|~|horizontal|~|Sculptured,p000190|~|p000677|~|UEE_1031v1_fig03|~|21198/zz000s5mbz,,,1550/1069,2002,"Harrington, Nicola 2003 From the cradle to the grave: Anthropoid busts and ancestor cults at Deir el-Medina. In Current research in Egyptology 2003: Proceedings of the Fourth Annual Symposium, University College London, ed. Kathryn Piquette, and Serena Love, pp. 77, Fig. 5. Oxford: Oxbow Books",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306883,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00141ghb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00141ghb/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141gjv,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141gjv_497424_master.tif,,,,,,still image,,copyrighted,,Petrie Museum of Egyptian Archaeology,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",,,,Wood,,N,,Petrie Museum of Egyptian Archaeology,,Wooden Ancestor Bust,Total,Figure 4. Unprovenanced wooden bust wearing a wig.,"uee1031|~|UC 16550 [Petrie Museum of Egyptian Archaeology, UCL]",Article: Ancestor Bust|~|Horizontal|~|Engraved|~|262 mm (height),p000240|~|p000677|~|UEE_1031v1_fig4|~|21198/zz000s5mbz,,,1550/1069,2002,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306884,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00141gjv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00141gjv/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141gkc,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141gkc_497427_master.tif,,,,,,still image,Unspecified Religious and Cult Object,copyrighted,,Petrie Museum of Egyptian Archaeology,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom,,,Limestone,,N,Kom Medinet Ghurab,,,Small Limestone Bust with Blue Paint,total,"Figure 5. Small limestone (?) bust, with traces of blue paint, from Kom Medinet Ghurab","uee1031|~|UC 16031 [Petrie Museum of Egyptian Archaeology, UCL]",Article: Ancestor Bust|~|horizontal|~|Sculptured,p000231|~|p000672|~|UEE_1031v1_fig5|~|21198/zz000s5mbz,,,1550/1069,2002,http://www.digitalegypt.ucl.ac.uk/religion/archive/uc16550.gif,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306885,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00141gkc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00141gkc/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmg5,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmg5_497370_master.tif,,,,,,still image,Tomb Equipment,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|18th Dynasty|~|Reign of Tutankhamen,"Wilkinson, Richard H.",,Wood|~|Gold,,N,Valley of the Kings,,,Ennead on the Solar Barque,Total,"Figure 4. Deities of the Solar Barque, Gilded Shrine of Tutankhamun, Egyptian Museum, Cairo. Representations of enneads commonly utilize anthropomorphic depictions of deities in generic form where the individual deities are identified only by name labels",uee1003,Article: Anthropomorphic Deities|~|45 degrees|~|Embossed,p000675|~|p000626|~|uee1003v1_fig4|~|21198/zz000rz52f,,,1336/1327,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306886,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rmg5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rmg5/manifest
