Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permissionNote,Rights.rightsHolderName,Subject.category,Subject.period,Name.photographer,Name.author,Physical-Description.material,Physical-Description.medium,Name.creator,Physical-Description.technique,Physical-Description.dimensions,Rights.permission,Coverage.discoveryLocation,Coverage.creationLocation,Subject.place,Name.repository,Physical-Description.extent,Coverage.currentRepository,Name.subject,Title,Description.view,Alt ID.uee,Description.caption,Relation.isPartOf,Description.note,Alt ID.ueePlaceID,Alt ID.local,Description.abstract,Alternate Title.Arabic,Alternate Title.French,Alternate Title.German,Date.normalized,Date.publication,Source,Description.angle,Description.direction,Date.captured,Alt ID.collection,Date.creation,Alternate Title.transliterated
UCLA Encyclopedia of Egyptology,ark:/21198/zz000rwn8d,,2,Completed,Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA Encyclopedia of Egyptology (UEE),,,,,,,,,,,,,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000rz52f,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rz52f%2Fpx44356w,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Greco-Roman Period|~|Supernatural Beings|~|Categories of Deities|~|Religion|~|Predynastic Period|~|Anthropomorphic Deities,,,"Wilkinson, Richard H.",,,,,,Y,,,,,,,,Anthropomorphic Deities,,uee1003,,,,,,,الآلهة المجسمة,Dieux anthropomorphes,Anthropomorphe Götter,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mfm,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz000s3mfm_497362_master.tif,,,,,still image,paintings (visual works),copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,Siptah (Akhenra Setepenra)|~|19th Dynasty,"Wilkinson, Richard H.",,,paint|~|Plaster|~|Limestone,,,,N,,Valley of the Kings,,,,,,"Winged goddess, Tomb of Siptah, Valley of Kings",total,uee1003v1_fig2|~|21198/zz000rz52f,"Figure 2. Depictions of anthropomorphic goddesses with wings are really a form of the hybrid deity type, but are usually classified as purely anthropomorphic as this attribute is only shown in some cases. Winged goddess, Tomb of Siptah, Valley of the Kings",uee1003v1,The image is Ma'at kneeling above heraldic papyrus plants of Lower Egypt.|~|Article: Anthropomorphic Deities,p000308,,,,,,-1194/-1188,,,45°,,2001-04-17,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mg4,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mg4%2F7162mm2t,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Mortuary beliefs and practices|~|Religion|~|Judgement at Death/Negative Confession,,,"Stadler, Martin",,,,,,Y,,,,,,,,Judgment after Death (Negative Confession),,uee1013,,,,,,"In Egyptian funerary practices, trials composed a crucial phase through which the deceased had to pass in order to become “justified”—that is, worthy of entering the hereafter. The trials featured in Book of the Dead spells 18 and 20 are representative, the most popular pictorialrepresentation of the judgment after death being the vignette of BD spell 125, the spell proper of which provides a text that summarizes Egyptian ethical standards. There is reason to consider that the text may stem from priestly initiation oaths.",(المحاكمه بعد الموت (إعتراف سلبى,Jugement des morts (confession négative),"Totengericht (negatives Sündenbekenntnis), Jenseitsgericht",2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mhn,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mhn%2F2d861x4q,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|Structures and relationships in society|~|Ethics,,,"Lazaridis, Nikolaos, 1977-",,,,,,Y,,,,,,,,Ethics,,uee1021,,,,,,"Ancient Egyptian ethical thought and action revolved around the notion of maat. Although there are no traces of a standard moral code surviving from ancient Egypt, moral principles are often reflected in the literature--especially works of wisdom literature, funerary books and songs, tomb biographies, and literary narratives. In these sources moral principles are mostlyexpressed in practical admonitions and general observations on everyday conduct, and are voiced by authoritative sages. Through the study of these sources one can observe the occurrence of a major change in ancient Egyptian ethical thought during the New Kingdom, when piety andreligiosity became significant criteria for the judgment of the individual.",الأخلاق,Éthique,Ethik,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mj5,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mj5%2Fpk23zs22,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religious concepts and beliefs|~|Religion|~|Theodicy,Greco-Roman Period|~|Old Kingdom,,"Enmarch, Roland, 1978-",,,,,,Y,,,,,,,,Theodicy,,uee1007,,,,,,"Theodicy, the enquiry as to the justness of the divine, is a prominent theme in mythological descriptions of the struggle between order and chaos. It is also an important feature of Middle Egyptian pessimistic poetry, which probes weaknesses in this mythological argument. Although less explicitly articulated, theodicean concerns recur in Egyptian written culture down at least to the Graeco-Roman period.",(الثيوديسية››(التحقيق فى عدالة الأولوھية››,Théodicée,Theodizee,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mkp,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mkp%2F8r827v06,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Architecture|~|Material Culture, Art and Architecture|~|Temples|~|Late Period Temples",,,"Zivie-Coche, Christiane",,,,,,Y,,,,,,,,Late Period Temples,,uee1046,,,,,,"Late Period temples have their own specific characteristics, such as large, protective, mudbrick temenos walls, hardstone shrines with complex decorations or long mythological texts, colonnaded entrances, innovations such as the wabet and “mammisi,” and burials of royal family members, including the divine adoratrices, within the temple complexes  representative examples are the Late Period temples at Tanis, Sais, Mendes, and Hibis.",معابد العصر المتأخر,Temples de l’Époque Tardive,Tempel der Spätzeit,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mm6,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mm6%2F4z89527n,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Female Figurines (Pharaonic Period)",,,"Waraksa, Elizabeth A., 1977-",,,,,,Y,,,,,,,,Female Figurines (Pharaonic Period),,uee1033,,,the encoded article is not completed.,,,"Figurines of nude females are known from most periods of Pharaonic Egyptian history and occur in a variety of contexts. Female figurines were fashioned from clay, faience, ivory, stone, and wood. A generic Egyptian term for “female figurine” is rpyt; terms specifically for clay figurines include sjn (n Ast), rpyt nt sjnt, and rpyt Ast. Formerly interpreted largely as “concubine” figures, female figurines are now regarded as components of magico-medical rites to protect and heal.",(التماثيل الصغيرة النسائية (العصر الفرعوني,Figurines de femme,Frauenfiguren,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mnq,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mnq%2F3n21g51j,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|Structures and relationships in society|~|Poverty |~|Agriculture |~|Famine ,,,"Coulon, Laurent",,,,,,Y,,,,,,,,Famine,,uee1016,,,,,,"In ancient Egypt, food crises were most often occasioned by bad harvests following low or destructive inundations. Food crises developed into famines when administrative officials—state or local—were unable to organize storage and redistribution systems. Food deprivation,aggravated by hunger-related diseases, led to increased mortality, migrations, and social collapse. In texts and representations, the famine motif is used as an expression of chaos, emphasizing thepolitical and theological role of the king (or nomarch or god) as “dispenser of food.”",المجاعات,Famine,Hungersnot,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mp7,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mp7%2F5709rs8s,,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Animal materials|~|Technology|~|Leatherworking",,,"Veldmeijer, A. J.",,,,,,Y,,,,,,,,Leatherworking,,uee1045,,,,,,"Leather was used throughout Egypt’s history, although its importance varied. It had many applications, ranging from the functional (footwear and wrist-protectors, for example) to the decorative (such as chariot leather). Although leather items were manufactured using simple technology, leatherworking reached a high level of craftsmanship in the New Kingdom. Among the most important leather-decoration techniques employed in Pharaonic Egypt, and one especially favored for chariot leather, was the use of strips of leather of various colors sewn together in partial overlap. In post-Pharaonic times there was a distinct increase in the variety of leather-decoration techniques. Vegetable tanning was most likely introduced by the Romans; the Egyptians employed other methods of making skin durable, such as oil curing.",أعمال الجلود,Cuir et Tannage,Lederhandwerk,,,,,,,,2008,
