Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Language,Rights.permission,Name.repository,Relation.isPartOf,Name.creator,Rights.rightsHolderContact,Subject,Date.normalized,Date.creation,Title,AltTitle.other,Alt ID.local,Opac url,Finding Aid URL,Summary,Description.note,IIIF Manifest URL
Roberts (Larry) Collection,ark:/21198/zz002d3hgw,ark:/21198/zz002czw7c,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7m45,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),,,Tentative ARPA Net,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d3hgw/manifest
Roberts (Larry) Collection,ark:/21198/zz002ddgpj,ark:/21198/zz002czw7c,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0xdm,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1968/1969,,ARPANET Presentation,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ddgpj/manifest
Roberts (Larry) Collection,ark:/21198/zz002dj976,ark:/21198/zz002czw7c,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3w7s,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1978,1978,Current Status of Reservation Systems,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dj976/manifest
Roberts (Larry) Collection,ark:/21198/zz002dmv8b,ark:/21198/zz002czw7c,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv937d,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1972-01-05,5-JAN-72,Data Communications for the University of California,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dmv8b/manifest
Roberts (Larry) Collection,ark:/21198/zz002dmvbc,ark:/21198/zz002czw7c,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f697f,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1971/1972,Between 1971 and 1972,ARPA Network Traffic,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dmvbc/manifest
Roberts (Larry) Collection,ark:/21198/zz002dmvcw,ark:/21198/zz002czw7c,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp8rkx,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1972-01,JAN-72,ARPA Nodes,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dmvcw/manifest
Roberts (Larry) Collection,ark:/21198/zz002dmvdd,ark:/21198/zz002czw7c,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1572zqm,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1968/1969,1968-1969,ARPA Traffic Matrix,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dmvdd/manifest
Roberts (Larry) Collection,ark:/21198/zz002dmvfx,ark:/21198/zz002czw7c,1,In progress,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4p7t,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1972,1972,"ARPA NETWORK Charts, Maps, and Details",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dmvfx/manifest
Roberts (Larry) Collection,ark:/21198/zz002dmvgf,ark:/21198/zz002czw7c,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s69gk,,copyrighted,US,eng,Y,Kleinrock Internet History Center,Lawrence G. Roberts Collection,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),,,ARPANET Notes,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dmvgf/manifest
Roberts (Larry) Collection,ark:/21198/zz002dmvhz,ark:/21198/zz002czw7c,2,Completed,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31hk1,,copyrighted,US,eng,Y,Kleinrock Internet History Center,,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),1967/1970,1967-1970,"Distribution, Allocation, Reassembly Charts, Maps, and Descriptions",,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dmvhz/manifest
