Object Type,Title,Item ARK,Parent ARK,Item Sequence,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,Subject topic,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,Garade Farmer,ark:/21198/z1835r80,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00001.tif,,,,1977,1977,,,A farmer in the village of Garade harvesting tobacco,13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00001,Sherko Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs|~|Agriculture,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835r80,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1835r80/manifest
Work,Dried Tobacco,ark:/21198/z14b50k3,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00002.tif,,,,1977,1977,,,Four young men standing by a tobacco drying rack. Sherko Ali Omer is on the right,13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00002,Mohammed Amin Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs|~|Agriculture,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b50k3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b50k3/manifest
Work,Garade Village,ark:/21198/z10k47vc,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00003.tif,,,,1977,1977,,,Traditional mud brick houses made in the village of Garade,13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00003,Sherko Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k47vc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k47vc/manifest
Work,Garade Villagers,ark:/21198/z1vt3rbn,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00004.tif,,,,1977,1977,,,"Villagers standing transporting supplies, possibly tobacco",13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00004,Sherko Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs|~|Agriculture,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3rbn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt3rbn/manifest
Work,Darbandikhan Post Office Telephone Switchboard,ark:/21198/z1r51q2d,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00005.tif,,,,1976,1976,,,Employee in the Darbandikhan post office working on a manual telephone switching system,13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00005,Sherko Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51q2d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r51q2d/manifest
Work,Sulaimani Musical Group,ark:/21198/z1md0z97,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00006.tif,,,,1975,1975,,,"Sulaimani Musical Group performing in a concert in Baghdad, Iraq",13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00006,,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0z97,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md0z97/manifest
Work,Woman in Traditional Kurdish Dress,ark:/21198/z1gn06jf,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00007.tif,,,,1978,1978,,,"A woman wearing traditional Kurdish clothing and accessories, Studio in Sulaimani, Iraq",13.3 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00007,,,,"Baghdad, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs|~|Clothing & dress,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn06jf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn06jf/manifest
Work,Ahmed Mohammed Khidr in his Shop,ark:/21198/z1bv9fw2,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00008.tif,,,,1976,1976,,,Ahmed Mohammad Khdir sleeping in his carpentry station,13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00008,Sherko Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9fw2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bv9fw2/manifest
Work,Ahmed Mohammed Khidr in his Shop,ark:/21198/z1738q6h,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00009.tif,,,,1978,1978,,,Ahmed Mohammad Khdir repairing the covers of a book,13.5 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00009,Sherko Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738q6h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1738q6h/manifest
Work,Fatima Ahmed Mohammed Khidr,ark:/21198/z13b7zfb,ark:/21198/z1cv6gzj|~|ark:/21198/z1zk7d59,,Masters/othermasters/DEPauis/villages-of-sulaimani/images/auis_ec_00010.tif,,,,1977,1977,,,Fatima Ahmed Mohammed Khidr wearing traditional Kurdish clothing,14.0 cm x 9.0 cm,1 photograph,,black-and-white photographs,,auis_ec_00010,Sherko Ali Omer,,,"Sulaimani, Iraq",,"Sherko Ali Omer family collection in Sulaimani, Iraq",still image,,"https://auis.edu.krd, info@auis.edu.krd",,,,Kurds—Social life and customs|~|Clothing & dress,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7zfb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b7zfb/manifest
