Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence
ark:/21198/z1jx06hc,ark:/21198/z17m236z,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0162.tif,Page,Page 162,162
ark:/21198/z1jx06hc,ark:/21198/z13v1bfs,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0163.tif,Page,Page 163,163
ark:/21198/z1jx06hc,ark:/21198/z1030krt,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0164.tif,Page,Page 164,164
ark:/21198/z1jx06hc,ark:/21198/z1vb03bt,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0165.tif,Page,Page 165,165
ark:/21198/z1jx06hc,ark:/21198/z1qj9bk3,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0166.tif,Page,Page 166,166
ark:/21198/z1jx06hc,ark:/21198/z1kw7983,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0167.tif,Page,Page 167,167
ark:/21198/z1jx06hc,ark:/21198/z1g46jk4,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0168.tif,Page,Page 168,168
ark:/21198/z1jx06hc,ark:/21198/z1bc5ssh,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0169.tif,Page,Page 169,169
ark:/21198/z1jx06hc,ark:/21198/z16m5214,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0170.tif,Page,Page 170,170
ark:/21198/z1jx06hc,ark:/21198/z12v49bv,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0171.tif,Page,Page 171,171
ark:/21198/z1jx06hc,ark:/21198/z1z33sxc,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0172.tif,Page,Page 172,172
ark:/21198/z1jx06hc,ark:/21198/z1tb326f,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0060_contacorrente_trabalhadores_1921_1923_0173.tif,Page,Page 173,173
