Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Language,Type.genre,Subject,Relation.isPartOf,Relation.rectoVerso,Name.creator,Name.repository,Date.creation,Alt ID.local,Format.extent,Format.dimensions,Description.abstract,Title,Date.normalized,Description.note,IIIF Manifest URL
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx53,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jq10,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"July 28, 1783","Box 20, folder 1",1 bifolium,212 x 154 mm.,"Will of Estevan Domingo and his wife (possibly widow), Maria Teresa. Signed by Simon Narcisco b Allino, notary.","Testament of Maria Teresa and Estevan Domingo, Santa Cruz, Tianguistenco",1783-07-28,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gpx53/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx6m,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqbn,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"January 8, 1739","Box 20, folder 6",3 leaves,305 x 214 mm.,"Bartolome Fabian and Bartolome de Vargas and Hilario Blas, of San Felipe Santiago Atzcapotzalco, sell a piece of land to D. Antonio Gonzalez Tercero, a Spaniard. Apoderado is Juan Soriano; signed by D. Hipolto Hernandez, notary. Mentions boundary dispute between the towns of Azcapotzalco and Villatlacopa. Stamp of King Philip V.","Contract for sale of land, San Felipe Santiago, Azcapotzalco",1739-01-08,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gpx6m/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx74,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqjr,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"February 21, 1742","Box 20, Folder 2",1 bifolium,411 x 214 mm.,"Purchase of land by Don Juan Soriano, Spaniard, from Juan de la Cruz, of San Lucas Atenco, and Maria Simona of San Sebastian. Signed by Antonio Bilibaldo Flores, notary. Stamp of King Philip V on recto and verso.","Contract for sale of land, Azcapotzalco",1742-02-21,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gpx74/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx8n,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx95,paged,,,,text,pd,,spa|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,April - May 1652,"Box 20, folder 10",31 leaves,320 x 215 mm.,"Assorted documents ""contra el Pe Fr Juan de Vizcarre, guardian del convente de San Francisco"" (f. 1r). Includes petitions, letters, and testimony of Sebastian Garcia against Vizcarre. Second half of manuscript is comprised of copies of documents from civil and ecclesiastical authorities, including the execution of his sentence and exile from the parish. Final leaf is unrelated to the case, and is an edict of the Governor and alcaldes of Atzapotzalco, 1569 January 14.","Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara",1652-04/1652-05,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gpx8n/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpxf7,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqms,paged,,,,text,pd,,spa|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"July 1, 1637","Box 20, Folder 42",4 leaves,310 x 217 mm.,"Petition charging mistreatment by the hands of the curate, Antonio Bautista. Received by the Bishop of Guadalajara, don Leonel de Cervantes y Carvajal.","Petition by the people of Coatlan de Puertos Abaxo, Coatlan",1637-07-01,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gpxf7/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq082,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqwx,paged,,,,text,pd,,spa|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"October 7, 1747","Box 20, Folder 12",2 leaves,305 x 215 mm.,"Purchase of land by Doña Gertrudis Perez de Bustamante from Doña Antonia, her husband Miguel Martinez de Miranda, and their son, Julian Roman Martinez de Miranda. Leaf 2 is a confirmation of the sale of the land on 1767 July 1 from Gertrudis to Agustina Veronica of Chalco. Stamp of King Philip V.","Contract for sale of land, San Juan Bautista, Metepec",1747-10-07,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq082/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq09k,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jr1g,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"March 9, 1733","Box 29, folder 14",1 leaf,210 x 153 mm.,Includes instructions for mass and the division of property.,"Testament of Pedro San Juan, San Juan Bautista, Metepec",1733-03-09,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq09k/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0b3,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jr3h,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"June 19, 1785","Box 20, Folder 15",1 leaf,210 x 192 mm.,"Purchase or deed of land to Hilario de San Juan from his aunt, Josepha Teresa.","Contract for sale of land, San Juan Bautista, Metepec",1785-06-09,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq0b3/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0cm,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jr5j,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"October 20, 1629","Box 20, Folder 17",1 bifolium,312 x 218 mm.,Letter regarding arrangements for a marriage. Signed by several witnesses.,"Letter, council of Tzacualco to council of San Felipe, San Felipe",1629-10-20,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gq0cm/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gqgsk,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jr83,paged,,,,text,pd,,spa|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,18th century,"Box 20, Folder 18",1 leaf,305 x 210 mm,"Presumed to be a preface to a testament, with extensive praise of the Virgin. Includes a marginal note, in Spanish, regarding a contract for renting land between Ilario Carrillo and Diego Joseph De Lares.","Preface to a testament, origin unknown, undated",1701/1800,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gqgsk/manifest
