Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Language,Type.genre,Subject,Relation.isPartOf,Relation.rectoVerso,Name.creator,Name.repository,Date.creation,Alt ID.local,Format.extent,Format.dimensions,Description.abstract,Title,Date.normalized,Description.note,Representative Image,Masthead
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz0009c4d4,,2,Completed,Collection,,,,,,,,,,text,pd,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",spa|~|eng|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,"McAfee, Byron","University of California, Los Angeles. $b Library Special Collections",1553-1964,Collection 339,,,"Byron McAfee's research papers and original manuscripts from Mexico's colonial period. The research papers contain drafts of translations and essays by McAfee and his major collaborator, John Hubert Cornyn, on a variety of subjects including colonial codices, Spanish-Nahuatl dictionaries and vocabularies, and Nahua history and culture. The papers also include printed instructional and linguistic materials on Nahuatl, such as an 1887 Nahuatl grammar from Mexico; full transcriptions of important 16th century works by friars Bernardino de Sahagún, Alonso de Molina and Andres de Olmos; translations and linguistic studies of Nahuatl dramas; and material extracted from Mexican political and social movements related to Nahua studies.",McAfee (Byron) Papers,1553/1964,"The manuscripts series of the collection consists of testaments, deeds, petitions, complaints, and contracts for the sale of land from the areas of Metepec, Azcapotzalco, Tlaxcala and Coyoacan, dating from 1553 to 1864. These manuscripts, chiefly in Nahuatl, document the everyday activities and property holdings of men and women under Spanish colonial rule.",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jthp,"/159,287,4968,1422/full/0/default.jpg"
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx53,ark:/21198/zz0009c4d4,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx53%2F0321wk3k,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"July 28, 1783","Box 20, folder 1",1 bifolium,212 x 154 mm.,"Will of Estevan Domingo and his wife (possibly widow), Maria Teresa. Signed by Simon Narcisco b Allino, notary.","Testament of Maria Teresa and Estevan Domingo, Santa Cruz, Tianguistenco",1783-07-28,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx6m,ark:/21198/zz0009c4d4,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx6m%2Frd370j1g,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"January 8, 1739","Box 20, folder 6",3 leaves,305 x 214 mm.,"Bartolome Fabian and Bartolome de Vargas and Hilario Blas, of San Felipe Santiago Atzcapotzalco, sell a piece of land to D. Antonio Gonzalez Tercero, a Spaniard. Apoderado is Juan Soriano; signed by D. Hipolto Hernandez, notary. Mentions boundary dispute between the towns of Azcapotzalco and Villatlacopa. Stamp of King Philip V.","Contract for sale of land, San Felipe Santiago, Azcapotzalco",1739-01-08,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx74,ark:/21198/zz0009c4d4,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx74%2F1941pg73,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"February 21, 1742","Box 20, Folder 2",1 bifolium,411 x 214 mm.,"Purchase of land by Don Juan Soriano, Spaniard, from Juan de la Cruz, of San Lucas Atenco, and Maria Simona of San Sebastian. Signed by Antonio Bilibaldo Flores, notary. Stamp of King Philip V on recto and verso.","Contract for sale of land, Azcapotzalco",1742-02-21,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx8n,ark:/21198/zz0009c4d4,2,Completed,Work,,4,,,,paged,,,,text,pd,,spa|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,April - May 1652,"Box 20, folder 10",31 leaves,320 x 215 mm.,"Assorted documents ""contra el Pe Fr Juan de Vizcarre, guardian del convente de San Francisco"" (f. 1r). Includes petitions, letters, and testimony of Sebastian Garcia against Vizcarre. Second half of manuscript is comprised of copies of documents from civil and ecclesiastical authorities, including the execution of his sentence and exile from the parish. Final leaf is unrelated to the case, and is an edict of the Governor and alcaldes of Atzapotzalco, 1569 January 14.","Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara",1652-04/1652-05,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpx95,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gpx95_1271730_master.tif,1,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 1",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpxbp,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gpxbp_1271736_master.tif,2,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 2",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpxc6,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gpxc6_1271741_master.tif,3,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 3",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpxdq,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gpxdq_1271745_master.tif,4,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 4",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gpxf7,ark:/21198/zz0009c4d4,2,Completed,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpxf7%2F3s443q10,paged,,,,text,pd,,spa|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"July 1, 1637","Box 20, Folder 42",4 leaves,310 x 217 mm.,"Petition charging mistreatment by the hands of the curate, Antonio Bautista. Received by the Bishop of Guadalajara, don Leonel de Cervantes y Carvajal.","Petition by the people of Coatlan de Puertos Abaxo, Coatlan",1637-07-01,,,
