Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/z15x40wx,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z125387t,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1xd2rp7,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1sn20xf,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1nw185p,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1j40hgq,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1db9rvs,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z18p7qgw,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z14x6zsm,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z115671j,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_010.tif,10,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1wd5qgz,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_011.tif,11,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1rn4zr7,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_012.tif,12,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1mw472r,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_013.tif,13,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1h43gfp,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_014.tif,14,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1cg1f2s,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_015.tif,15,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z17q0pfd,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_016.tif,16,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z13x9xn7,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_017.tif,17,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z10595wr,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_018.tif,18,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1vd8pc1,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_019.tif,19,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1qn7xq6,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_020.tif,20,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1kw761q,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_021.tif,21,,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1g754p5,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_022.tif,22,,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1bg4d1r,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_023.tif,23,,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z16q3n6p,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_024.tif,24,,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z12z2wfh,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_025.tif,25,,,,,,,,,,,,,,,,,,,,,Page 25,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1z62czh,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_026.tif,26,,,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1tf1n93,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_027.tif,27,,,,,,,,,,,,,,,,,,,,,Page 27,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1pp0wpq,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_028.tif,28,,,,,,,,,,,,,,,,,,,,,Page 28,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1k08v7p,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_029.tif,29,,,,,,,,,,,,,,,,,,,,,Page 29,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1f783js,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_030.tif,30,,,,,,,,,,,,,,,,,,,,,Page 30,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z19g7bsm,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_031.tif,31,,,,,,,,,,,,,,,,,,,,,Page 31,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z15q6m0d,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_032.tif,32,,,,,,,,,,,,,,,,,,,,,Page 32,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z11z5v94,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_033.tif,33,,,,,,,,,,,,,,,,,,,,,Page 33,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1x65bw1,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_034.tif,34,,,,,,,,,,,,,,,,,,,,,Page 34,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1sf4m65,ark:/21198/zz001d4mgd,,,Page,21198-zz001d4mgd-1-master_035.tif,35,,,,,,,,,,,,,,,,,,,,,Page 35,,,,,,,,,,,,,,,
