Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Alt ID.local,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Name.subject,Name.creator,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Name.photographer,Publisher.publisherName,Coverage.geographic,Subject,Rights.servicesContact,Language,Rights.statementLocal,Author,Name.repository,Description.note,Title,Date.creation,Date.normalized,Description.caption,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Connexxus/Centro de Mujeres Collection,ark:/21198/zz000s19ng,,2,Completed,,Collection,,,,,,,,,,Connexxus (Center),Connexxus (Center),copyrighted,,,,,Los Angeles (Calif.),Lesbians $z California $z Los Angeles|~|Connexxus (Center)--Archives|~|Lesbians—Services for—California—Los Angeles,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",spa|~|eng,,,June L. Mazer Lesbian Archives,,"Connexxus/Centro de Mujeres Collection, 1985-1991",Between 1984 and 1990,1984/1990,,"The Connexxus/Centro de Mujeres Collection contains the administrative records of Connexxus / Centro de Mujeres, one of the first Los Angeles non-profit organizations that catered and provided services to lesbians.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650628,https://oac.cdlib.org/findaid/ark:/13030/kt1779r55b/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000s19ng
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013xnpk,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013xnpk-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,unpublished,,,Los Angeles (Calif.),,,eng,,,,,Press Release Regarding Opening of Connexxus,1985,1985,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xnpk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xnpk/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013xnrm,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013xnrm-1-master.tif,,,,text,,,,,Connexxus (Center)|~|International Gay and Lesbian Archives,International Gay and Lesbian Archives,copyrighted,N,unpublished,,,Los Angeles (Calif.),,,eng,,"MacCulloch, Bunny",,Rights.generalNote: Need to obtain permission to publish from creator.,Media Release Regarding the Donation of a Lesbian Library Collection to Connexxus,"January 12, 1985",1985-01-12,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xnrm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xnrm/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013xns4,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013xns4-1-master.tif,,,,text,,,,,Connexxus (Center),,copyrighted,N,unpublished,,,Los Angeles (Calif.),,,eng,,"Mazer, June|~|MacCulloch, Bunny",,Rights.generalNote: Need to obtain permission to publish from authors.,Press Release Regarding the Airing of a Documentary about Connexxus on Falcon Cable TV,"February, 1985",1985-02,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xns4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xns4/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013xntn,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013xntn-1-master.tif,,,,text,,,,,,Unknown,copyrighted,unknown,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles,,eng,,,,Flyer describes a shortage in blood donors due to gay men voluntary exclusion from donation in the wake of the AIDS crisis.|~|Rights.generalNote: Original creator and copyright holder unknown.,"Flyer Advertising ""A Massive Lesbian Blood Drive""","December 17, 1983",1983-12-17,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xntn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xntn/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013xnv5,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013xnv5-1-master.tif,,,,text,,,,,,Unknown,copyrighted,unknown,unpublished,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles,,eng,,,,Rights.generalNote: Original creator and copyright holder unknown.,"Press Release Regarding ""A Massive Lesbian Blood Drive""","December 17, 1983",1983-12-17,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xnv5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xnv5/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013xq27,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013xq27-1-master.tif,,,,text,,,,,Gay and Lesbian Community Services Center of Los Angeles,Unknown,copyrighted,unknown,published,,,Los Angeles (Calif.),Lesbians—Services for—California—Los Angeles,,eng,,,,Rights.generalNote: Original creator and copyright holder unknown.,Flyer Advertising the Grand Opening of Lesbian Center at the Gay and Lesbian Community Services Center,"February 27, 1983",1983-02-27,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xq27,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013xq27/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zfnm,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013zfnm-1-master.tif,,,,text,,,,,Connexxus (Center)|~|Connexxus (Center). Board of Directors,,copyrighted,N,published,,Unknown,Los Angeles (Calif.),,,eng,,,,Rights.generalNote: Source of newspaper clipping unknown.,Newspaper Clipping Regarding First Connexxus Board of Directors,"June, 1985",1985-06,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfnm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zfnm/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zfp4,ark:/21198/zz000s19ng,2,Completed,Connexxus First Year Materials,Work,connexxus/images/masters/21198-zz0013zfp4-1-master.tif,,,,text,,,,,Connexxus (Center)|~|Southern California Women for Understanding,Southern California Women for Understanding,copyrighted,Y,unpublished,,,Los Angeles (Calif.),,,eng,,,,,Information Card from Southern California Women for Understanding Soliciting Donations for Connexxus,"October 31, 1985",1985-10,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zfp4/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zfsp,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zfsp-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Casino Cabaret -- Gala Fundraiser,"October 12, 1984",1984-10-12,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfsp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zfsp/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zft6,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zft6-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Casino Cabaret -- Gala Fundraiser,"October 12, 1984",1984-10-12,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zft6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zft6/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zfvq,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zfvq-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Open House Celebration,"December 21, 1984",1984-12-21,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfvq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zfvq/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zfw7,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zfw7-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Walk/Run Benefit,"February 23, 1985",1985-02-23,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfw7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zfw7/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zfxr,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zfxr-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Volunteers Needed,"March 16, 1985",1985-03-16,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfxr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zfxr/manifest
