Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Name.fashionDesigner,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,License,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002hmjs0,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_12531.tif,,,,Lecturers,still image,news photographs|~|Portrait photographs|~|cellulose nitrate film,"Young, Vash, $d 1889-1965",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_12531,"Vash Young, author and lecturer, Los Angeles, 1936","Text on negative sleeve: 3524. Vash Young, lecturer, 2-29-36. [stamped:] Mar 4 1936.|~|Handwritten on negative: Vash Young, 2/29/36.","February 29, 1936",1 photograph,b&w nitrate negative,,1936-02-29,,,"Related to: ""Romance of Everyday Living"" Enthralls Large Friday Morning Club Audience,"" Los Angeles Times, 7 Mar. 1936: A6.|~|Portrait photograph of Vash Young, sitting at a table with a list, holding a pencil.",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hmjs0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hmjs0/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hmkjv,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_12553.tif,,,,Newspaper employees $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"Porter, Evelyn",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_12553,"Evelyn Porter, Los Angeles Times employee, Los Angeles, 1936","Text on negative sleeve: 3532. Evelyn Porter, Times employee. [stamped:] Mar 4 [year illegible, probably 1936]|~|Handwritten on negative: Evelyn Porter.",[1936],1 photograph,b&w nitrate negative,,1936,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hmkjv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hmkjv/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hmvq9,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_12790.tif,,,,Canyons $z California $z La Crescenta|~|Storms $z California $z La Crescenta|~|Police $z California $z La Crescenta|~|Basins (Bodies of water) $z California $z La Crescenta|~|Inspections $z California $z La Crescenta,still image,news photographs|~|cellulose nitrate film,"Graham, Wayne, $d 1896-1995|~|Richmond, Orval A., $d 1898-1959",copyrighted,The Regents of the University of California,La Crescenta-Montrose (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_12790,"State officers Wayne Graham and O. A. Richmond inspect the Pickens Debris Basin, La Crescenta, 1936",Handwritten on negative: Wayne Graham O. A. Richmond state officers inspecting Pickens Debris Basin|~|Handwritten text from negative sleeve: 3715 Wayne Graham O. A. Richmond [stamped:] FEB 18 1936 [end stamped] (state officers inspecting Pickens Debris Basin - during recent storm) 2/?/36,"[circa February 12, 1936]",1 photograph,b&w nitrate negative,,1936-02-12,-118.229311,34.222130,"Possibly related to the article, ""Gales sweep three southland areas; high seas peril yacht off newport: OIL DERRICKS WRECKED BY HEAVY BLOW storm injures six persons tornado-like winds tear through torrance, alhambra and long beach,"" Los Angeles Times, 13 Feb. 1936: 1|~|At right, state officers Wayne Graham and O. A. Richmond stand on the rim of the Pickens Debris Basin after a storm. They both face towards the left as they inspect the basin. Behind and below them, at center, Pickens Debris Basin sits. Some water has flowed into it. Beyond the basin, a dam spans a spillway at center and mountains rise in the far distance at right.",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hmvq9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hmvq9/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hmx8j,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_12835.tif,,,,Police $z California $z Fullerton,still image,news photographs|~|Portrait photographs|~|cellulose nitrate film,"Gregory, John",copyrighted,The Regents of the University of California,Fullerton (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_12835,"Sergeant John Gregory, Fullerton Police Department, Fullerton, 1936",Text on negative sleeve: 3787. Sergeant John Gregory of Fullerton Police Department. 2/24/36. [stamped:] Feb 28 1936.|~|Handwritten on negative: Sergeant John Gregory.,"February 24, 1936",1 photograph,b&w nitrate negative,,1936-02-24,,,"Possibly related to ""He Did Bring Home a Fish!"" Los Angeles Times, 3 Mar. 1936: 6.|~|Portrait photograph of Sergeant John Gregory of Fullerton Police Department seated at a desk, using a candlestick phone.",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hmx8j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hmx8j/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hn3gh,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_12986.tif,,,,"Dancers $x American $z California $z Los Angeles|~|Griffith Park (Los Angeles, Calif.)|~|Housewives $z California $z Los Angeles|~|Costumes $x Russian|~|Recreation $z California $z Los Angeles",still image,news photographs|~|Group portraits|~|cellulose nitrate film,"Ambrose, Vivian|~|Murphy, Marjorie|~|Montgomery, Martha|~|Lowe, Elizabeth|~|Grossmiller, Pearl",copyrighted,The Regents of the University of California,"Griffith Park (Los Angeles, Calif.)",,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_12986,"Vivian Ambrose, Pearl Grossmiller, Marjorie Murphy, Elizabeth Lowe and Martha Montgomery pose in costume at Griffith playground, Los Angeles, 1936",Handwritten text from negative sleeve: 3958-- [stamped:] MAR 12 1936 [end stamped] Mrs Vivian Ambrose Mrs Pearl Grossmiller Mrs Marjorie Murphy Mrs Elizabeth Lowe Mrs Martha Montgomery Women's outing Griffith Playground 3/11/36.,"March 11, 1936",1 photograph,b&w nitrate negative,,1936-03-11,,,"Related to the article, ""Domestic Chores Replaced by Sports: HOUSEWIVES HAVE FROLIC Thousand Shun Their Home Tasks for Play Day at Griffith Playground,"" Los Angeles Times, 12 Mar. 1936: A1|~|Handwritten on negative: L 2 R Mrs Vivian Ambrose x Mrs Pearl Grossmiller x Mrs Marjorie Murphy x Mrs Elizabeth Lowe. x in front Mrs Martha Montgomery 3/11/36|~|At center, five women pose while wearing matching folk costumes during a women's outing at Griffith playground. Standing, from left to right, are: Vivian Ambrose, Pearl Grossmiller, Marjorie Murphy and Elizabeth Lowe. They pose with crossed arms in front of them and a leg stepping forward. In front of them, Martha Montgomery crouches on the ground and faces right. She extends her back leg forward and crosses her arms out in front of her. Griffith Park's grounds stretch across the backround.",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hn3gh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hn3gh/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hn4m2,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_13019.tif,,,,Concerts $z California $z Los Angeles|~|Ballet dancers $z California $z Los Angeles|~|Dance $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"Monteux-Barendse, Nancie, $d 1917-2013",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_13019,"Nancie Monteux dances backstage at the Young People's Concert, Los Angeles, 1935","Handwritten on negative: Nancy [sic] Monteux, daughter of orchestra leader 12-7-35|~|Handwritten text from negative sleeve: 4005 - [stamped:] DEC 11 1935 [end stamped] Nanci [sic] Monteux daughter of Orchestra leader Monteux Entertains School Children 12-7-35","[December 7, 1935]",1 photograph,b&w nitrate negative,,1935-12-07,,,"This photograph is related to the article, ""Orchestra Presents Young People's Concert,"" Los Angeles Times, 8 Dec. 1935: 6|~|Nancie Monteux strikes a ballet pose backstage during a Young People's Concert. She stands en pointe at center with arms in fourth position and smiles to the camera. She dons a full-length ruffled skirt. Behind her, a wall enters frame at right and angles back to the left. Crates and other equipment sit against the base of the wall. In the distance at left, a man stands and looks towards camera.",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hn4m2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hn4m2/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hn5v5,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_13055.tif,,,,Eating & drinking $z California $z Los Angeles|~|Actresses $x American $z California $z Los Angeles|~|Leisure $z California $z Los Angeles,still image,news photographs|~|Portrait photographs|~|cellulose nitrate film,"Ferguson, Helen, $d 1901-1977",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_13055,"Helen Ferguson takes a meal in bed, Los Angeles, 1935",Handwritten on negative: Helen Ferguson 11-25-35|~|Handwritten text from negative sleeve: 4042 - [stamped:] DEC 1[?] 1935 [end stamped] Helen Ferguson (Mrs Richard Hargreaves) 11-25-35 silent movie actress,"November 25, 1935",1 photograph,b&w nitrate negative,,1935-11-25,,,Helen Ferguson looks to camera as she sits up in to take a meal in her bed. She lifts up a cup of tea from the tray that stretches over her lap. A bowl of soup and a small salad sit on the tray. Pillows line the headboard behind Helen Ferguson.,,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hn5v5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hn5v5/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hn6j0,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_13075.tif,,,,Christmas presents,still image,news photographs|~|cellulose nitrate film,"Jewell, Arthur C., $d 1877-1962|~|Los Angeles County (Calif.). $b Sheriff’s Department|~|Frith, Robert E.|~|Hawley, Rose",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_13075,"Captain A. C. Jewell, Rose Hawley and Col. R. E. Frith stack Christmas gifts, Los Angeles, 1935","Handwritten on negative: L to R Capt A. C Jewell Rose Hawley Col R. E. Frith 12-19-35|~|Handwritten text from negative sleeve: 4071 - [stamped:] DEC 20, 1935 [end stamped] Capt A. C Jewell (w/ glasses) Rose Hawley, Col. R. E. Frith 12-19-35","December 19, 1935",1 photograph,b&w nitrate negative,,1935-12-19,,,"From left to right, Captain A. C. Jewell, Rose Hawley and Col. Robert E. Frith gather around a pile of stacked Christmas gifts. The large stack sits atop a desk at center. R. E. Frith stands rightmost and in profile, facing left. He holds a wrapped gift in his hand while he looks up towards Rose Hawley. At left, A. C. Jewell stands in profile, facing right. He rests a hand to the stack of gifts. Behind him, Rose Hawley kneels atop the desk. She holds up a present while looking down towards R. E. Frith.",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hn6j0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hn6j0/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hn6nj,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_13078.tif,,,,Christmas trees $z California $z Los Angeles|~|Christmas decorations|~|Physicians $x American $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"Los Angeles (Calif.). Dept. of Health|~|Cammack, Vivian, $d b. 1913 or 14|~|Bremer, Vivien, $d 1911-1958|~|Pomeroy, John L.",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_13078,"Dr. J. L. Pomeroy, Vivian Cammack and Vivien Bremer decorate the Health Department's Christmas tree, Los Angeles, 1935","Handwritten on negative: L 2 R Dr. J. L. Pomeroy x Vivian Cammack x Vivien Bremer 12-19-35|~|Handwritten text from negative sleeve: 4073 - [stamped:] DEC 20 1935 [end stamped] Dr. J. L. Pomeroy, Vivian Cammack, Vivien Bremer Health Dept Xmas tree 12-19-35","December 19, 1935",1 photograph,b&w nitrate negative,,1935-12-19,,,"From left to right, Dr. J. L. Pomeroy, Vivian Cammack and Vivien Bremer stand around the Health Department's Christmas tree as they decorate it. The tree stands in a corner, off-center to the right. Against the far right wall, Vivien Bremer stands in profile, facing left. At left, Vivian Cammack stands in front of the tree. She smiles to camera as she holds up a length of garland. Behind and to the left of her, Dr. J. L. Pomeroy stands atop a ladder. He, too, smiles to camera and holds a length of garland. A set of double doors stands behind him at left.",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hn6nj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hn6nj/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002hn7gf,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_13102.tif,,,,Child actors $z California $z Los Angeles|~|Contracts,still image,news photographs|~|Group portraits|~|cellulose nitrate film,"Granville, Bonita, $d 1923-1988|~|Joplin, Gareth",copyrighted,The Regents of the University of California,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections",,,,US,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-4988",,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_13102,"Bonita Granville and Gareth Joplin stand outside Parker Wood's office, Los Angeles, 1935",Handwritten on negative: L to R - Bonita Granville - gareth Joplin 12-10-35|~|Handwritten text from negative sleeve: 4090 - [stamped:] DEC 20 1935 [end stamped] L to R Bonita Ganville [sic] - 12 yrs gareth Joplin - 11 yrs 12-10-35 Contract approval,"December 10, 1935",1 photograph,b&w nitrate negative,,1935-12-10,,,"From left to right, Bonita Granville and Gareth Joplin pose outside Parker Wood's office door. The child actors stand side-by-side at center. Both carry document files under their arms and both smile as they look towards the left. Bonita Granville rests her hand on the doorknob at left. Text on the door behind them reads, ""PARKER WOOD J [...] RESID [...] DEFA [...] PA [...] CA [...] CA [...] Tuesda [...] ursda [...] LEAVE [...].""",,,,Access to this collection is generously supported by Arcadia funds.|~|Access to this collection is generously supported by Haynes Foundation funds.,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hn7gf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hn7gf/manifest
