Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Subject,Type.genre,Type.typeOfResource,Name.subject,Coverage.geographic,Name.fashionDesigner,Coverage.spatialLongitude,Name.repository,Rights.rightsHolderContact,Name.artist,Name.architect,Name.photographer,Language,Publisher.publisherName,Name.illustrator,Rights.permission,Coverage.spatialLatitude,Relation.hasVersion,Relation.isPartOf,Name.compiler,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Rights.copyrightStatus,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Alternate Identifier.OPAC,Alternate Identifier.url,Alternate Identifier.oclc,Rights.countryCreation,Rights.servicesContact
Los Angeles Times Photographic Archive,ark:/21198/zz002cpf1d,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_3760.tif,,,,,Legislators $z United States,news photographs|~|cellulose nitrate film,still image,"Thomas, Elmer, $d 1876-1965",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_3760,"Senator J. Elmer Thomas and two others, Los Angeles, 1933","Text from negative sleeve: Thomas, Eimer J.SEN., 1933",1933,1 photograph,b&w nitrate negative,,copyrighted,1933,,,"(John William) Elmer Thomas served Oklahoma as a Representative and Senator in Congress from the 1920s to the 1950s. During the 1930s, he was most known for his influence on the New Deal's silver-buying policy.|~|Senator J. Elmer Thomas sitting on left along with two other men. The American flag is behind them, and tea is set out. There are also pieces of paper set in front of them.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cph6z,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_3823.tif,,,,,Arrivals & departures $x American $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Torchia, Ernest M., $d 1873 or 74-1935",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_3823,"Group waving from the last car on a train, Los Angeles, 1924","Text from negative sleeve: TORCHIA, E.M.  1924.",1924,1 photograph,b&w nitrate negative,,copyrighted,1924,,,"Unclear if Ernest M. Torchia is in the picture, who was an attorney that was the victim of a bombing in 1924.|~|Crowd of people waving from the last car of a train. The top of the circular sign on the train reads ""Special.""",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cph7g,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_3824.tif,,,,,Extortion $z California $z Los Angeles|~|Judicial proceedings $z California $z Los Angeles|~|Lawyers $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Torchia, Ernest M., $d 1873 or 74-1935",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_3824,"E. M. Torchia and E. T. Von Buelow, Los Angeles, 1933","Handwritten on negative: [L to R] E. M. Torchia, E. T. Von Buelow|~|Text from negative sleeve: TORCHIA, ERNEST M.",1933,1 photograph,b&w nitrate negative,,copyrighted,1933,,,E. M. Torchia most likely representing E. T. Von Buelow in an extortion case where beer salesman Von Buelow was charged of extorting polo star Eric Pedley.|~|People can be seen in chairs behind the two of them.,,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cpp29,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_3964.tif,,,,,Oil wells $z California $z Los Angeles|~|Fraud $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_3964,"Triangle Oil Syndicate, Los Angeles, 1923","Handwritten on negative: Triangle Oil Co., Triangle Oil Co.|~|Text from negative sleeve: TRIANGLE OIL CO.","July 21, 1923",1 photograph,b&w nitrate negative,,copyrighted,1923-07-21,,,"Photograph appears with article, ""TRIANGLE OIL SYNDICATE BOOKS SEIZED BY STATE: President and Secretary..."" Los Angeles Times, 21 Jul. 1923: II1.|~|Picture of a worksite for Triangle Oil Company. The Company had hundreds of thousands of dollars of unaccounted expenditures and unpaid taxes for its oil well drilling operation.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cpq18,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_3992.tif,,,,,Authors $x American,news photographs|~|cellulose nitrate film,still image,"Twain, Mark, $d 1835-1910",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_3992,"Mark Twain, Los Angeles, 1900s","Text from negative sleeve: TWAIN, MARK",[between 1900-1910],1 photograph,b&w nitrate negative,,copyrighted,1900/1910,,,Photographed picture of Mark Twain sitting by fireplace in what appears to be a study with many books.,,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq4hr,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4354.tif,,,,,Suspects (Criminal investigation) $z Canada|~|Police|~|Extradition,news photographs|~|cellulose nitrate film,still image,"Isard, Frederick|~|Vermilyea, Harold W., $d 1885-1935|~|Gardner, H. K.",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4354,"Ontario Provincial Police Inspector H.K. Gardner, murder suspect Harold W. Vermilyea, and Belleville Police Department Detective Sergeant Frederick Isard, [Los Angeles?], 1934","Text on negative sleeve: Vernon, W.T. Bishop.|~|Handwritten on negative: Harold W. Vermilyea, Haines Gardner, Fredrick A.","[October 17, 1934]",1 photograph,b&w nitrate negative,,copyrighted,1934-10-17,,,"From left to right, Inspector H.K. Gardner of the Ontario Provincial Police, murder suspect Harold W. Vermilyea, and Detective Sergeant Frederick Isard of the Belleville Police Department standing in a room with two framed photographs and stencilled borders on the walls, carpeting, curtains, and a chair. This photograph was possibly taken on October 17, 1934 when Gardner and Isard took Vermilyea from Santa Fe Station to Canada via Chicago and Detroit. Vermilyea was the suspect in the ax murder of his mother in Belleville, Ontario and had waived extradition.|~|Possibly related to the article, ""Mother Slayer Suspect Leaves on Canada Trip,"" Los Angeles Times, 18 Oct. 1934: A15.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq6vw,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4422.tif,,,,,Restaurants $z California $z Los Angeles|~|Murder $x Investigation $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4422,"Lunch room, Wagner murder case, Los Angeles, 1929","Text from negative sleeve: Wagner Murder Case, 1929",1929,1 photograph,b&w nitrate negative,,copyrighted,1929,,,"Restaurant possibly related to Wagner Murder case and possibly Chief Autopsy Surgeon Dr. Frank A. Wagner. The restaurant is right next to Wilson & Co.|~|Some signs in diner: ""KAHN-BECK CRACKERS"", ""Wilson's Boiled Ham"".",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq6wd,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4423.tif,,,,,Physicians $x American $z California $z Los Angeles,news photographs|~|cellulose nitrate film|~|Portrait photographs,still image,"Wagner, Frank A.",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4423,"Dr. Frank A. Wagner, autopsy surgeon, Los Angeles, 1929","Text from negative sleeve: Wagner Murder Case, 1929",1929,1 photograph,b&w nitrate negative,,copyrighted,1929,,,Chief Autopsy Surgeon Dr. Frank A. Wagner,,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq6xx,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4424.tif,,,,,Murder $x Investigation $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Wagner, Frank A.",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4424,"Woman related to the Frank Wagner murder case, Los Angeles, 1929","Text from negative sleeve: Wagner Murder Case, 1929",1929,1 photograph,b&w nitrate negative,,copyrighted,1929,,,Woman standing outside in front of a picket fence.,,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq6zf,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4425.tif,,,,,Restaurants $z California $z Los Angeles|~|Murder $x Investigation $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4425,"Outside of the Lunch Room cafe, Los Angeles, 1929","Text from negative sleeve: Wagner Murder Case, 1929",1929,1 photograph,b&w nitrate negative,,copyrighted,1929,,,"Four men standing outside of the Lunch Room cafe. Signs are visible on establishment that say: ""Lunch Room"" and ""Ice Cold Coca Cola Sold Here"".",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
