Project Name,Item ARK,Alternate Identifier.local,episode_title,format_size,format_type,Date.created,Date.normalized,running_time,TRT,Transfer Notes
Tom Reed's For Member's Only,ark:/21198/z12j856t,T160125,1. A Look Back 14 Years 2. Author Ellis Cose,3/4 IN.,VIDEOCASSETTE,1981-05-05,1981-05-05,,0:57:10,Titles have been corrected
,,T164234,"Black History Month: I. Houston, E. White, J. Bell and J. Harmon (Buick), Dick Gregory, EWF, Gerry Cooney",3/4 IN.,VIDEOCASSETTE,1982-02-15,1982-02-15,,0:50:07,"problematic clogging tape, Ch.1 audio on first half, ch. 2 audio on EWF interview, 10009 multiple hits, 10921 hit, 13650 tracking error recorded in, 14223, 14231 hits, very poor quality"
,,T160136,Ron O’Neal and Marla Gibbs,3/4 IN.,VIDEOCASSETTE,1982-04-19,1982-04-19,,0:44:02,"erratic audio levels, chroma phase, bad edits in show"
,,T160133,"Mr. Jim's BBQ, The Temptations, Tom Bradley, Archie Moore",3/4 IN.,VIDEOCASSETTE,1982-06-05,1982-06-05,,0:26:42,"Episode title updated, very contrasty video in parts have been corrected, stereo audio in parts"
,,T160132,Reflections on Black America,3/4 IN.,VIDEOCASSETTE,1983-02-26,1983-02-26,,0:57:31,"2 ch. mono audio, music videos are 2 ch. mono with phase splatter, 12730 tracking hit, video peaks in Roberta Flack cartoon"
,,T164240,"Rockwell, Cameo, Conan, Robert “Bumps” Blackwell",3/4 IN.,VIDEOCASSETTE,1983-06-23,1983-06-23,,0:27:17,10039 tape crease damage
,,T164238,"John T. Stevens, award winning author, Lonne Elder III, Mary Jane Girls and some excerpts from the video art piece, “Dream City” by U.S. Jenkins.",3/4 IN.,VIDEOCASSETTE,1983-08-20,1983-08-20,,0:28:12,no issues
,,T164236,"Charles Carrington, Vanity Six, Shari Belafonte-Harper, Video art by U.S. Jenkins",3/4 IN.,VIDEOCASSETTE,1983-09-24,1983-09-24,,0:28:00,"erratic audio levels, 2 ch. mono audio"
,,T164239,"Olympian Willie Banks, Los Angeles Raiders All Pro H. Lawrence",3/4 IN.,VIDEOCASSETTE,1983-12-17,1983-12-17,,0:28:22,12815 bonus clip at end of tape
,,T164292,"Black History Month. A.C. Powell, George Kirby, Adam C. Powell Jr., Ann Weldon, Vanity 6. Stevie Wonder, Haki Madhubuti. Comments and commentary ",3/4 IN.,VIDEOCASSETTE,1984-02-18,1984-02-18,01:00:00,0:57:58,"erratic video quality, heavy dropouts, low RF, tape damage, video hit 15615"
