Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prm2,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0655.tif,,,,,private,,Real estate business $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Duncan, George|~|Bruce, $c Mr.|~|Gordon, Walter L., $c Jr., $d 1908-2012|~|Gordon, Walter L. $q (Walter Lear), $c Sr., $d 1883-1949|~|Gordon, Vertner Lewis, $d 1886-1949",People,,"University of California, Los Angeles. $b Library Special Collections",,eng,,,,,,,,Collection 1867 Box 5 Folder 3,"Walter L. Gordon Co. Real Estate office, Los Angeles, March 1939",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|Handwritten note: ""My New Home."" Walter L. Gordon, Sr. March 1939.|~|L to R: George Duncan, an unidentified woman, Walter L. Gordon, Jr., Vertner Gordon, Walter L. Gordon, Sr. and Mr. Bruce (first name unknown). Taken in front of the family's real estate office, located at 4065 Central Avenue.",YRLSC_gordonphotos_0655,,1939-03,"March, 1939",1 photograph : b&w,California--Los Angeles,,34.00952747927115,-118.25659990310669,,,My new home,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prnk,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0656.tif,,,,,private,,Secretaries $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Foppe, Melba|~|Ware, Florita",Business,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 5 Folder 3,"Reception room at Walter L. Gordon, Jr.'s office, Los Angeles, 1945",,"The woman seated at the back of the office is Melba Foppe, and the other woman is Florita Ware. The man in the office is unidentified.|~|All information concerning the content and description of the image was provided by Walter Gordon.|~|Walter L. Gordon's busy legal office was located at 4104 S. Central Ave. in Los Angeles.",656|~|YRLSC_gordonphotos_0656,,1945,1945,1 photograph : b&w,California--Los Angeles,,34.0092507,-118.2564814,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prp3,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0657.tif,,,,,private,,African American lawyers--California--Los Angeles|~|Vibraphonists--United States|~|African American jazz musicians,still image,copyrighted,unknown,Black-and-white photographs,"Gordon, Walter L., $c Jr., $d 1908-2012|~|Hampton, Lionel|~|Orpheum Theatre (Los Angeles, Calif.)",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 5 Folder 3,"Lionel Hampton and Walter L. Gordon, Jr. backstage at the Orpheum Theatre, Los Angeles, 1940s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|L to R: Lionel Hampton with Walter L. Gordon, Jr. backstage at the Orpheum Theatre in Los Angeles.",YRLSC_gordonphotos_0657,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,34.0426015,-118.2556008,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prqm,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0658.tif,,,,,private,,African American lawyers--California--Los Angeles|~|African American jazz musicians|~|African American physicians $z Louisiana $z Shreveport,still image,copyrighted,unknown,Black-and-white photographs,"Haddox, Theresa, $d 1907-1978|~|Gordon, Walter L., $c Jr., $d 1908-2012|~|Plantation Club (Los Angeles, Calif.)|~|Davis, Lola|~|Drew, Charles, $d 1904-1950|~|Hampton, Lionel|~|Haddox, Mye, $d 1896-1966|~|Davis, Hubert",Entertainment|~|Lifestyle,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 4 Folder 2,"Group out at Fatty Arbuckle's Plantation Club, late 1940s",,"L to R: Hubert Davis, Dr. Mye Haddox, Dr. Charles Drew, Lionel Hampton, Walter L. Gordon, Jr., Theresa Haddox, and Lola Davis.|~|All information concerning the content and description of the image was provided by Walter Gordon.|~|Likely taken at Fatty Arbuckle's Plantation Club, in the 11700 block of Washington Blvd. in Culver City.",658|~|YRLSC_gordonphotos_0658,"Theresa Haddox was the wife of Mye Haddox.|~|Lionel Hampton was an African American jazz musician and bandleader.|~|Charles Drew was an African American physician and surgeon who performed valuable medical research that improved the practice of blood transfusions and the storage of blood, allowing for the development of large-scale blood banks during World War II.|~|Walter L. Gordon, Jr. was an African American attorney in Los Angeles.",1945/1950,[late 1940s?],1 photograph : b&w,California--Los Angeles,,33.9997709,-118.4179541,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prr4,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0659.tif,,,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,"Strickland, Charlotte West",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 4 Folder 1,"Charlotte Strickland, Los Angeles, 1950s",,All information concerning the content and description of the image was provided by Walter Gordon.,659|~|YRLSC_gordonphotos_0659,Charlotte (West) Strickland was the wife of Dr. Strickland of Philadelphia (possibly Wilbur H. Strickland?).,1950/1959,[1950s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prsn,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0660.tif,,,,,private,,African American women journalists $z California $z Los Angeles|~|African American dancers $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Johnson, Mae, $d 1916-1999|~|Key, Alyce, $d 1911-2010",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 6 Folder 1,"Mae Johnson and Alyce Key, Los Angeles, 1940s",,Alyce Key is in foreground; Mae Johnson is behind her.|~|All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0660,"Alyce Key was a Los Angeles dancer turned journalist.|~|Mae Johnson was a showgirl, dancer, singer and actress who was well known in the black entertainment world in the 1930s and 1940s. Her career began with nightclub performances  in New York. She had the staring role in the film ""Keep Punching."" On the west coast she appeared in a few Hollywood films that had black musical numbers, giving a memorable performance in Lena Horne's ""Stormy Weather."" She recorded some songs with Austin McCoy and co-starred in the hit play ""Two in a bed"" with Louise Beavers.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prt5,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0661.tif,,,,,private,,African American dancers,still image,copyrighted,unknown,Black-and-white photographs,"Ramseur, Juanita Boisseau, $d 1911-1995",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 6 Folder 1,"Juanita Boisseau, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0661,"Juanita Boisseau danced at the Cotton Club in New York City, working with musicians such as Duke Ellington and Louis Armstrong.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prvp,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0662.tif,,,,,private,,African American models $z California $z Los Angeles|~|African American dancers $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Spencer, Prince|~|Schwentner, Angelle DeLavallade, $d 1920-2008 ",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 4 Folder 1,"Dancer Prince Spencer and Angelle DeLavallade, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.|~|The woman on the left is unidentified (caption possibly identifies her as Mable Scott?). Tap dancer Prince Spencer is in the middle. The woman on the right is Angelle DeLavallade.,662|~|YRLSC_gordonphotos_0662,"Angelle DeLavallade, the niece of Angelique DeLavallade, was a model. She had a brief career in the entertainment business. She had a two-year marriage with Dr. Edward W. Stratton.|~|Prince Spencer was a well known tap dancer with the Four Step Brothers.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prw6,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0663.tif,,,,,private,,Motion picture actors and actresses--United States,still image,copyrighted,unknown,Black-and-white photographs,"Robinson, Edward G., $d 1893-1973",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,Ted's Photos (Firm),,,,,,,Collection 1867 Box 6 Folder 1,"Edward G. Robinson in a crowd, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.|~|Photograph likely taken by Ted's Photos.,663|~|YRLSC_gordonphotos_0663,Edward G. Robinson was a film actor.,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,,failed,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025prxq,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0664.tif,,,,,private,,African American journalists $z California $z Los Angeles|~|African American dancers $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Jackson, Vivian, $d b. 1916 or 17|~|Key, Alyce, $d 1911-2010|~|Sissle, Ethel|~|LaMar, Lawrence F,. $d 1898-1973|~|Gordon, Walter L., $c Jr., $d 1908-2012|~|Martina, Betty, $d 1919-1969",Entertainment|~|Lifestyle,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 6 Folder 1,"Audience at a performance of the film Sweet and Hot, Los Angeles, circa 1942",,"In the center foreground is Lawrence LaMar, in profile. To the right, facing the camera is wife Betty Martina. Directly behind Martina is Ethel (Sissle) Gordon, in a fur coat. In the center of the photograph, wearing a white hat, is Vivian Jackson. In the left foreground, wearing a fur coat, is Alyce Key, with Walter Gordon, Jr. just to the left with his back turned to the camera.|~|All information concerning the content and description of the image was provided by Walter Gordon.|~|Image no. 21198/zz0025ps3s  shows the same event.|~|Sweet and Hot is an RKO picture, released in 1942.",664|~|YRLSC_gordonphotos_0664,"Vivian Jackson was married to Eddie Jackson, a member The Charioteers, an American gospel and pop vocal group from 1930 to 1957.|~|Betty Martina, dancer, teacher and choreographer, was the director of the Betty Martina dance studio, specializing in Spanish-Moroccan dance. She was also  the wife of journalist Lawrence LaMar.|~|Lawrence F. LaMar was a film critic who was published in several newspapers including the Los Angeles Sentinel, the California Eagle and the Los Angeles Times. He had a column titled Through the Keyhole, and he is quoted in several publications on film.|~|Alice Key was a showgirl who later became a journalist, community activist, and political leader.|~|Ethel Sissle (1915-1984) was maried to the band leader Noble Sissle, and later to Walter L. Gordon, Jr.|~|Walter L. Gordon, Jr. was an African American attorney in Los Angeles.",1942,[circa 1942],1 photograph : b&w,California--Los Angeles,,,,,,,,,,failed,
