Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz002311rn,,2,Completed,Collection,,,,,,private,,,still image,,,Black-and-white photographs|~|color photographs|~|clippings (information artifacts),"Gordon, Walter L., $c Jr., $d 1908-2012","Gordon, Walter L., 1908---Photographs.|~|African Americans--California--Los Angeles--Photographs.|~|Los Angeles (Calif.)--History--20th century--Photographs.|~|Los Angeles (Calif.)--Social life and customs--Photographs.",,"University of California, Los Angeles. $b Library Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",eng|~|zxx,,"Beverly, William C., $c Jr.|~|Gordon, Walter L., $c Jr., $d 1908-2012",,Los Angeles (Calif.) $x History $y 20th century.|~|Los Angeles (Calif.) $x Social life and customs.,,,,Collection 2270 ,"Walter L. Gordon, Jr./William C. Beverly, Jr. Collection","The approximately 800 photographs in this collection represent the lifelong interest of Los Angeles African American attorney, Walter L. Gordon, in documenting little known aspects of African American history and culture through the first half the 20th century. Los Angeles and the legal profession were plagued by racial discrimination, but these photographs display a range of people, places and institutions who successfully defied society’s limited expectations. Materials include photographs given to Mr. Gordon by California Eagle newspaper publisher Charlotta Bass;  photos Mr. Gordon collected of images of black resorts such as Val Verde; well-known political figures;  sophisticated night life and social club functions; performing artists such as Count Basie, Louis Armstrong and Billie Holiday. Mr. Gordon established his law practice in 1936; he retired in 2004, after nearly seventy years practicing law. In 2002, the entire collection was given to William C. Beverly, Jr., who loaned them to Eighth & Wall (an organization promoting the preservation of the history of the African American community of Los Angeles). In 2010, the collection was donated to UCLA. More information about Eighth & Wall is available here: http://www.eighthandwall.org|~|All information concerning the content and description of the image was provided by Walter Gordon.","Collection of approximately 800 digitized photographs and other items collected by Walter L. Gordon, Jr. and given to William C. Beverly, Jr., who donated the collection to UCLA. Collection includes photos given to Walter by his former boss, Charlotta Bass, publisher of the California Eagle, as well as other photos he collected. Photos largely depict African American social life and family life in 1940s Los Angeles and feature celebrities, athletes, politicians, lawyers, and other notable people of the era. ",,,1940/1949,1940s,photographs,California--Los Angeles,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6776673,https://oac.cdlib.org/findaid/ark:/13030/c8qr51fr/
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p0x3,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0001.tif,1,,,,private,,Parties $z California $z Los Angeles|~|African American lawyers $z Massachusetts $z Boston,still image,copyrighted,unknown,Black-and-white photographs,"Rainey, Julian D. $q (Julian David), $d 1888-1961",Lifestyle|~|People,,"University of California, Los Angeles. $b Library Special Collections",,eng,,,,,,,,Collection 1867 Box 1 Folder 1,"Julian Rainey with a couple at a party, Los Angeles, early 1950s",,"Julian Rainey (left) visited Walter Gordon in Los Angeles, where this photograph was taken. This photograph was taken at a formal party. The couple [in the photo] knew him [Mr. Rainey] in Boston.|~|All information concerning the content and description of the image was provided by Walter Gordon.",001|~|YRLSC_gordonphotos_0001,Julian Rainey was the first black lawyer to join the legal staff of the city of Boston. Walter Gordon met him while seeking admission to Harvard. He had a Boston accent and acted like a Boston Irishman.,1950/1955,[between 1950 and 1955?],1 photograph : b&w,California--Los Angeles,"Julian Rainey, Boston, Mass., Lawyer.",,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p0zm,ark:/21198/zz002311rn,2,Completed,Work,,2,,,,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p0zm%2F3c06m90v,Sheriffs--California--Los Angeles County|~|Vibraphonists--United States|~|African American jazz musicians,still image,copyrighted,unknown,Black-and-white photographs,"Biscailuz, Eugene W., $d 1883-1969|~|Hampton, Lionel",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Merriman, Ted",,,,,,,Collection 1867 Box 1 Folder 1,"Eugene Biscailuz talking to Lionel Hampton, Los Angeles, 1940s",,"L to R: Eugene Biscailuz, Lionel Hampton|~|All information concerning the content and description of the image was provided by Walter Gordon.",002|~|YRLSC_gordonphotos_0002,"Eugene Biscailuz was a perennial sheriff year after year in Los Angeles county. He was a very popular person. He rode down the street on a beautiful white horse; he raised horses. He had a son, too, who went into politics.|~|Lionel Leo Hampton was an American jazz vibraphonist, pianist, percussionist, bandleader and actor.",1940/1949,[between 1940 and 1949?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p10m,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0003.tif,3,,,,private,,Public prosecutors $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Howser, Fred N., $d 1905-1987",People|~|Legal,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"District Attorney Fred N. Howser, Los Angeles, 1940s.",,All information concerning the content and description of the image was provided by Walter Gordon.,003|~|YRLSC_gordonphotos_0003,Fred N. Howser was District Attorney in Los Angeles from 1943-1946.,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p114,ark:/21198/zz002311rn,2,Completed,Work,,4,,,,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p114%2F2h76hs1j,African American physicians--California--Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Coleman, John Charles, $d 1906-1989",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"John Coleman, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,4|~|YRLSC_gordonphotos_0004,Dr. John Coleman was a prominent dentist and a member of the Grand Boule Sigma Pi Phi and Alpha Phi Alpha fraternities.,,[1940s?',1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p12n,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0005.tif,5,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,DUP to 448,,All information concerning the content and description of the image was provided by Walter Gordon.,005|~|YRLSC_gordonphotos_0005,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p135,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0006.tif,6,,,,private,,Parties $z California $z Los Angeles|~|African American politicians $z Illinois $z Chicago|~|City council members $z Illinois $z Chicago,still image,copyrighted,unknown,Black-and-white photographs,"George, Arthur|~|Harbin, Suzette|~|Griffin, L'Tanya, $d 1919-1996|~|Hawkins, Judith|~|Holman, Claude W. B.|~|George, Arthur, $c Mrs.|~|Birch, Joe",Entertainment|~|Lifestyle,Parties $z California $z Los Angeles,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Group of seven partygoers, Los Angeles, 1940s",,"A group at a party in Los Angeles. From left to right: Judith Hawkins, Joe Birch, LaTanya Griffin, Claude Holman, Suzette Harbin, Mrs. Arthur George and Arthur George.",006|~|YRLSC_gordonphotos_0006,"LaTanya Griffin (or ""L'Tanya,"" or ""L'Tanya Martinique"") was a society woman, a model and a fashion designer. In her early twenties, she was awarded a contract by the Guild Studios to design gowns for Ida Lapino.  She was contracted to with the Edward D. Wood Production company to design gowns for 20 of its films in 1954, making her the first African American designer to have a contract with a Hollywood film studio. She and Earl Griffin divorced in 1949.|~|Suzette Harbin was an actress and the wife of one of Duke Ellington's orchestra members.|~|Judith Hawkins was an intellectual from Buffalo.|~|Claude Holman was an alderman in Chicago.|~|Author George ran a big lottery machine in Buffalo; retired because of the mob taking over.",1940/1949,[between 1940 and 1949?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p14p,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0007.tif,7,,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,"Sissle, Ethel",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Ethel (Sissle) Gordon, Los Angeles, 1940s",,"Photograph of Ethel (Sissle) Gordon taken during the time she was married to Walter L. Gordon, Jr.|~|All information concerning the content and description of the image was provided by Walter Gordon.|~|Ethel Sissle (1915-1984) was maried to the band leader Noble Sissle, and later to Walter L. Gordon, Jr.",YRLSC_gordonphotos_0007,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p156,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,gordo/image/yrlsc_gordonphotos_0008.tif,8,,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,"Broady, Earl C., $d 1904-1992|~|Broady, Maude Mead, $d 1905-1964|~|Williams, Ouida|~|Fowler, Jefferson D. $q (Jefferson Davis), $d 1898-1969|~|Goodloe, Juanita Anne Jones, $d 1915-2016",Entertainment|~|Lifestyle|~|Culture,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Old-timers who made good, Los Angeles, 1940s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|Jefferson Fowler is in the first row, 1st from the left. Maude Broady is also in the first row, 3rd from the left. Her husband, Earl Broady (in light-colored suit), is 3rd from the right in the first row. Ouida Williams (in light-colored hat) is 1st from the right in the second row. Juanita Goodloe (2nd from the right) is standing next to Ouida Williams. Although Dorothea Towles' name is handwritten on the image, she does not appear to be in the photo.|~|Earl C. Brody was an attorney, and then a Superior Court Judge of the State of California.",008|~|YRLSC_gordonphotos_0008,"Juanita Goodloe was the wife of Dr. William A. Goodloe. She was an ex-chorus girl with Ethel Sissle Gordon, Walter L. Gordon, Jr.'s wife.|~|Jefferson D. Fowler was a physician and surgeon.|~|Ouida Williams was the wife of attorney David W. Williams, who became the first African American judge west of the Mississippi.|~|Maude Broady was the wife of Earl C. Broady",,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p16q,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0009.tif,9,,,,private,,African American women $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Honoré, Beulah, $d 1908-1985|~|McCullough, Liz|~|Scott, Mabel|~|Gibson-Penland, Gertrude, $d 1923-1999|~|King, Leontyne, $d 1905-1976|~|Ball, Hariett",Culture,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Group of ""well-behaved women,"" Los Angeles, 1940s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|A group of well-behaved women; nice, serious girls. Back far left: Gertrude Gipson-Penland. Back second from left: Leontyne King. Back third from left: Beulah Honoré. Second row, second from left (closed-mouth smile): unknown (real estate agent). Second row, fifth from left (young woman under the lamp): Elizabeth McCullough. Front far right: Mabel Scott. Harriet Ball (front row, center in dark dress and dark hat).",009|~|YRLSC_gordonphotos_0009,"Gertrude Gipson Penland was an  syndicated columnist, editor, nightclub owner, publicist, and civil rights activist. She was a columnist and entertainment editor for the California Eagle and, then, for the Los Angeles Sentinel.|~|Leontyne King and her husband, Celestus A. King, were influential members of African American society from the 1940s to the 1970s. She was active in a number of business, governmental, religious, and community activities. She was a three-term member of the Los Angeles Public Library Commission, where she worked to get more jobs for black librarians. After being named to the Los Angeles Sentinel's list of best-dressed women for many years, she was retired to their ""Hall of Fame.""|~|Mabel Bernice Scott was an American gospel music and R&B vocalist. She arrived on the West Coast blues scene in 1942. Mabel is most remembered for her 1948 hits ""Elevator Boogie"" and ""Boogie Woogie Santa Claus.""|~|Liz McCullough was a woman who came came to Los Angeles to visit her boyfriend (he had moved from Chicago to L.A. to start a tombstone business).|~|Beulah Honore, a former dancer with the Regalettes in Chicago, and also an interior designer and milliner, was married to Gideon Honore, a member of Duke Ellington's orchestra.",1940/1949,[between 1940 and 1949?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
