Object Type,Parent ARK,Item ARK,Title,Item Status ID,Item Status,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Access URL,IIIF Range,Rights.copyrightStatus,Rights.servicesContact,Language,Rights.publicationStatus,Name.repository,Subject.conceptTopic,Name.contributor,Type.genre,Date.creation,Date.normalized,AltTitle.uniform,OPAC URL,Format.extent,Relation.isPartOf,IIIF Manifest URL
Collection,,ark:/21198/zz0028tdsv,Acción Socialista (La) : Periódico sindicalista revolucionario,2,Completed,,,,,text,,,,,,pd,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",spa,published,"University of California, Los Angeles. $b Library Special Collections",Socialism $z Argentina $v Periodicals|~|Working class $z Argentina $v Periodicals|~|Labor unions $z Argentina $v Periodicals,Unión General de Trabajadores (Argentina)|~|Federación Obrera Regional Argentina,newspapers,"1, no.11 (11 ene 1905) - no.12 (21 ene 1905); no.17 (16 abr 1906); 2, no.22 (1 jul 1906) - no.38 (1 mar 1907); no.42 (1 may 1907) - no.43 (16 may 1907); 5, no.111 (12 feb 1910) - no.112 (19 feb 1910); no.118 (18 abr 1910); no.128 (30 ago 1910).",1900/9999,"Acción Socialista, La (Buenos Aires)",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4431495,v.,"Latin American Newspapers: Socialist, Anarchist, Communist|~|Collection of Newspapers Published by Latin American Labor Movements (Collection 1425).",https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0028tdsv
Collection,,ark:/21198/z1m05mg3,Collection of Newspapers Published by Latin American Labor Movements (Collection 1425),2,Completed,,,,,text,,,,,,pd,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",spa,published,"University of California, Los Angeles. $b Library Special Collections",Socialism $z Argentina $v Periodicals|~|Working class $z Argentina $v Periodicals|~|Labor unions $z Argentina $v Periodicals,,newspapers,,,,,v.,"Latin American Newspapers: Socialist, Anarchist, Communist",https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1m05mg3
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028tkc2,"Año 1, número 11. 11 enero 1905",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028tkdk,,pd,,spa,published,,,,newspapers,11 enero 1905,1905-01-11,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028tkc2/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v5vz,"Año 1, número 12. 21 enero 1905",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v5wg,,pd,,spa,published,,,,newspapers,21 enero 1905,1905-01-21,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v5vz/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v611,"Año 1, número 17. 16 abril 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v62j,,pd,,spa,published,,,,newspapers,16 abril 1906,1906-04-16,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v611/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v66m,"Año 2, número 22. 1 julio 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v674,,pd,,spa,published,,,,newspapers,1 julio 1906,1906-07-01,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v66m/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v6c6,"Año 2, número 23. 16 julio 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v6dq,,pd,,spa,published,,,,newspapers,16 julio 1906,1906-07-16,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v6c6/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v6js,"Año 2, número 24. 1 augusto 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v6k9,,pd,,spa,published,,,,newspapers,1 augusto 1906,1906-08-01,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v6js/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v6qc,"Año 2, número 25. 16 augusto 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v6rw,,pd,,spa,published,,,,newspapers,16 augusto 1906,1906-08-16,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v6qc/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v6wz,"Año 2, número 26. 1 septiembre 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v6xg,,pd,,spa,published,,,,newspapers,1 septiembre 1906,1906-09-01,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v6wz/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v721,"Año 2, número 27. 16 septiembre 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v73j,,pd,,spa,published,,,,newspapers,16 septiembre 1906,1906-09-16,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v721/manifest
Work,ark:/21198/zz0028tdsv|~|ark:/21198/z1m05mg3,ark:/21198/zz0028v79n,"Año 2, número 28. 1 octubre 1906",10,Completed with minimal metadata,,,,,text,paged,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028v7b5,,pd,,spa,published,,,,newspapers,1 octubre 1906,1906-10-01,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028v79n/manifest
