Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Language,Title,Description.abstract,Description.note,Publisher.placeOfOrigin,Date,Source,Relation.isPartOf,Relation.reproducedIn,Format.dimensions,Relation.describedIn,Relation.isVersionOf,Date.creation,AltTitle.descriptive,AltTitle.other,Format.extent,Date.normalized,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Index of Medieval Medical Images,ark:/21198/zz00010479,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f64.tif,1,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Acanthaceae|~|Lamiaceae",still image,illuminated manuscripts,pd,,,,Achantum. Salvia sive elilifatos.,"Two plants, top plant, ""achantum"" (family Acanthaceae), probably Acanthus mollis, Artist's Acanthus, with a thick stem, and five large, oblong, multi-lobed leaves radiating from its top.  Bottom plant, ""helilifatos sive salvia"" (family Lamiaceae) probably Salvia officinalis, Common Sage, Garden Sage, a slender branched stem, bearing many nearly round, slightly ovate leaves.  (Cf. Riddle, J.M. ""Pseudo-Dioscorides"" in Journal of the history of biology, v.14, no.1 (Spring 1981), p. 73.)","Lombardy, ca. 1400.|~|Rubricated text to the left of upper image: iii nomen herbe achantum.|~|Rubricated caption surrounding lower image: herbe salvia sive elilifatos.|~|Rubricated text immediately following lower image (on fol. 64v): iiii nomen herbe helilifatos sive salvia.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [64],Pseudo-Dioscorides. De herbis femininis.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00010479,
Index of Medieval Medical Images,ark:/21198/zz0001051p,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f75v.tif,2,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Compositae|~|Ranunculaceae|~|Flowers",still image,illuminated manuscripts,pd,,,,Achillea. Stafisagria.,"Two plants.  Top plant, stylized, ""achillea"" probably (family Compositae, Anthemis tribe) Achillea millefolium, spp. (Common Yarrow, Millefoil) has a spindle root which extends up into a circular rosette of leaves portrayed as if solidified into a round green plate and seen from above. Extending from the circle are nine flower buds with very short stems.  Bottom plant, ""stafisagria"" (family Ranunculaceae), perhaps Delphinium staphisagria, Lice bane, Lousewort, Palmated larkspur, with open five-petaled flowers and ovate-acuminate flower buds borne on three stems arising from a spindle-like root. No leaves. (Cf. Riddle, J.M. ""Pseudo-Dioscorides"" in Journal of the history of biology, v.14, no.1 (Spring 1981), p. 78.)","Lombardy, ca. 1400.|~|Rubricated text to the left of upper image: xxxvii nomen herbe achillea.|~|Rubricated caption to the left of lower image: nomen herbe  stafisagria.|~|Rubricated text immediately following lower image (on fol. 76): xxxviii nomen herbe predicte stafisagria.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [75v],Pseudo-Dioscorides. De herbis femininis.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001051p,
Index of Medieval Medical Images,ark:/21198/zz0001017v,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f19v.tif,3,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Rosaceae|~|Flowers",still image,illuminated manuscripts,pd,,,,Agrimonia.,"One plant, at top, ""agrimonia"" (family Rosaceae), probably Agrimonia eupatoria (Agrimony), athough the name often refers to (family Papaveraceae) Papaver Argemone, Wind-Rose, a slender stem bears alternating odd-pinnate compound leaves with elliptical serrate leaflets showing colored veins and terminates in a half-open flower bud.  (Cf. Corpus medicorum Latinorum, v. 4, p. 73-74.)  Adjacent text: Herbarium Apuleii.","Lombardy, ca. 1400.|~|Rubricated text to the left of image: Xxxii nomen herbe agrimonia vel argemonia...prima cura eius ad oculorum vitia vel dolores.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [19v],"Apuleius, Barbarus. Herbarium.",,images 270 x 210 mm.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001017v,
Index of Medieval Medical Images,ark:/21198/zz000105n0,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f84.tif,4,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Primulaceae|~|Plants, Medicinal|~|Flowers",still image,illuminated manuscripts,pd,,,,Anagallis.,"Plant, ""anagallis"" (family Primulaceae), probably Anagallis arvensis, Common pimpernel, Scarlet pimpernel, Poor-man's-weather glass, Shepherd's-clock, few details, extremely stylized, bears narrow elliptical-acuminate opposite  light blue-green leaves, and apparently helical flowers with dark yellow centers.  (Cf. Riddle, J.M. ""Pseudo-Dioscorides"" in Journal of the history of biology, v.14, no.1 (Spring 1981), p. 81.)","Lombardy, ca. 1400.|~|Rubricated text to the left of image: Lxii nomen herbe anagallis.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [84],Pseudo-Dioscorides. De herbis femininis.,,image 115 x 125 mm.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000105n0,
Index of Medieval Medical Images,ark:/21198/zz000105mg,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f83v.tif,5,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Rosaceae|~|Roots (Botany)|~|Boraginaceae|~|Berries",still image,illuminated manuscripts,pd,,,,Ancusa. Zinzibur.,"Two plants.  Top plant, ""ancusa"" (family Boraginaceae), probably Anchusa tinctoria, or A. officinalis, has long thin lanceolate light blue-green leaves, in a vertical basal cluster over a very thick spindle-like light brown root. Bottom plant, ""zinzibum"" (family Rosaceae), probably Rosa canina, Dog rose, Briar rose, Dog brier, bears medium-shaped ovate alternating light blue-green leaves and light brown round berries on five erect radiating stems over a slender light rown root.  (Cf. Riddle, J.M. ""Pseudo-Dioscorides"" in Journal of the history of biology, v.14, no.1 (Spring 1981), p. 81.)","Lombardy, ca. 1400.|~|Rubricated text to the left of upper image: lx nomen herbe ancusa.|~|Rubricated caption to the left of lower image: Lxi nomen herbe zinzibum.|~|Rubricated text immediately following lower image (on fol. 84): Latini zinzibum agreste vocant predictam herbam.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [83v],Pseudo-Dioscorides. De herbis femininis.,,image 210 x 175 mm.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000105mg,
Index of Medieval Medical Images,ark:/21198/zz000104qj,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f71.tif,6,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Scrophulariaceae|~|Flowers",still image,illuminated manuscripts,pd,,,,Anthitenon. Brittonica sive damosanios.,"Two plants; top plant, ""antithenon"" (family Scrophulariaceae), probably Antirrhinum majus, Common snapdragon, Garden snapdragon, bearing tapering undulate subulate leaves on five stems, the middle three stems supporting stylized ""t"" shaped inflorescences.  Bottom plant, ""brittonica sive damosanios"" (family Scrophulariaceae), probably Veronica Chamaedrys, Germander speedwell, Angel's-eye, Bird's-eye, bears pointed narrow elliptical leaves on a vertical stem terminating in three rounded inflorescences and smaller axial ones below.  (Cf. Riddle, J.M. ""Pseudo-Dioscorides"" in Journal of the history of biology, v.14, no.1 (Spring 1981), p. 75-76.)","Lombardy, ca. 1400.|~|Rubricated text surrounding upper image: xxiii nomen herbe anthitenon et canis caput et cinocephalum dicitur.|~|Rubricated text to the left of lower image: xxiiii nomen herbe brittonica sive damosanios.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [71],Pseudo-Dioscorides. De herbis femininis.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000104qj,
Index of Medieval Medical Images,ark:/21198/zz0001031q,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f45.tif,7,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Trees|~|Plants, Medicinal|~|Umbelliferae|~|Araliaceae",still image,illuminated manuscripts,pd,,,,Apium. Crisocantis.,"Two plants: top plant, ""apium,"" (family Umbelliferae), probably Apium graveolens, (Celery), bears odd-pinnate compound leaves with dentate leaflets on a central stem. Bottom plant, ""crisocantis,"" (family Araliaceae), probably the mature flowering form of Hedera helix or perhaps H. colchica, (Ivy ""tree""), bears obovate leaves and has brown berries on three branches; on major stem.  (Cf. Corpus medicorum Latinorum, v. 4, p. 205-206.)  Adjacent text: Herbarium Apuleii.","Lombardy, ca. 1400.|~|Rubricated text to the left of upper image: cxviii nomen herbe apium. A grecis dicitur selynon...prima cura eius ad epiforas.|~|Rubricated text to the left of lower image: cxix nomen herbe crisocantis...prima eius cura ad ydropicos.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [45],"Apuleius, Barbarus. Herbarium.",,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001031q,
Index of Medieval Medical Images,ark:/21198/zz000105s2,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f86.tif,8,,,,,,,,"Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Rubiaceae",still image,illuminated manuscripts,pd,,,,Appariane sive silantropos.,"Plant, ""appariane sive silantropos"" (family Rubiaceae), probably Galium aparine, Airess, Aparine, Beggar('s)-lice, with long thin leaves in whorls borne on two light blue-green stems shaded in gray.  (Cf. Riddle, J.M. ""Pseudo-Dioscorides"" in Journal of the history of biology, v.14, no.1 (Spring 1981), p. 81.)","Lombardy, ca. 1400.|~|Rubricated text surrounding image: lxx nomen herbe appariane sive silantropos.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [86],Pseudo-Dioscorides. De herbis femininis.,,image 110 x 140 mm.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000105s2,
Index of Medieval Medical Images,ark:/21198/zz000104fd,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f67.tif,9,,,,,,,,"Aristolochiaceae|~|Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Climbing Plants",still image,illuminated manuscripts,pd,,,,Aristolochia rotunda.,"Plant, ""aristolochia rotunda"" (family Aristolochiaceae), probably Aristolochia sp., Birthwort, a vine shaped like a wide reverse ""s"" bearing alternate triangular leaves on long petioles.  (Cf. Riddle, J.M. ""Pseudo-Dioscorides"" in Journal of the history of biology, v.14, no.1 (Spring 1981), p. 74.)","Lombardy, ca. 1400.|~|Rubricated text immediately below image: xii nomen herbe Aristolochia rotunda.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [67],Pseudo-Dioscorides. De herbis femininis.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000104fd,
Index of Medieval Medical Images,ark:/21198/zz000100z7,ark:/21198/zz000100hh,2,Completed,Page,immi/masters/ym18f15v.tif,10,,,,,,,,"Aristolochiaceae|~|Herbal illustrations - Italy - Lombardy - 1400|~|Plants, Medicinal|~|Roots (Botany)|~|Climbing Plants",still image,illuminated manuscripts,pd,,,,Aristologia longa.,"One plant, center, ""aristologia longa"" (family Aristolochiaceae) probably Aristolochia altissima or A. sempervirens (Birthwort) bears alternating blue-green shaded, dark olive green cordate leaves on two radiating vining stems and round tapering buds borne axially above an elliptical reddish-brown root.  (Cf. Corpus medicorum Latinorum, v. 4, p. 56-57.)  Adjacent text: Herbarium Apuleii.","Lombardy, ca. 1400.|~|Rubricated caption to the left of image: Nomen herbe aristologia longa et est mascula.|~|Rubricated text immediately following image (on fol. 16): Xx nomen herbe aristolochie ... prima cura eius ad vim veneri.",Italy-Lombardy,1400,Yale Medical Library. Manuscript. 18 [Herbarium Apuleii and other works]. [ca. 1400] MS 18 fol. [15v],"Apuleius, Barbarus. Herbarium.",,image 100 x 155 mm.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000100z7,
