Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Language,Title,Description.abstract,Description.note,Publisher.placeOfOrigin,Date,Source,Relation.isPartOf,Relation.reproducedIn,Format.dimensions,Relation.describedIn,Relation.isVersionOf,Date.creation,AltTitle.descriptive,AltTitle.other,Format.extent,Date.normalized,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Index of Medieval Medical Images,ark:/21198/zz0000zz6h,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f60.tif,1,,,,,,,,"Plants, Medicinal|~|Compositae|~|Herbal illustrations - Italy - 1500|~|Boraginaceae|~|Herbs|~|Flowers",still image,illuminated manuscripts,pd,,,,Abruotano. Buglossa vel lingua bovina vel lingua bovis.,"Two plants: Plant, top, ""Abruotano"" (family Compositae, Anthemis tribe) Artemisia abrotanum, Southernwood, straight, radiating stems bearing finely divided pinnate leaves, three terminating in round flower buds, all arising almost directly from spreading roots, green with white roots and white buds. Plant, bottom, ""Buglossa"" (family Boraginaceae), probably Anchusa officinalis, Garden Bugloss, Common Alkanet, bears large basal leaves with ciliated edges, and a flowering stem arising from the center dividing into three, each bearing stipules and flowers, green with blue flowers.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 60,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zz6h,
Index of Medieval Medical Images,ark:/21198/zz0000zzwv,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f81.tif,2,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Roots (Botany)|~|Herbs",still image,illuminated manuscripts,pd,,,,Acasacas vel galionias. Raucha dagona.,"Two plants: Plant, top, ""Acasacas"" growing directly from a long rhizome, a cluster of thick linear leaves slanted to the l., then curving to the r., bearing two flowers, green with brown root and white flowers. Plant, bottom, ""Raucha dagona"" a central vertical stem with one tier of leaves, one tier of 4-petalled flowers, and a terminal bud, green with white flowers and brown roots. Filaments emerge from between petals of flowers.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 81,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zzwv,
Index of Medieval Medical Images,ark:/21198/zz0000zw72,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f130.tif,3,,,,,,,,"Solanaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Alihecangji vel solagio rosso.,"One plant, stylized, center, ""Alihecangji vel solagio"" (family Solanaceae) Physalis alkekengi, Winter Cherry, five nearly straight, radiating stems emerging from a short base, bearing alternate ovate to lanceolate leaves and seed pods, green with red markings on seed pods. Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 130,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw72,
Index of Medieval Medical Images,ark:/21198/zz0000zwsb,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f18.tif,4,,,,,,,,"Zingiberaceae|~|Verbenaceae|~|Cities and towns, Medieval|~|Plants, Medicinal|~|Male nude|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Ammomom. Erba chocchogilia pulana vel columbarias.,"Two plants: Plant, top, ""Ammomon,"" perhaps (family Zingiberaceae) Elletaria cardamomum, formerly Amomum cardamomum, Lesser Cardamom, no pronounced central stem, four side branches, green. Plant, bottom, ""Chocchogilia pulana"" perhaps (family Verbenaceae) Verbena officinalis, three straight, radiating stems, green, emerging from a thick, possibly tuberous root mass.  Each stem bears alternating leaves, each in a curved fan-shape.  Bird-shaped figures, perhaps representing flowers, emerge from each leaf axil.  Figure associated with plant, ""Chocchogilia pulana Vel Cololumbarias"":  Nude man sitting on a stool, facing l. in profile, r. hand raised and holding a cup.  In the distance, l., lies a fortified city. Adjacent text: Italian herbal.","(Italy), ca. 1500.|~|Caption to r. of first image: Giove.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 18,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwsb,
Index of Medieval Medical Images,ark:/21198/zz0000zzk6,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f73.tif,5,,,,,,,,"Plants, Medicinal|~|Bulbs (Botany)|~|Herbal illustrations - Italy - 1500|~|Roots (Botany)|~|Herbs",still image,illuminated manuscripts,pd,,,,Angales. Istromitia.,"Two plants: Plant, top, comparable to ""Angalos"" on fol. 86 of this ms., ""Angales"" rises from a strange disc-like substructure and bears large acuminate basal radiating leaves and two rising peduncles bearing single flower heads, green with one white flower, one red flower, and red base. Plant, bottom, ""Istromitia""  an unbranched vertical stem with small side branches each bearing a flower, growing out of a thick rhizome, green with red terminals and brown roots.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 73,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zzk6,
Index of Medieval Medical Images,ark:/21198/zz0001002s,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f86.tif,6,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Roots (Botany)|~|Herbs",still image,illuminated manuscripts,pd,,,,Angalos. Cesaria.,"Two plants: Plant, top, ""Angalos"" growing from circular structures, one atop the other, radiating acuminate basal leaves and two rising stems bearing flowers, green with white flowers and brown bulbs. No resemblance to Anagallis, sp.  Plant, bottom, ""Cesaria,"" bears radiating leaves without a stem, green with brown root. Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 86,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001002s,
Index of Medieval Medical Images,ark:/21198/zz0000zwbm,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f133.tif,7,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Snakes|~|Herbs",still image,illuminated manuscripts,pd,,,,Appio.,"One plant, top, ""Appio"" (family Umbelliferae), probably Apium graveolens (Celery), a central vertical stem with one tier of branches bearing trifoliate crennate leaves, and terminating in three umbels of small white flowers, green with white striped flowers. Figure associated with plant, ""Appio"":  a green and brown snake approaching the plant from the lower r. side with its mouth opened.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 133,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwbm,
Index of Medieval Medical Images,ark:/21198/zz0000zw4h,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f128.tif,8,,,,,,,,"Plants, Medicinal|~|Compositae|~|Bulbs (Botany)|~|Herbal illustrations - Italy - 1500|~|Herbs|~|Flowers",still image,illuminated manuscripts,pd,,,,Appolinaris. Chamomeleon. Sliatriceo. Narcissus.,"Four plants: Plant, top l., ""Appolinaris"" many linear leaves and flowering stems radiate from the upper part of a spherical bulb, each flower multi-lobed, and laterally symmetrical, pink on the l., white on the r. side, green with red root. Plant, top r., ""Chamomeleon,"" perhaps (family Compositae, Carduus Tribe) Atractylis cancellata, Pine Thistle, three compound inflorescences branching from a vertical stem bearing pointed leaves and flowers, with two large leaves at base, green with yellow roots and yellow flowers. Plant, bottom l., ""Sliatriceo"" three straight, radiating stems, bearing alternate lancelate leaves, growing from thick root, green. Plant, bottom r., ""Narcissus"" (family Amaryllidaceae, sometimes combined with Liliaceae) Narcissus, sp., two radiating stems with three yellow flowers at tip, growing from a strange vase-shaped stem (?) with three linear leaves extending horizontally from each side, green with brown root.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 128,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw4h,
Index of Medieval Medical Images,ark:/21198/zz0000zwh6,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f138.tif,9,,,,,,,,"Primulaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Arbor rubarto. Parlasis.,"Two plants: Plant, top, ""Arbor rubarto"" no pronounced central stem, two sinuous side branches bearing deeply incised roughly elliptical leaves and irregularly spaced small three-lobed flowers with crennate edges, green with red flowers and brown roots. Plant, bottom, ""Parlasis"" (family Primulaceae) Primula veris, Cowslip, Primrose, bears radiating leaves and six rising peduncles, each bearing a conical flower at tip, green with brown flowers and brown roots.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 138,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwh6,
Index of Medieval Medical Images,ark:/21198/zz0000zxtb,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f48.tif,10,,,,,,,,"Dogs|~|Aristolochiaceae|~|Plants, Medicinal|~|Male nude|~|Compositae|~|Bulbs (Botany)|~|Herbal illustrations - Italy - 1500|~|Snakes|~|Women|~|Herbs",still image,illuminated manuscripts,pd,,,,Aristologia rotunda. Erba prosona vel dardania.,"Two plants: Plant, top, ""Aristologia rotunda"" (family Aristolochiaceae) Aristolochia rotunda, Birthwort, Apple of Earth, growing from a roughly spherical tuber, bears round leaves on a simple curved stems, brown. Plant, bottom, ""Prosona,"" perhaps (family Compositae, Carduus tribe) Arctium lappa, Personata, Edible Burdock, Harlock, from a massive root, a short central vertical stem with one tier of branches or leaves bearing flower heads at tips, brown with white flowers. Figures associated with plant, ""Aristologia rotunda, top"":  a nude woman, to r. of plant, pulls a brown snake off her chest with her l. hands, apparently to signify gynecological as well as anti-venom uses. Plant, bottom, ""Erba prosona"" emerging from a woody root, three radiating stems bear alternate acuminate leaves and terminate in five-petalled flowers with dentate edges. Figures associated with plant, ""prosona: below the plant, a nude man craawls away as a brown dog bites his l. foot, apparently to indicate use as remedy against rabies. Adjacent text: Italian herbal.","(Italy), ca. 1500.|~|Text beginning to l. of image: Aristologia rotunda ... purgha la superfluita che e nella matrice diquelle che parturiscono. E provoca la menstrua ... Dice diascoride che se seme ...cum vino vale a morso di serpente e daltri anamali velenosi ...|~|Text beginning to l. of second image: Erba prosona ... vale a morso di cane rabbioso ...",Italy,1500,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 48,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zxtb,
