"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Type.genre","Rights.servicesContact","Language","Name.collector","Subject","Name.photographer","Relation.isPartOf","Name.subject","Name.author","Name.repository","Name.creator","Format.dimensions","Title","Date.creation","Format.extent","Alt ID.local","Description.note","Date.normalized","Description.contents","Description.abstract","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093mkw","","2","Completed","Collection","","","","","","","","","","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","Harrison, Gilbert A.","Women authors, American--France--Paris--Archival resources|~|Stein, Gertrude, 1874-1946--Archives|~|Toklas, Alice, B.--Archives","","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","","","University of California, Los Angeles. $b Library Special Collections","","","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein, 1922-1984","1922-1984","","Collection 2108","Collection is set up to include, audio, image and manuscript objects.","1922/1984","","Gilbert Harrison was a UCLA alumnus and former editor-in-chief of The New Republic magazine. He began corresponding with Gertrude Stein in 1933, and continued to correspond with Stein until her death in 1947. The collection contains galley and page proofs for books by and about Stein, documents regarding the Stein estate, correspondence, manuscripts, photographs, objects, tape recordings, film, graphics, theatre programs, and exhibition catalogs. Correspondence from Alice B. Toklas, and articles about her, are also included.","Gilbert A. Harrison Collection on Gertrude Stein","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1720365","https://oac.cdlib.org/findaid/ark:/13030/kt1s2017fx/","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz00093mkw"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093x93","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093x93-1-master.tif","","","","still image","","","","","Black-and-white photographs|~|Portrait photographs","","","","","Delar Photographers (New York)","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Stein, Gertrude, 1874-1946","","","","11 x 17 cm. (4.5 x 6.5 in.)","Gertrude Stein, portrait with hand on head, [Rough Proof Delar written on image]","n.d.","1 photographic print","clus_2108_b4_f1_1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093x93","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093x93/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093xbm","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093xbm-1-master.tif","","","","still image","","","","","Black-and-white photographs|~|Portrait photographs","","","","","Delar Photographers (New York)","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","11 x 17 cm. (4.5 x 6.5 in.)","Gertrude Stein, portrait wearing coat and black hat [Rough Proof Delar written on image]","n.d.","1 photographic print","clus_2108_b4_f1_2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093xbm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093xbm/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093xc4","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093xc4-1-master.tif","","","","still image","","","","","Black-and-white photographs","","","","","Rogers, W.G.","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","20 x 25 cm. (8 x 10 in.)","Gertrude Stein, seated on wall reading magazine","n.d.","1 photographic print","clus_2108_b4_f2_1","Note on back states ""Gertrude Stein at her summer home in Bilignin: Taken by W.G. Rogers, author of ""When This You See Remember Me, Gertrude Stein in Person""","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093xc4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093xc4/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093xdn","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093xdn-1-master.tif","","","","still image","","","","","Black-and-white photographs","","","","","Van Vechten, Carl, 1880-1964 ","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","15 x 23 cm. (6 x 9 in.)","Gertrude Stein standing before cross in churchyard, 1934","June 13, 1934","1 photographic print","clus_2108_b4_f9_1","","1934-06-13","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093xdn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093xdn/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093xf5","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093xf5-1-master.tif","","","","still image","","","","","Black-and-white photographs","","","","","","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Toklas, Alice B. |~|Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","13 x 18 cm. (5 x 7 in.)","Gertrude Stein (hands on head) and Alice B. Toklas","n.d.","1 photographic print","clus_2108_b4_f10_1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093xf5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093xf5/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093xgp","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093xgp-1-master.tif","","","","still image","","","","","Black-and-white photographs|~|Group portraits","","","","","","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Toklas, Alice B. |~|Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","13 x 18 cm. (5 x 7 in.)","Gertrude Stein and Alice B. Toklas, 1928","1928","1 photographic print","clus_2108_b4_f10_2","Handwriting on back: Aix-les-Bains, 1928","1928","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093xgp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093xgp/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093xh6","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093xh6-1-master.tif","","","","still image","","","","","Black-and-white photographs","","","","","","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Toklas, Alice B. |~|Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","13 x 18 cm. (5 x 7 in.)","Gertrude Stein and Alice B. Toklas feeding pigeons in Venice, Italy, 1908","1908","1 photographic print","clus_2108_b4_f10_3","","1908","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093xh6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093xh6/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093zst","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093zst-1-master.tif","","","","still image","","","","","Black-and-white photographs|~|Group portraits","","","","","","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Toklas, Alice B. |~|Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","20 x 13 cm. (8 x 5 in.)","American volunteers and their French friends in World War I, circa 1917","circa 1917","1 photographic print","clus_2108_b4_f11_1","American volunteers and their French friends in World War I. Alice B. Toklas, extreme left, Gertrude Stein, extreme right.|~|On verso of photograph: Original photograph is in the Yale collection of American literature, the Gertrude Stein Collection.","1914/1919","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093zst","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093zst/manifest"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2108","ark:/21198/zz00093ztb","ark:/21198/zz00093mkw","2","Completed","Work","harrison/masters/21198-zz00093ztb-1-master.tif","","","","still image","","","","","Black-and-white photographs","","","","","","Gilbert A. Harrison Collection of Material by and Relating to Gertrude Stein (Collection 2108). UCLA Library Special Collections, Charles E. Young Research Library.","Stein, Gertrude, 1874-1946","","University of California, Los Angeles. $b Library Special Collections","","20 x 13 cm. (8 x 5 in.)","Gertrude Stein talking with group of GIs during the holidays WWI, circa 1944","circa 1944","1 photographic print","clus_2108_b4_f14_1","","1942/1946","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093ztb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093ztb/manifest"
