Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,"Women arise: organise, unite for people's power",fp_medu_001,ark:/21198/z1r22tzn,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-113.tif,,,,1982,1982,,,"Women arise! Organise, unite for people's power",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22tzn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r22tzn/manifest
Work,"Batho Molema and Medu: present Botswana Traditional music concert Molodi â€“ in song, Gaborone Town Hall, 1981",fp_medu_002,ark:/21198/z1m92385,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session04-281.tif,,,,1981,1981,,,"Batho Molema and Medu Present Botswana traditional music concert, Molodi Wa Pina, Melody in song 1981. Featuring: Botswapong Youth from Moshopa with Sekopo Mokebise, Batlokwa Ditlhaka Group with Seka Matlapeng, Lenaka Matlapeng-Segaba, Lepodisi Sekoboane-Guitar, Plus ""Badiri"". Gaborone Town Hall/ 3rd, 4th, & 5th December/8 pm (doors open 7:30), Tickets P3.00 children P2.00 P.S. Admission by ticket only - Available at the Coop. Gaborone Mall Medu Art Ensemble. Have a coke and a smail. Coke adds life.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92385,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m92385/manifest
Work,"Statements in spring' an art exhibition by Thami Mnyele. National Art Gallery, Gaborone, Botswana, 1980",fp_medu_003,ark:/21198/z1gj1bns,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-160.tif,,,,1980,1980,,,Statements in Spring: an art exhibition by Thami Mnyele. National Art Gallery 3-12 September 1980.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1bns,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gj1bns/manifest
Work,Masekela: along with the impressive Kalahari.,fp_medu_004,ark:/21198/z1bs0kv5,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session04-285.tif,,,,Between 1979-1985,1979/1985,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0kv5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bs0kv5/manifest
Work,"December 16: The day of our vow: The people shall govern: Victory is certain, 1980",fp_medu_005,ark:/21198/z1709v35,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-168.tif,,,,1980,1980,,,December 16: the day of our vow: the people shall govern: victory is certain! Medu Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709v35,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1709v35/manifest
Work,"Saja bam vindo camarado Machel, long live Botswana â€“ Mozambique friendship, 1981",fp_medu_006,ark:/21198/z137939x,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-128.tif,,,,1981,1981,,,"Saja bam vindo camarado Machel, long live Botswana - Mozambique friendship",,1 poster,,posters,por,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz137939x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz137939x/manifest
Work,"Don't entertain apartheid: support the cultural boycott, 1982",fp_medu_007,ark:/21198/z1zg8kvp,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-076.tif,,,,1982,1982,,,Don't entertain apartheid: support the cultural boycott.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8kvp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zg8kvp/manifest
Work,"Dr. Neil Agget : TVL. Secretatary, Fcwu, AFCWU. Unite. Mobilise. Avenge his Death, 1982",fp_medu_009,ark:/21198/z1tt6jjp,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-123.tif,,,,1982,1982,,,"Dr. Veil Aggett TVL Secretary, FCWU, AFCWU, Unite, mobilize, avenge his death. Medu Art Ensemble.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6jjp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tt6jjp/manifest
Work,"United in action, the workers' footsteps will crush exploitation",fp_medu_010,ark:/21198/z1q25sw5,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session04-293.tif,,,,Between 1979-1985,1979/1985,,,"United in action, the workers' footsteps will crush exploitation.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25sw5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q25sw5/manifest
Work,"Jonas Gwangwa & Shakawe with Dennis Mpale, Mogo Hotel, Kitwe, Zambia",fp_medu_012,ark:/21198/z1k9526p,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-135.tif,,,,Possibly 1983,1983,,,"Jonas Gwangwa & Shakawe with Dennis Mpale, Fri. 24 & Sat. 25 Feb, 8 pm at the Mogo Hotel 4 pula Notwana Football Club welcomes the Power Dyanmos of Kitwe, Zambia, Mgwedi Graphics Medu",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k9526p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k9526p/manifest
