"Object Type","Title","Local identifier","Item ARK","Parent ARK","File Name","AltTitle.other","collection.physical","Contents note","Date.created","Date.normalized","Description.latitude","Description.longitude","Description.note","Format.dimensions","Format.extent","Format.medium","Resource type","Genre","Language","Name.creator","Named subject","Note","Place of origin","Publisher.publisherName","Repository","Statement of Responsibility","Rights.copyrightStatus","Rights.rightsHolderContact","Subject","Subject geographic","Subject temporal","Bucketeer State","IIIF Access URL"
"Work","Ramakatane archive 1948","A22_Ramakatane_73_16","ark:/21198/z1z051g5","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0073_016.tif","","Ramakatane Archive (Lesotho National Museum)","Bride in her gown and a chapel veil holding flower basket in her hand, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z051g5"
"Work","Ramakatane archive 1949","A22_Ramakatane_76_02","ark:/21198/z1tb3072","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0076_002.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in sunglasses and a button up skirt seated with arms folded and holding her purse to her side by the strap, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3072"
"Work","Ramakatane archive 1950","A22_Ramakatane_77_01","ark:/21198/z1pk27ff","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0077_001.tif","","Ramakatane Archive (Lesotho National Museum)","Teenage boy in a cap and jeans standing on top of straw mat, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk27ff"
"Work","Ramakatane archive 1951","A22_Ramakatane_77_05","ark:/21198/z1jt1gqq","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0077_005.tif","","Ramakatane Archive (Lesotho National Museum)","Man bent over with his legs crossed and leaning on the backrest of a chair with a woman is seated with her elbows on her thighs, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1gqq"
"Work","Ramakatane archive 1952","A22_Ramakatane_77_06","ark:/21198/z1f20r0q","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0077_006.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a short sleeve shirt standing with his foot on stool and holding the back of a woman with her hand on her waist, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20r0q"
"Work","Ramakatane archive 1953","A22_Ramakatane_78_05","ark:/21198/z19900b8","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0078_005.tif","","Ramakatane Archive (Lesotho National Museum)","Woman seated in a straw chair with a smile on her face next to teenage boy in a traditional outfit and beads around his neck holding a molamu in his hand, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19900b8"
"Work","Ramakatane archive 1954","A22_Ramakatane_84_10","ark:/21198/z15h97kj","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0084_010.tif","","Ramakatane Archive (Lesotho National Museum)","Girl in a waistcoat standing between a man and woman in formal clothing, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h97kj"
"Work","Ramakatane archive 1955","A22_Ramakatane_84_11","ark:/21198/z11r8gvt","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0084_011.tif","","Ramakatane Archive (Lesotho National Museum)","Young girl in a turtleneck with frills on the fold and wrists standing next to boy in a short sleeve shirt and cap, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Children","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8gvt"
"Work","Ramakatane archive 1956","A22_Ramakatane_85_08","ark:/21198/z1x36ps5","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0085_008.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in large sunglasses dressed in a turtleneck and African print dress with short sleeves, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36ps5"
"Work","Ramakatane archive 1957","A22_Ramakatane_85_13","ark:/21198/z1sb5z1d","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0085_013.tif","","Ramakatane Archive (Lesotho National Museum)","Two friends holding a newspaper together with one man's arm around the other and a third man in a beanie standing beside them, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5z1d"
