Object Type,Title,AltTitle.other,Item ARK,Parent ARK,File Name,Item Sequence,Thumbnail,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Subject,volume | issue,IIIF Manifest URL
Work,Revolución 1959-01-02,Revolución Organo del Movimiento 2 enero de 1959,ark:/21198/z1185tq6,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12qfg,small tear in center crease on all pages,2 enero de 1959,1959-01-02,4 pages,newspapers,spa,ihc_revolucion_19590102,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 23,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1185tq6/manifest
Work,Revolución 1959-01-04,Revolución Organo del Movimiento 4 enero de 1959,ark:/21198/z12545fn,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9qhc,,4 enero de 1959,1959-01-04,4 pages,newspapers,spa,ihc_revolucion_19590104,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 25,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12545fn/manifest
Work,Revolución 1959-01-05,Revolución Organo del Movimiento 5 enero de 1959,ark:/21198/z1qn8v0b,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15p76,,5 enero de 1959,1959-01-05,4 pages,newspapers,spa,ihc_revolucion_19590105,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 26,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn8v0b/manifest
Work,Revolución 1959-01-07,Revolución Organo del Movimiento 7 enero de 1959,ark:/21198/z1m06smb,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031cpt,,7 enero de 1959,1959-01-07,10 pages,newspapers,spa,ihc_revolucion_19590107,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 28,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m06smb/manifest
Work,Revolución 1959-01-12,Revolución Organo del Movimiento 12 enero de 1959,ark:/21198/z1g761xf,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk33dq,small tear in center crease on pages 1-5,12 enero de 1959,1959-01-12,24 pages,newspapers,spa,ihc_revolucion_19590112,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 32,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g761xf/manifest
Work,Revolución 1959-01-13,Revolución Organo del Movimiento 13 enero de 1959,ark:/21198/z1bg5981,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0p9q,,13 enero de 1959,1959-01-13,14 pages,newspapers,spa,ihc_revolucion_19590113,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 33,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg5981/manifest
Work,Revolución 1959-01-14,Revolución Organo del Movimiento 14 enero de 1959,ark:/21198/z16q4jgd,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s783hf,,14 enero de 1959,1959-01-14,14 pages,newspapers,spa,ihc_revolucion_19590114,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 34,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q4jgd/manifest
Work,Revolución 1959-01-15,Revolución Organo del Movimiento 15 enero de 1959,ark:/21198/z12z3srp,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5hpk,,15 enero de 1959,1959-01-15,16 pages,newspapers,spa,ihc_revolucion_19590115,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 35,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3srp/manifest
Work,Revolución 1959-01-16,Revolución Organo del Movimiento 16 enero de 1959,ark:/21198/z1z63966,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1fg8,,16 enero de 1959,1959-01-16,18 pages,newspapers,spa,ihc_revolucion_19590116,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 36,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z63966/manifest
Work,Revolución 1959-01-17,Revolución Organo del Movimiento 17 enero de 1959,ark:/21198/z1tf2jjc,ark:/21198/z1zg9dcq|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4k36,,17 enero de 1959,1959-01-17,18 pages,newspapers,spa,ihc_revolucion_19590117,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1959-1990|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 37,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf2jjc/manifest
