File Name,Parent ARK (fester),Parent ARK,Item ARK,Object Type,Item Sequence,Title,Visibility,AltTitle.other,Type.typeOfResource,Date.creation,Date.normalized,Name.architect,Artist,Author,Name.creator,Name.photographer,Photocopier,Creator 1 Source|~|Creator 2 Source,Description.note,Description.abstract,Format.extent,Description.caption,Rights.copyrightStatus,Copyright Statement,Rights.rightsHolderName,Copyright Holder 1 Source,Rights.servicesContact,Series,Sub-series,Name.subject,Subject.name Role,Subject.name Source,Subject topic,Subject.topic Source,Subject place,Place Source,Description.latitude,Description.longitude,Type.genre,Genre Source,Source?,Physical Location,Thumbnail,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_001a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1jt17jk,Work,,"Lois Towns Solomon, New York, 1920s-1930s",,Small portraits and snapshots of African American families,still image,[1920s-1930s],1920/1940,,,,,"Photomatic (New York, N.Y.)",,local,"Studio portrait of Lois Towns Solomon wearing a hat, a fur wrap and a print top.|~|Lois Towns Solomon lived in Los Angeles. ",,1 photograph,Written on back of photo: Lois Towns Solomon. Photographer stamp:  Taken by the / Photomatic / Reg. U.S. Pat. Off. Pat No. 1665605 / Made in the U.S.A. / International Mutoscope / Reel Co. Inc. New York City,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,"Solomon, Lois Towns, 1902-1959",,local,African American women,lcsh,New York (N.Y.),lcsh,,,photographs,aat,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt17jk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jt17jk/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_002a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1f4966w,Work,,"Large arts and crafts style house on a hill, Los Angeles (?), 1890s-1930s",,Small portraits and snapshots of African American families,still image,[1890s-1940s],1890/1950,,,,,,,,"Multilevel arts and crafts style house on top of hill looking over a city, possibly Los Angeles. There are two other structures just below.",,1 photograph,Written on back of photo: 451,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,,,,Dwellings|~|Wooden-frame houses,tgm|~|lcsh,,,,,photographs,aat,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f4966w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f4966w/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_003a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z19c8fhm,Work,,"Lois Towns Solomon, 1920s-1930s",,Small portraits and snapshots of African American families,still image,[1920s-1930s],1920/1940,,,,,,,,Studio portrait of Lois Towns Solomon wearing a hat and a lace collar.|~|Lois Towns Solomon lived in Los Angeles.,,1 photograph,"Written on back of photo: Lois Towns Solomon, Take by the Photomatic Reg. U.S. Pat. Off. Pat No. 1665605 Made in the U.S.A. International Mutoscope reel co.  New York City",unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,"Solomon, Lois Towns, 1902-1959",,local,African American women,lcsh,,,,,photographs,aat,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8fhm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19c8fhm/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_004a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z15m7ptb,Work,,"African American women by the beach, 1900s-1920s",,Small portraits and snapshots of African American families,still image,[1900s-1920s],1900/1930,,,,,,,,"Two unidentified African American women wearing coats, standing on a landing overlooking a beach with a wooden pier in the background.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,,,,Beaches|~|African American women,tgm|~|lcsh,,,,,photographs,aat,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7ptb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15m7ptb/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_005a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z11v6z31,Work,,"African American man and two women standing together, San Francisco,1939",,Small portraits and snapshots of African American families,still image,"September 8, 1939",1939-09-08,,,,,"Candid Camera Photo Service (San Francisco, Calif.)",,local,View of a man standing between two women on a city street.,,1 photograph,"Written on back of photo: 237D / Photographer stamp: Candid Camera Photo Service / 1939, Sept, 08 / Treasure Island / San Francisco, California",unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,,,,African American women|~|African American men,lcsh,San Francisco (Calif.),,,,photographs,aat,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v6z31,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v6z31/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_006.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1x36fkk,Work,,"Small dog standing next to a fence, (copy photo made 1930-1989)",,Small portraits and snapshots of African American families,still image,[1930-1989],1930/1989,,,,,,,,"Unidentified small white dog with a black eye patch color on face, standing next to a wooden fence.",,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,,,,Dogs,lcsh,,,,,photographs,aat,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36fkk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x36fkk/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_007a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1sb5ptd,Work,,"Clabon Wise wearing suit and coat, 1950s",,Small portraits and snapshots of African American families,still image,[1950s],1950/1960,,,,,,,,"Studio Portrait, in color, of Clabon Wise wearing a grey overcoat, brown suit, brown shoes and brown hat. He is standing in front of backdrop with a painting of a garden with a palm tree and potted flowers.|~|The WWII draft card for Clabon Wise give his birth date as Jan. 1, 1897 and his place of residence as New Orleans.",,1 photograph,Written on back of photo: Clabon Wise,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,"Wise, Clabon, b. 1897",,local,African American men,lcsh,,,,,Portrait photographs,tgm,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5ptd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb5ptd/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_008a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1nk4z4j,Work,,"Louise, an infant girl, on a hobby horse, 1926",,Small portraits and snapshots of African American families,still image,[1926],1926,,,,,,,,"Studio portrait of an African American infant girl names Louise, wearing a white dress sitting on a wooden hobby horse.",,1 photograph,Written on back of photo: 1926 Louise 6 months,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,,,,African American children,lcsh,,,,,Portrait photographs,tgm,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk4z4j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nk4z4j/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_010a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z1d5251m,Work,,"Cabinet card photograph of the University Singers of New Orleans, New York, 1877-1881",,Small portraits and snapshots of African American families,still image,[1877-1881],1877/1881,,,,,"Bogardus, Edward W., 1838-1890",,local,"Studio group portrait of the University Singers of New Orleans, an ensemble of four men and five women.  |~|The University Singers of New Orleans was a group of jubilee singers. They toured on to raise funds for the La Teche Seminary and Colored Orphans' Home in Louisiana, under the management of Reverend Dr. and Mrs. William Davis Godman, a White clergyman who was ex-president of New Orleans University. Members of the group were: Tillie Jones and Lizzie Parker, sopranos; Cora Smith and Sarah Merritt, altos; Alexander Brown and Joseph Dupuy, bass; and Charles Ardis and George Dardis/Benn, tenor; and Sarah Merritt. In 1882 a group of the singers struck out on their own to sing independently, and the Godmans resigned from jubilee management.   |~|Soprano Tillie Jones Thomas and mezzo-soprano Deseria Plato were the first two black women to perform at Carnegie Hall on May 16, 1892 at 8:15 p.m. in the 300-seat Chamber Music Hall, known today as Weill Recital Hall. |~|Joseph Dupuy was an opera singer and musician who was a founder of the Los Angeles Symphonic Orchestra. He is likely the same person as Joseph Dupuy who sang with the University Singers of New Orleans. In 1995 a group of USC architecture students set out to preserve his 1902 home located at 2301 W. 24th St. in the West Adams neighborhood -- a blending of Colonial Revival, Queen Anne, Medieval and Asian influences structure nicknamed ""South Seas House.""",,1 photograph,"Written on back of photo: Collection of Miriam Mathews. Photographer's stamp: Bogardus, Artist and photographer, No. 349 Sixth Avenue Bet 21st and 22nd Sts., New York",public domain,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,"Thomas, Tillie Jones|~|Parker, Lizzie|~|Smith, Cora|~|Merritt, Sarah|~|Brown, Alexander|~|Dupuy, Joseph P., 1865-1922|~|Ardis, Charles",,local|~|local|~|local|~|local|~|local|~|local|~|local,African American gospel singers|~|Jubilee singers,lcsh|~|lcsh,New York (N.Y.),lcsh,,,cabinet photographs,aat,"Small portraits and snapshots of African American families ; Daily Life in Black Los Angeles and California, 1885-1980 ; Artists and Entertainers, ; Choirs, Piano Academies, and Music Schools","Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d5251m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d5251m/manifest
Masters/othermasters/dl_miriammatthews/box16/uclalsc_1889_b16_f01_011a.tif,ark:/21198/z1418fnd,ark:/21198/z1418fnd|~|ark:/21198/n11s67,ark:/21198/z18d1dbb,Work,,"Woman standing in front of a house, 1940s-1950s",,Small portraits and snapshots of African American families,still image,[1940s-1950s],1940/1960,,,,,,,,Deckled edge photograph of an African American (?) woman wearing a print dress standing in front of a house.,,1 photograph,,unknown,,,,spec-coll@library.ucla.edu,"Prominent Individuals and Families, 1885-1980",Small Portraits and Snapshots,,,,African American women,lcsh,,,,,photographs,aat,Small portraits and snapshots of African American families,"Box 16, Folder 1",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1dbb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18d1dbb/manifest
