Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Language,Title,Description.abstract,Description.note,Publisher.placeOfOrigin,Date,Source,Relation.isPartOf,Format.dimensions,Date.creation,AltTitle.descriptive,AltTitle.other,Format.extent,Date.normalized,Bucketeer State,IIIF Access URL
Index of Medieval Medical Images,ark:/21198/zz0000zrpv,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f105.tif,4,,,,,,,,Illustrations - Switzerland - 1476|~|Nasal Polyps - surgery|~|Surgical Instruments|~|Nose - surgery,still image,illuminated manuscripts,pd,,,,"One instrument for nasal surgery, in text.","In middle of r. column, drawn in blue, a right-angled blade with a two-winged handle, used for cutting within the nose. Chapter title preceding image: De polippo et ulceribus que fiunt in naso. Adjacent text: Guy de Chauliac's Chirurgia magna, Book 4, Doctrine 1, Chapter 2.","Luterbach, Switzerland(?), 1476(?)|~|Text immediately preceding image: Significantur iste passiones apercendo nares cum instrumento ... speculum cuius forma est ista.",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 105,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna.",50 x 15 mm.,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrpv
Index of Medieval Medical Images,ark:/21198/zz0000zrqc,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f112.tif,1,,,,,,,,Illustrations - Switzerland - 1476|~|Surgical Instruments|~|Rectal Fistula - surgery,still image,illuminated manuscripts,pd,,,,"2 surgical instruments for rectal surgery, in text.","Two instruments for the removal of anal fistulae. The first, drawn in red in upper r. column of text, is a sickle-shaped scalpel. The second, in blue in lower r. column, is a needle-like probe with an eye in the middle. Chapter title preceding images on fol. 111v: De fistula que in ano est. Dimensions of each image: 10 x 40 mm. Adjacent text: Guy de Chauliac's Chirurgia magna, Book 4, Doctrine 2, Chapter 7.","Luterbach, Switzerland(?), 1476(?)|~|Text immediately preceding first image: Modus incisionis cum falce que est secundum albucasis instrumentum tale.|~|Text immediately preceding second image: ... pro foramen cordule instrumentum tale.",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 112,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna.|~|http://ihm.nlm.nih.gov/luna/servlet/view/search?q=A027128",,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrqc
Index of Medieval Medical Images,ark:/21198/zz0000zrrw/18275098,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f161161v.tif,7,,,,,,,,Illustrations - Switzerland - 1476|~|Mouth - surgery|~|Surgical Instruments,still image,illuminated manuscripts,pd,,,,Three surgical instruments for the mouth. Page 1,"Three instruments for surgery on the mouth, simply but recognizably sketched, in text: the first, at center r. of fol. 161, in red ink partly filled in in blue (perhaps to indicate a hollowing) shows a sickle (falx) shape; the second, at bottom l. of fol. 161, also outlined in red ink with blue filling, shows a tube or ""canula"" with a window or ""fenestra"" at its upper r. and a handle or ring at its l. end; the third, at center l. of 161v, in red ink, another tube, perhaps combined with spatula for application of corrosives, round handle or ring at l. end, spatula(?) protruding at r. Adjacent text: Guy de Chauliac's Chirurgia magna. Dimensions of image: 60 x 10 mm.","Luterbach, Switzerland(?), 1476(?)|~|Chapter title preceding images: De passionibus labilorum erghiginarum et qazqazeorum.|~|Text immediately preceding first image: ... cum spatumine falce facilius incidatur, ut hic:|~|Text immediately preceding second image: Secundo modo cum ferro ... quod habeatur canula in capite cuius in alto et latere sit fenestra in quia includetur uvula, ut hic:|~|Text immediately preceding third image: Caveatur tum ne aliquid medicinarum acutarum descendit inferius neque tanquam at alias partes quare deleret eas. Modus instrumenti tertii est hic:",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 161-161v.,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna.",,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrrw%2F18275098
Index of Medieval Medical Images,ark:/21198/zz0000zrrw/rr50nr0t,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f161161va.tif,8,,,,,,,,Illustrations - Switzerland - 1476|~|Mouth - surgery|~|Surgical Instruments,still image,illuminated manuscripts,pd,,,,Three surgical instruments for the mouth. Page 2,"Three instruments for surgery on the mouth, simply but recognizably sketched, in text: the first, at center r. of fol. 161, in red ink partly filled in in blue (perhaps to indicate a hollowing) shows a sickle (falx) shape; the second, at bottom l. of fol. 161, also outlined in red ink with blue filling, shows a tube or ""canula"" with a window or ""fenestra"" at its upper r. and a handle or ring at its l. end; the third, at center l. of 161v, in red ink, another tube, perhaps combined with spatula for application of corrosives, round handle or ring at l. end, spatula(?) protruding at r. Adjacent text: Guy de Chauliac's Chirurgia magna. Dimensions of image: 60 x 10 mm.","Luterbach, Switzerland(?), 1476(?)|~|Chapter title preceding images: De passionibus labilorum erghiginarum et qazqazeorum.|~|Text immediately preceding first image: ... cum spatumine falce facilius incidatur, ut hic:|~|Text immediately preceding second image: Secundo modo cum ferro ... quod habeatur canula in capite cuius in alto et latere sit fenestra in quia includetur uvula, ut hic:|~|Text immediately preceding third image: Caveatur tum ne aliquid medicinarum acutarum descendit inferius neque tanquam at alias partes quare deleret eas. Modus instrumenti tertii est hic:",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 161-161v.,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna.",,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrrw%2Frr50nr0t
Index of Medieval Medical Images,ark:/21198/zz0000zrsd,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f165.tif,6,,,,,,,,Illustrations - Switzerland - 1476|~|Shoulder Dislocation - surgery|~|Surgical Instruments,still image,illuminated manuscripts,pd,,,,Three numbered instruments for treatment of a dislocated shoulder.,"Three instruments for the treatment of a dislocated shoulder, numbered 1-3 and drawn in red and blue in the middle of the l. column. The first is shaped as a shield with a long horizontal on line on top representing a leather strap (""aluta""); the second is a closed u-shape; the third is triangular. Adjacent text: Guy de Chauliac's Chirurgia magna.","Luterbach, Switzerland(?), 1476(?)|~|Text immediately preceding images: ... desuper emplastrum in loco in quo apparebit eminentia extensum in alutam forma scuti et remutetur de ... in ... diebus.",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 165,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna.",15 x 20 mm.,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrsd
Index of Medieval Medical Images,ark:/21198/zz0000zrtx,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f185v.tif,9,,,,,,,,Illustrations - Switzerland - 1476|~|Surgical Instruments|~|Cautery - instrumentation,still image,illuminated manuscripts,pd,,,,"Twelve surgical instruments for cautery, in text.","Twelve cautery instruments appearing in six groups: at center r., in red ink, a knifelike ""cutellarus"" appears just above stiletto-like ""olivare;"" at bottom l., in blue ink, ""dactilare"" resembles a bar with knobs at each end; at top right, in red ink, ""punctale"" resembles an awl with knobs just above the handle; at centre r., two plates or ""plata, the first in blue ink, the second in black, a probe in black ink, and a ""canula"" or tube in blue ink; at lower r., in red ink, a lancelike blade and hooklike instrument, both with long handles, are crossed scissorlike, joined by a cuplike object they both pass through, apparently to form the ""cauterium subtile;"" at lower r., three rounded plates of the type called ""circulare"" the two smaller, l. one in black and one in red, and the larger, r. in blue ink.  Chapter title on fol. 183v preceding image series: De cauteriis et formis ipsorum. Adjacent text: Guy de Chauliac's Chirurgia magna Book 7, Chapter 3. Dimensions of images: 60 x 30 mm.","Luterbach, Switzerland(?), 1476(?)|~|Text preceding first image at center r. of text: Prima forma est cutellari ad formam cutelli facta ... cuius forma est talis:|~|Text following second image at center r. of text:Secundum instrumentum est olivare ...|~|Text following third image at bottom r. of text: Tertium instrumentum est dactilare ...|~|Text following fourth image at top r. of text: Quartum instrumentum est punctale gratilem et rotundum cum quo est cauterizatur sola cutis ...|~|Text preceding a group of four more images at center r.:... ut non offendat latera cum quo cauterizantur in membra profunda ut fistula lacrimalis pollyppus infra nasum et dentes. Cuius forma primi plata est talis.  Forma sed secundae canulae est talis:|~|Text preceding the ninth image (labelled as the fifth) at lower r: Quintum instrumentum est cauterium subtile quo ponuntur tetones ... cuius forma est talis ut hic:|~|Text to the right of ninth image (apparently referring to the last three at bottom): Sextum instrumentum est circulare et quibusque additamentis ad faciendum quaeque.|~|Text preceding three final images, grouped at bottom r.: cauterici ad nodum cum plata quaeque foraminibus perforata ... cuius forma est talis plata:",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 185v,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna|~|Schullian & Sommer.  Catalogue of incunabula and manuscripts in the Army Medical Library, p. 238.","images 60 x 30 mm., on sh",1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrtx
Index of Medieval Medical Images,ark:/21198/zz0000zrvf/7q69fj87,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f86v87a.tif,3,,,,,,,,Illustrations - Switzerland - 1476|~|Surgical Instruments|~|Head Injuries - surgery|~|Trephining - instrumentation,still image,illuminated manuscripts,pd,,,,9 instruments for head surgery. Page 2,"Nine instruments for the treatment of head wounds. On fol. 86v, towards bottom r., (1) a black sharp-pointed trephin; at bottom r. of that folio, (2) a similar instrument drawn in red, but with cutting edge not colored in. Other instruments are contained within fol. 87, l. column; (3) a lance-like triangular instrument perhaps another trephin,in red; (4) a straight-edged wedge-like elevatory in black with red outline; (5) a red instument, perhaps another elevatory, in the form of a hook-like curved blade; (6) an elevatory in the form of a blue rod with protrusions in opposite directions at each end; (7) rugine in the form of a black, slightly curved, flat-ended blade with blue handle; (8) a blue flat-bladed scalpel-like lenticular; and (9) a red hammer or mallet. Chapter title on fol. 86 preceding image series: De instrumentis cum quibus fit operatio in vulneribus capitis. Adjacent text: Guy de Chauliac's Chirurgia magna, Book 3, Doctrine 2, Chapter 1.","Luterbach, Switzerland(?), 1476(?)|~|Rubricated text immediately preceding first image: Trepana.|~|Rubricated text immediately preceding second image: Trepana.|~|Text immediately preceding third image: ad modum lancee ...|~|Rubricated text immediately preceding fourth image: Separatorium.|~|Text immediately preceding fifth image: eam faciunt turnam ...|~|Rubricated text immediately preceding sixth image: Elevatorium.|~|Rubricated text immediately preceding seventh image: Rugina.|~|Rubricated text immediately preceding eighth image: Lenticularia.|~|Rubricated text immediately preceding ninth image: Malleus.",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 86v-87,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna",60 x 10 mm.,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrvf%2F7q69fj87
Index of Medieval Medical Images,ark:/21198/zz0000zrvf/ct590f6f,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f86v87.tif,2,,,,,,,,Illustrations - Switzerland - 1476|~|Surgical Instruments|~|Head Injuries - surgery|~|Trephining - instrumentation,still image,illuminated manuscripts,pd,,,,9 instruments for head surgery. Page 1,"Nine instruments for the treatment of head wounds. On fol. 86v, towards bottom r., (1) a black sharp-pointed trephin; at bottom r. of that folio, (2) a similar instrument drawn in red, but with cutting edge not colored in. Other instruments are contained within fol. 87, l. column; (3) a lance-like triangular instrument perhaps another trephin,in red; (4) a straight-edged wedge-like elevatory in black with red outline; (5) a red instument, perhaps another elevatory, in the form of a hook-like curved blade; (6) an elevatory in the form of a blue rod with protrusions in opposite directions at each end; (7) rugine in the form of a black, slightly curved, flat-ended blade with blue handle; (8) a blue flat-bladed scalpel-like lenticular; and (9) a red hammer or mallet. Chapter title on fol. 86 preceding image series: De instrumentis cum quibus fit operatio in vulneribus capitis. Adjacent text: Guy de Chauliac's Chirurgia magna, Book 3, Doctrine 2, Chapter 1.","Luterbach, Switzerland(?), 1476(?)|~|Rubricated text immediately preceding first image: Trepana.|~|Rubricated text immediately preceding second image: Trepana.|~|Text immediately preceding third image: ad modum lancee ...|~|Rubricated text immediately preceding fourth image: Separatorium.|~|Text immediately preceding fifth image: eam faciunt turnam ...|~|Rubricated text immediately preceding sixth image: Elevatorium.|~|Rubricated text immediately preceding seventh image: Rugina.|~|Rubricated text immediately preceding eighth image: Lenticularia.|~|Rubricated text immediately preceding ninth image: Malleus.",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 86v-87,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna",60 x 10 mm.,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrvf%2Fct590f6f
Index of Medieval Medical Images,ark:/21198/zz0000zrwz,ark:/21198/zz0000zt52,2,Completed,Page,immi/masters/nd25f93.tif,5,,,,,,,,Trachea - surgery|~|Neck - surgery|~|Illustrations - Switzerland - 1476|~|Surgical Instruments,still image,illuminated manuscripts,pd,,,,One instrument for neck wound surgery.,"Instrument for cutting in the neck area, drawn in red at bottom of r. column. Rubricated text preceding image, on fol. 91v: de vulneribus ventus et partium eius; on fol. 93 de sutura ventus. The instrument is a sharp-pointed scalpel. Adjacent text: Guy de Chauliac's Chirurgia magna.","Luterbach, Switzerland(?), 1476(?)|~|Rubricated text immediately to left of image: Bitofos toma siringa.",Switzerland,,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia). fol. 93,"Guy, de Chauliac, ca. 1300-1368. Chirurgia magna.",60 x 10 mm.,1476,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrwz
Index of Medieval Medical Images,ark:/21198/zz0000zrxg,ark:/21198/zz0000zt6k,2,Completed,Page,immi/masters/nd78f1.tif,12,,,,,,,,Books|~|Authorial portraits - England - Oxford - 1250|~|Students|~|Historiated initials - England - Oxford - 1250|~|Teaching|~|Teachers,still image,illuminated manuscripts,pd,,,,"Teacher, perhaps Johannitius, and student.","The image is found within a historiated initial ""M"" of ""Medicina"" at top r. of leaf.  Within the left-hand curve of the blue letter, a professor (Johannitius, more properly Hunain Ibn Ishaq?) sits lecturing a student in the right-hand curve.  The professor holds a book in his l. hand (the Tegni of Galen?) and points to it with his r.  He wears a green gown with a red robe.  The student wears a blue gown with a red robe, and holds a notebook.  Adjacent text:  Johannitius's Isagoge ad Tegni Galeni.","Oxford, England, ca. 1250.|~|Attributed to the artist associated with William de Brailes in the Cockerell psalter.|~|Rubricated text immediately preceding image: Incipiunt ysagoge iohannicii ...|~|Text immediately to the right of image: Medicina in duas partes dividitur ...",England-Oxford.,,National Library of Medicine (U.S.). Manuscript. 78. [Isagoge ad Tegni Galeni and other medical texts]. [ca. 1250] DeRicci/Bond & Faye [78] fol. 1,"Ḥunayn ibn Isḥāq al-Ibādī, 809?-873. Isagoge ad Tegni Galeni.|~|Kraus.  Catalogue 126, p. 19.",35 x 35 mm.,1250,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrxg
