Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Language,Title,Description.abstract,Description.note,Publisher.placeOfOrigin,Relation.isPartOf,Format.dimensions,Date.creation,AltTitle.descriptive,Alt ID.local,AltTitle.other,Format.extent,Date.normalized,Opac url,IIIF Manifest URL
Index of Medieval Medical Images,ark:/21198/zz0002fn7s,,2,Completed,Collection,,,,,,,,,,"History of Medicine, Medieval|~|Medical Illustration|~|Manuscripts, Medical as Topic",,illuminated manuscripts,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|University of California, Los Angeles. $b Library Special Collections|~|National Library of Medicine (U.S.)|~|University of California, Los Angeles. Library|~|Rosenbach Museum & Library|~|Harvey Cushing/John Hay Whitney Medical Library|~|University of Vermont. Library",,Index of Medieval Medical Images,The Index of Medieval Medical Images project began in 1988 and aimed to describe and index the content of all medieval manuscript images (up to the year 1500) with medical components held in North American collections. The goal of this 2001 pilot project was to make a substantial sample of the images and descriptions available via a searchable database on the Web.,,Armenia|~|Germany|~|England|~|France|~|Czech Republic|~|Italy,,,,,WZ 348,,,1201/1500,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5747272,https://ingest.iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0002fn7s
Index of Medieval Medical Images,ark:/21198/zz0000zt52,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zrqc,individuals,,,,,still image,manuscripts (document genre),pd,,National Library of Medicine (U.S.),,National Library of Medicine (U.S.). Manuscript. 25 (Guy de Chauliac. Chirurgia).,"Completed in 1476 at Luterback, Switzerland, this manuscript of the Chirurgia of the French physician Guy de Chauliac (ca. 1300-1368) includes drawings of surgical instruments in red, blue, and black. Manuscript owned by the National Library of Medicine (U.S.).",,Switzerland,,,1476 ?,,,,,1476,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000zt52/manifest
Index of Medieval Medical Images,ark:/21198/zz0000zt6k,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zs00,individuals,,,,,still image,manuscripts (document genre),pd,,National Library of Medicine (U.S.),,National Library of Medicine (U.S.). Manuscript. 78. [Isagoge ad Tegni Galeni and other medical texts].,"Written at Oxford, England, in the 13th century, this compilation gathers basic introductions to classical medicine, two of them by the important 9th century Arabic translator, Johannitius (H?unayn ibn Ish?a¯q al-?Iba¯di, 809?-873) and one possibly by the famous Robert Grosseteste, Bishop of Lincoln (1175?-1253). Also included are the Aphorisms of Hippocrates and two works by Theophilos Protospatharios (7th century). Historiated initials depict uroscopy, diagnosis, a pregnant woman, instructional scenes, and medical authors. Manuscript owned by the National Library of Medicine (U.S.)",,"England,Oxford.",,,ca. 1250,,,,,1201/1300,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000zt6k/manifest
Index of Medieval Medical Images,ark:/21198/zz0000zt73,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zscp,individuals,,,,,still image,manuscripts (document genre),pd,,National Library of Medicine (U.S.),,National Library of Medicine (U.S.). Manuscript.  9 [John Arderne. Opera chirurgica].,"Written in England about 1400, mainly in Latin, NLM MS 9 (Opera chirurgica) contains excerpts from the medical, surgical, and ophthalmologic works of John Arderne  (fl. 1307-1370). Sketches attempt to illustrate Arderne's treatments for fistula in ano, and his comments on other practical and theoretical medical and surgical issues. Manuscript owned by the National Library of Medicine (U.S.).",,England,,,ca. 1400,,,,,1351/1450,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000zt73/manifest
Index of Medieval Medical Images,ark:/21198/zz0000zt8m,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zt31,individuals,,,,,still image,manuscripts (document genre),pd,,National Library of Medicine (U.S.),,National Library of Medicine (U.S.). Incunabula. Schullian 274 (Copulator super tres libros Aristotelis. De anima doctrinam Thomae de Aquino),"Printed book (Cologne: D. Molner, 1485) containing a manuscript image dated 1497. Image is a diagram listing the main locations of cognitive function. Book owned by the National Library of Medicine (U.S.).",,"Germany, Cologne",,,1485,,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000zt8m/manifest
Index of Medieval Medical Images,ark:/21198/zz0000zt94,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zt4j,individuals,,,,,still image,manuscripts (document genre),pd,,National Library of Medicine (U.S.),,National Library of Medicine  (U.S.). Incunabula. Schullian 379 (Positiones circa libros Physicorum et De anima Aristotelis).,"Printed book (Cologne: Heinrich Quentell, 1494) containing a manuscript image dated ca. 1500. Image is a diagram listing the main locations of cognitive and sensory functions and their relation to some organs of the thorax. Book owned by the National Library of Medicine (U.S.).",,"Germany, Cologne",,,1494,,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000zt94/manifest
Index of Medieval Medical Images,ark:/21198/zz0000ztdp,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000ztbn,individuals,,,,,still image,manuscripts (document genre),pd,,Rosenbach Museum & Library,,Rosenbach Museum and Library. Manuscript. Rosenbach 1004/29. [Physician's belt book],"Believed to have been copied at York, in the north of England, about 1364, this ""belt book"" (a finger-tip reference work in the form of a small fan of folded parchment) includes two visual guides to treatment. The first image facilitated therapy by indicating points at which the practitioner could effectively tap his patient's blood. The second image is designed to help the physician make a diagnosis by analyzing the color of a patient's urine. Owned by the Rosenbach Museum and Library.",,"England, York",,,ca. 1364,,,,,1301/1400,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000ztdp/manifest
Index of Medieval Medical Images,ark:/21198/zz0000ztpt,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000ztk8,individuals,,,,,still image,manuscripts (document genre),pd,,,,"University of California, Los Angeles. Louise M. Darling Biomedical Library. Manuscript. Benjamin Collection 10 [Medical collectanea, 2].","In Latin and Czech and written in several hands about 1450,  probably in Prague, this medical miscellany includes a full-page image of a bloodletting man and one figure of a male body extending over 4 pages. Simple sketches of urine flasks also appear. Manuscript owned by the Louise M. Darling Biomedical Library, University of California, Los Angeles.",,"Czechoslovakia, Prague",,,ca. 1450,,,,,1401/1500,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000ztpt/manifest
Index of Medieval Medical Images,ark:/21198/zz0000ztqb,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000ztf6,individuals,,,,,still image,manuscripts (document genre),pd,,,,"University of California, Los Angeles. Louise M. Darling Biomedical Library. Manuscript. Benjamin Collection 3. [Single leaf from Bernard of Gordon's Tractatus de conservatione vitae humanae].","Written in French during the 14th century, perhaps in Paris, this single leaf from Bernard of Gordon's Tractatus de conservatione vitae humanae, an academic treatise on common medical practices, includes a fine historiated initial introducing the subject of the section on diagnosing with urines. Manuscript owned by the Louise M. Darling Biomedical Library, University of California, Los Angeles.",,"France,Paris",,,1311-1325?,,,,,1311/1400,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000ztqb/manifest
Index of Medieval Medical Images,ark:/21198/zz0000ztrv,ark:/21198/zz0002fn7s|~|ark:/21198/z14f2v0q,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000ztgq,individuals,,,,,still image,manuscripts (document genre),pd,,,,"University of California, Los Angeles. Louise M. Darling Biomedical Library. Manuscript. Benjamin Collection 5. [Fuer das Urin oder Stein].","Written in German about 1350, probably in Germany, this treatise includes a traditional urine wheel chart for diagnosing with urines on the basis of color. Captioned in Latin and carefully tinted with watercolor, the circular diagram has been cut into pieces and pasted into the German text. Manuscript owned by the Louise M. Darling Biomedical Library, University of California, Los Angeles.",,Germany,,,ca. 1350,,,,,1301/1400,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0000ztrv/manifest
