Object Type,Title,Item ARK,Parent ARK,Local identifier,File Name,Thumbnail,AltTitle.other,collection.physical,Item Sequence,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject topic,volume | issue,IIIF Manifest URL
Work,El Comunista 1939-11,ark:/21198/z1vq554n,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_193911,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq556j,,,,,Noviembre 1939,1939-11-01/1939-11-30,,,,,42 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 01 | no. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vq554n/manifest
Work,El Comunista 1939-12,ark:/21198/z1qz4dgt,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_193912,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb75gc,,,,,Diciembre 1939,1939-12-01/1939-12-31,,,,,37 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz4dgt/manifest
Work,El Comunista 1940-01,ark:/21198/z1m63nt9,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194001,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np46z7,,,,,Enero 1940,1940-01-01/1940-01-30,,,,,36 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63nt9/manifest
Work,El Comunista 1940-02,ark:/21198/z1gf2x13,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194002,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1rzv,,,,,Febrero 1940,1940-02-01/1940-02-29,,,,,38 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2x13/manifest
Work,El Comunista 1940-03,ark:/21198/z1bp2589,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194003,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6s6s,,,,,Marzo 1940,1940-03-01/1940-03-31,,,,,41 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp2589/manifest
Work,El Comunista 1940-04,ark:/21198/z16x1dh4,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194004,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9sc5,,,,,Abril 1940,1940-04-01/1940-04-30,,,,,39 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x1dh4/manifest
Work,El Comunista 1940-05,ark:/21198/z1350nvm,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194005,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5bc7,,,,,Mayo 1940,1940-05-01/1940-05-31,,,,,37 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 07,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350nvm/manifest
Work,El Comunista 1940-06,ark:/21198/z1zg8vpr,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194006,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030v25,,,,,Junio 1940,1940-06-01/1940-06-30,,,,,33 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zg8vpr/manifest
Work,El Comunista 1940-07,ark:/21198/z1tq8425,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194007,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0wft,,,,,Julio 1940,1940-07-01/1940-07-31,,,,,33 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq8425/manifest
Work,El Comunista 1941-01,ark:/21198/z1pz7cbf,ark:/21198/z10c6z7p|~|ark:/21198/z1zk7d59|~|ark:/21198/z1fb75c1,ihc_comunista_194101,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr205h,,,,,Enero 1941,1941-01-01/1941-01-31,,,,,39 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba -- newspapers,vol. 02 | no. 15,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pz7cbf/manifest
